id,SYMBOL,gene_type,PBS_01,PBS_02,PBS_03,PBS_04,Lo_05,Lo_06,Lo_07,Lo_08,Med_09,Med_10,Med_11,Med_12,Hi_13,Hi_14,Hi_15,Hi_16
ENSMUSG00000051951,Xkr4,protein_coding,29.43011737,27.04758864,34.20706047,27.09150277,37.91350698,39.46681856,31.63357381,33.23417162,43.26248094,30.51048638,31.61488494,31.80637225,30.63977192,29.02093144,36.29316723,35.96621797
ENSMUSG00000103377,NA,NA,0.925111744,1.36867316,2.032102602,1.240832188,3.568330068,2.353525877,2.019164286,3.30453411,3.210290105,1.945821836,2.221586509,3.107049218,1.645088425,1.104857796,2.552486486,2.562237164
ENSMUSG00000104017,NA,NA,0.809472776,1.042798598,1.100722243,1.171897066,2.007185663,2.172485425,1.430241369,2.643627288,3.057419148,1.634490342,1.965249604,2.698226952,1.850724478,1.473143728,4.466851351,2.277544146
ENSMUSG00000103025,NA,NA,0.231277936,0.521399299,0.592696592,0.137870243,1.784165034,0.814682034,0.757186607,1.605059425,1.75801601,0.933994481,0.939901985,1.471760156,0.959634915,1.252172169,1.754834459,1.992851127
ENSMUSG00000103201,NA,NA,0.231277936,0.912448773,1.608747894,0.344675608,1.338123776,1.810404521,1.093713988,1.132983124,2.445935318,0.700495861,2.050695239,1.471760156,0.959634915,0.736571864,1.834599662,1.708158109
ENSMUSG00000103147,NA,NA,0.57819484,0.456224387,0.762038476,0.206805365,0.780572202,1.086242713,1.009582143,1.793889946,1.299403138,1.011827354,1.110793255,0.899408984,0.548362808,0.957543423,1.754834459,0.284693018
ENSMUSG00000103161,NA,NA,0.809472776,0.651749124,1.270064127,0.89615658,3.679840383,2.806127008,1.850900595,4.248686713,4.280386807,1.556657468,2.734260319,3.352342577,2.193451234,1.84142966,5.104972973,3.416316219
ENSMUSG00000102331,NA,NA,1.15638968,1.824897547,2.455457311,1.79231316,5.687026046,5.159652885,3.281141965,4.531932494,5.88553186,2.95764919,3.588716668,4.49704492,3.427267553,3.093601829,7.09910304,4.555088291
ENSMUSG00000033845,Mrpl15,protein_coding,19.1960687,19.22659915,20.32102602,19.16396379,17.39560908,15.20739798,14.89133661,16.33384003,17.65659558,17.2788979,18.96893096,15.28995273,15.62834004,16.20458101,15.63397973,18.03055782
ENSMUSG00000025903,Lypla1,protein_coding,41.86130643,42.6243927,65.02728328,45.22143973,116.9743201,61.01063236,81.77615358,91.58280249,87.44218763,71.29491205,56.39411908,71.21683864,37.28867097,63.78712342,50.49137331,108.8476306
ENSMUSG00000033813,Tcea1,protein_coding,59.55406854,58.52707132,64.77327045,56.80254015,91.99600958,65.98924479,77.99022054,96.20915024,79.11072046,80.09002675,63.57155241,96.07323239,51.9573761,69.3114124,63.25380574,97.74460292
ENSMUSG00000002459,Rgs20,protein_coding,1.503306585,1.759722634,1.354735068,1.034026823,1.226613461,1.267283165,1.430241369,0.849737343,2.293064361,1.634490342,1.879803969,1.06293789,1.919269829,2.283372778,2.712016892,1.613260437
ENSMUSG00000033793,Atp6v1h,protein_coding,86.1510312,92.6787254,82.89285199,88.71950143,94.89527776,89.52450356,106.9315753,120.2850416,107.3154121,85.38266214,99.80050164,118.7219859,90.20568199,85.36867904,99.70650338,106.7598818
ENSMUSG00000025905,Oprk1,protein_coding,1.618945553,2.150772109,4.148876147,1.516572674,4.348902271,5.159652885,4.122460417,4.343101974,2.522370797,2.879816317,1.538021429,3.025284764,2.536177989,3.977488066,2.233425676,2.657134837
ENSMUSG00000025907,Rb1cc1,protein_coding,91.87516011,95.74194629,122.2648399,101.0588882,221.6825055,155.4232281,150.6801348,217.627175,182.986536,147.8824595,126.3740941,205.1470128,103.0236626,133.9087649,143.0987736,189.9851408
ENSMUSG00000090031,NA,antisense,4.394280786,4.236369305,5.164927448,3.446756077,9.478376744,6.064855145,6.478152084,8.875034468,10.62453154,4.747805279,8.715454766,8.258209762,5.346537382,4.566745557,9.412293919,9.774460292
ENSMUSG00000033740,St18,protein_coding,32.66800847,29.85010987,27.60272702,26.54002179,39.14012044,28.24231053,29.27788215,30.02405277,49.83593211,34.24646431,31.35854803,40.88222655,38.72812334,30.19944642,26.08322128,37.76927375
ENSMUSG00000103329,NA,NA,0.346916904,0.195524737,0.423354709,0.620416094,0.557551573,0.905202261,0.841318452,0.472076301,0.687919308,1.167493101,0.598119445,1.144702343,0.411272106,0.441943118,1.036947635,1.518362764
ENSMUSG00000051285,Pcmtd1,protein_coding,161.027263,126.3089802,160.8747894,146.6939386,253.4629452,190.6355961,196.784386,247.9344735,196.0570029,192.7920275,154.3148167,197.4611542,142.9856023,182.0805648,167.1878649,207.636108
ENSMUSG00000103509,NA,NA,2.254959877,4.497068954,4.233547088,3.377820956,7.248170451,5.702774241,5.30030625,10.10243285,9.40156388,2.879816317,5.981194447,7.604094138,4.455447818,5.597946166,9.970650338,6.92753011
ENSMUSG00000025909,Sntg1,protein_coding,9.944951252,7.364765099,12.44662844,12.20151651,12.9351965,7.513178762,8.833843751,9.72477181,12.00037016,10.42960504,8.886346036,11.44702343,11.10434687,9.722748605,12.28384122,12.62139047
ENSMUSG00000061024,Rrs1,protein_coding,23.12779361,23.85401793,18.20425248,16.68229941,19.51430506,14.9358373,14.97546845,18.03331472,15.59283766,19.45821836,20.33606112,21.58581562,19.12415294,17.53041036,17.94717061,19.54892058
ENSMUSG00000025911,Adhfe1,protein_coding,1.792404005,1.564197897,0.762038476,1.654442917,2.564737237,1.176762939,0.420659226,1.227398384,1.834451489,0.933994481,0.939901985,1.717053515,1.645088425,1.988744033,2.392956081,1.897953455
ENSMUSG00000025912,Mybl1,protein_coding,4.45210027,4.10601948,6.604333458,5.583744845,8.809314856,5.340693337,7.403602382,9.63035655,6.267709253,7.627621595,5.553966273,6.377627341,3.495812904,6.555489589,4.546616554,8.445892874
ENSMUSG00000045210,Vcpip1,protein_coding,92.33771599,82.25073942,89.58185639,88.65056631,139.8339346,99.0291273,105.8378613,135.3914833,130.3224912,100.871404,103.1328814,137.7731035,87.05259584,100.3210879,102.0994595,147.2811881
ENSMUSG00000025915,Sgk3,protein_coding,13.93449565,17.40170161,18.28892342,17.99206672,23.6401867,16.29364069,21.11709316,20.11045044,28.58686903,17.20106503,21.70319128,25.34698046,16.86215636,17.60406755,21.69613513,24.57849724
ENSMUSG00000046101,Mcmdc2,protein_coding,0.636014324,1.303498248,1.608747894,1.309767309,3.233799124,0.814682034,1.261977679,2.643627288,2.063757925,1.323158848,1.794358334,1.962346874,0.959634915,1.104857796,1.914364865,1.233669746
ENSMUSG00000098234,Snhg6,NA,4.278641818,3.84531983,5.334269331,4.273977536,9.255356115,4.34497085,5.889229167,4.154271453,5.27404803,3.424646431,3.674162303,5.887040623,2.947450095,4.198459625,3.748964527,4.080599928
ENSMUSG00000099032,Tcf24,NA,3.700446978,3.193570707,3.725521438,3.99823705,4.237391956,2.444046103,3.5335375,3.11570359,3.974644892,4.514306658,4.186836113,3.597635936,3.084540797,3.609202134,3.031077703,3.985702255
ENSMUSG00000025916,Ppp1r42,protein_coding,1.040750712,0.521399299,0.423354709,0.620416094,1.561144405,0.724161808,1.682636905,1.321813644,1.452274095,1.167493101,1.110793255,0.735880078,0.959634915,1.473143728,1.196478041,1.423465091
ENSMUSG00000025917,Cops5,protein_coding,37.987401,35.91137672,37.67856909,37.08709539,48.95302813,34.7597668,39.71023096,43.80868078,39.51714249,36.81494913,38.3650901,43.49868905,32.83322315,33.07207669,34.05974155,43.55803179
ENSMUSG00000056763,Cspp1,protein_coding,17.57712314,24.70129179,25.57062441,23.64474669,46.38829089,31.9536398,24.48236697,45.8858165,47.31356132,26.38534409,28.28250517,39.98281756,29.1317742,28.87361707,48.25794763,35.68152495
ENSMUSG00000067851,Arfgef1,protein_coding,246.7157383,214.2951119,250.6259876,224.5216909,386.6062608,289.8457638,320.9629896,386.8193214,314.9141722,296.8545792,256.7641331,371.9464971,230.997833,257.652838,249.6650845,325.5939152
ENSMUSG00000102556,NA,NA,0.520375356,0.977623686,0.592696592,0.620416094,1.561144405,0.814682034,0.757186607,1.132983124,1.834451489,1.634490342,1.708912699,1.635289062,0.822544213,1.84142966,1.515538851,1.233669746
ENSMUSG00000048960,Prex2,protein_coding,42.09258437,41.64676901,41.74277429,35.98413345,69.91696728,42.36346579,42.23418631,56.27149514,66.34599551,43.19724475,59.55560757,66.80155818,36.53467211,54.50631794,71.38985642,69.18040343
ENSMUSG00000057715,A830018L16Rik,protein_coding,27.11733801,22.94156916,29.8041715,19.64650964,48.95302813,52.32069066,54.01264465,29.55197647,30.65062696,33.62380132,16.32011628,29.76226093,20.22087856,23.79127121,26.16298649,29.51317622
ENSMUSG00000103825,NA,NA,0.115638968,0,0.846709418,0.413610729,0.892082517,1.991444973,1.514373214,1.132983124,1.146532181,1.400991722,0.68356508,1.226466796,0.548362808,0.515600305,1.276243243,1.138772073
ENSMUSG00000016918,Sulf1,protein_coding,71.17578483,79.44821819,75.27246723,91.33903605,53.85948197,56.12254015,66.88481697,63.82471596,77.73488184,71.76190929,81.42969012,74.16035896,77.93606415,83.67456375,91.4906875,73.54569637
ENSMUSG00000025938,Slco5a1,protein_coding,3.87390543,2.281121933,2.963482962,3.171015591,3.12228881,4.34497085,3.028746429,3.493364631,3.592467499,3.113314937,2.477923414,3.43410703,2.467632638,2.357029965,2.392956081,3.985702255
ENSMUSG00000005886,Ncoa2,protein_coding,123.8493348,145.8614539,150.6296054,146.900744,178.0819725,151.7118989,155.1391226,184.7706644,204.9235184,154.5760866,183.280887,171.1330003,150.3885002,159.9834089,163.5984307,186.8535176
ENSMUSG00000104170,NA,NA,0.173458452,0.325874562,0.592696592,0.137870243,0.780572202,1.267283165,0.252395536,1.132983124,1.070096702,0.389164367,0.427228175,1.226466796,0.342726755,0.515600305,1.116712838,0.284693018
ENSMUSG00000103085,NA,NA,0.57819484,0.912448773,1.524076952,1.861248282,5.240984788,3.349248364,1.430241369,3.682195151,3.592467499,1.556657468,2.563369049,3.761164842,1.919269829,1.915086846,4.546616554,4.270395273
ENSMUSG00000102664,NA,NA,0.520375356,0.521399299,0.423354709,0.620416094,1.784165034,0.724161808,0.588922917,1.321813644,1.375838617,0.700495861,1.110793255,2.044111327,1.096725617,1.03120061,2.552486486,1.0438744
ENSMUSG00000025935,Tram1,protein_coding,343.1586377,311.2753815,287.881202,297.7997251,425.30034,368.1457593,393.6529039,448.2836559,365.5144591,312.5768197,346.3966041,382.9029338,285.6284778,322.3975049,273.116054,409.0089695
ENSMUSG00000025937,Lactb2,protein_coding,21.27757012,19.55247371,20.82905167,19.37076915,36.5753832,27.69918917,27.59524524,35.68896839,38.21773935,20.08088134,28.1116139,31.15225663,19.67251575,22.46544185,23.13190878,38.6233528
ENSMUSG00000025932,Eya1,protein_coding,48.97310297,46.46971253,46.31500515,43.42912657,44.1580846,54.94577721,47.11383334,46.73555385,50.6002869,47.16672129,47.67866431,43.82574686,43.04648046,42.05825343,44.58874831,46.3100643
ENSMUSG00000092083,Kcnb2,protein_coding,45.21483651,32.32675654,41.1500777,44.807829,49.84511064,56.93722219,60.40666489,56.46032566,48.38365802,40.7065928,45.4570778,43.66221795,41.53848274,35.35544947,44.03039189,53.90187812
ENSMUSG00000102937,NA,NA,0.115638968,0.065174912,0.338683767,0.206805365,1.338123776,0.362080904,0.841318452,2.265966247,1.299403138,0.466997241,0.939901985,1.798817968,0.753998862,0.515600305,3.270373311,2.372441818
ENSMUSG00000104149,NA,NA,0.520375356,0.456224387,0.423354709,0.275740486,1.44963409,1.719884295,1.261977679,3.21011885,2.063757925,0.778328734,1.452575794,2.044111327,1.028180266,0.368285932,1.675069257,1.518362764
ENSMUSG00000025925,Terf1,protein_coding,7.169616019,7.886164398,9.144461711,8.065409221,9.701397373,10.86242713,9.254502977,15.38968743,12.30611207,11.20793377,11.19337818,15.20818828,11.58416433,11.34320671,16.75069257,11.95710676
ENSMUSG00000043716,Rpl7,protein_coding,519.9706198,528.7640641,511.0738045,526.7332637,504.2496428,414.4015949,484.0946375,427.0402223,458.9186141,467.7755693,452.1783002,445.4527405,419.7717298,433.104256,427.8605473,425.6160622
ENSMUSG00000025921,Rdh10,protein_coding,10.00277074,13.29568213,14.30938916,11.78790578,16.83805751,12.8538721,18.25661042,16.42825529,18.26807941,13.15375561,15.38021429,20.11405546,11.65270968,16.13092382,16.27210135,18.50504618
ENSMUSG00000025920,Stau2,protein_coding,22.72305722,26.39583951,28.70344926,26.26428131,32.22648093,22.17745538,24.06170774,27.19159496,28.20469164,27.86416868,23.15576708,27.06403397,21.93451234,28.65264551,24.80697804,26.95093906
ENSMUSG00000025939,Ube2w,protein_coding,73.89330058,72.60485239,98.04895057,77.82775222,163.4741213,100.7490116,128.7217232,155.596349,136.6666359,111.3788419,93.05029648,140.7983882,68.4768057,103.120061,92.84669594,147.9454718
ENSMUSG00000102457,NA,NA,0.173458452,0.912448773,1.524076952,0.482545851,1.003592832,0.814682034,0.336527381,0.377661041,1.299403138,0.856161608,0.939901985,0.572351172,1.096725617,0.515600305,0.717886824,0.948976727
ENSMUSG00000079658,Eloc,protein_coding,37.987401,33.36955514,49.02447528,35.91519832,67.46374036,40.46254104,53.17132619,57.40447826,52.96978674,44.75390222,39.13410081,50.93925428,29.5430463,41.54265313,35.65504561,63.10695237
ENSMUSG00000025940,Tmem70,protein_coding,25.55621194,27.30828829,34.29173142,26.26428131,41.37032673,29.23803301,35.08297947,38.89908724,33.86091706,33.3903027,30.76042859,39.32870194,25.15614384,27.69510209,27.99758615,40.42640859
ENSMUSG00000025779,Ly96,protein_coding,2.717515749,2.281121933,2.794141078,3.033145348,4.5719229,4.435491077,5.468569941,6.797898741,3.592467499,3.891643671,3.417825399,5.314689451,3.632903606,3.461887761,3.509668919,3.890804582
ENSMUSG00000042686,Jph1,protein_coding,6.475782211,2.802521232,5.164927448,4.756523387,6.690618878,4.254450624,5.13204256,5.664915618,6.267709253,4.202975165,6.066640082,4.742338279,4.729629223,4.71405993,5.264503378,5.314269673
ENSMUSG00000025777,Gdap1,protein_coding,114.5403979,107.082381,120.0633954,112.7778588,167.9345338,122.5643861,146.5576744,153.1415522,135.9787166,131.7710547,114.0699227,140.7166238,102.6809359,109.0126359,108.6402061,139.1199882
ENSMUSG00000067780,Pi15,protein_coding,4.45210027,6.256791588,1.862760719,3.033145348,6.24457762,4.34497085,4.543119643,4.437517234,3.133854627,4.280808038,5.212183733,5.723511717,2.878904744,4.419431184,5.104972973,6.358144073
ENSMUSG00000085125,Gm16070,lincRNA,0.462555872,0.391049474,0.254012825,0.827221459,1.784165034,0.633641582,0.588922917,1.132983124,1.375838617,0.466997241,1.367130159,1.798817968,0.548362808,0.736571864,1.595304054,1.328567418
ENSMUSG00000025776,Crispld1,protein_coding,13.70321771,15.18575458,11.17656431,13.37341358,21.52149072,9.504623735,11.77845833,13.3125517,10.62453154,10.19610642,20.33606112,16.76171288,11.10434687,13.70023667,16.27210135,17.65096713
ENSMUSG00000025927,Tfap2b,protein_coding,0.57819484,0.782098949,1.778089777,0.965091702,1.44963409,0.724161808,1.261977679,1.699474685,1.605145053,0.933994481,0.939901985,1.144702343,0.753998862,1.473143728,0.797652027,1.328567418
ENSMUSG00000043760,Pkhd1,protein_coding,3.295710589,2.47664667,3.471508612,3.033145348,3.568330068,3.620809042,1.850900595,3.493364631,5.350483509,1.790156089,3.759607938,4.006458202,2.741814042,3.167259015,3.748964527,3.036725528
ENSMUSG00000041859,Mcm3,protein_coding,4.336461302,3.649795093,4.741572739,3.239950713,4.237391956,4.797571981,3.197010119,4.531932494,2.36949984,4.280808038,4.528618653,2.779991405,5.277992031,3.977488066,3.748964527,4.460190619
ENSMUSG00000025931,Paqr8,protein_coding,31.74289673,30.37150917,32.09028693,32.39950713,35.794811,33.67352409,30.70812351,27.56925601,32.40864297,35.49179028,30.67498295,27.47285624,31.39377078,31.15698985,34.77762838,29.13358553
ENSMUSG00000041809,Efhc1,protein_coding,12.43118907,12.38323335,8.63643606,12.61512724,6.467598249,13.215953,9.927557739,11.04658545,9.248692923,12.06409538,9.826248021,8.503503122,14.94288653,12.66903606,9.970650338,8.635688219
ENSMUSG00000041779,Tram2,protein_coding,4.567739238,6.061266851,3.640850496,5.583744845,4.5719229,6.42693605,4.374855953,4.909593535,4.356822286,3.735977924,4.443173018,3.679400389,4.729629223,6.33451803,4.307320946,4.649985964
ENSMUSG00000025933,Tmem14a,protein_coding,8.152547247,9.124487733,9.821829245,8.547955071,11.37405209,9.142542831,9.759294048,8.969449728,9.783741274,9.573443431,7.775552782,8.012916403,8.773804935,10.16469172,7.577694257,8.730585892
ENSMUSG00000025934,Gsta3,protein_coding,1.561126069,2.085597196,1.100722243,1.654442917,2.787757866,1.267283165,1.59850506,1.510644165,2.828112712,1.323158848,1.965249604,2.861755858,1.576543074,1.84142966,3.589434122,1.897953455
ENSMUSG00000028033,Kcnq5,protein_coding,1.040750712,0.847273861,0.338683767,0.758286337,3.456819754,0.271560678,0.504791071,0.472076301,0.764354787,0.622662987,0.939901985,0.490586719,0.685453511,0.589257491,1.276243243,0.474488364
ENSMUSG00000041670,Rims1,protein_coding,3.642627494,4.692593691,5.164927448,4.549718022,8.586294227,3.168207912,4.038328572,2.926873069,3.745338456,3.19114781,4.955846828,2.207640234,3.90708501,5.671603353,9.651589527,3.701009237
ENSMUSG00000026158,Ogfrl1,protein_coding,22.26050135,21.76842073,28.11075267,24.54090327,34.23366659,27.24658804,29.61440953,36.25545995,32.10290105,27.70850294,25.37735358,28.86285194,22.41432979,27.40047334,31.02866385,35.30193426
ENSMUSG00000026156,B3gat2,protein_coding,1.098570196,1.173148423,1.693418835,1.034026823,2.118695978,1.448323617,0.925450298,2.738042549,2.36949984,1.400991722,1.965249604,1.30823125,0.822544213,0.883886237,2.07389527,1.992851127
ENSMUSG00000026155,Smap1,protein_coding,11.2169799,11.0797351,10.7532096,9.926657502,9.812907688,11.94866984,10.17995327,14.16228904,11.54175728,10.19610642,12.90229088,11.44702343,12.26961784,11.26954952,12.44337162,13.38057186
ENSMUSG00000026154,Sdhaf4,protein_coding,13.70321771,14.07778107,18.96629096,14.75211601,22.97112482,18.55664634,19.09792887,18.03331472,15.82214409,17.97939376,14.78209485,14.06348593,15.83397609,17.82503911,14.19820608,19.07443222
ENSMUSG00000026153,Fam135a,protein_coding,37.75612307,36.49795093,39.88001357,34.95010662,58.6544255,42.00138489,48.7123384,55.70500357,49.45375472,44.75390222,37.51063375,59.60628631,36.39758141,40.21682377,44.66851351,55.51513855
