pathway,gene
GOBP_AMIDE_METABOLIC_PROCESS,Cers5
GOBP_AMIDE_METABOLIC_PROCESS,Suclg2
GOBP_AMIDE_METABOLIC_PROCESS,Sod1
GOBP_AMIDE_METABOLIC_PROCESS,Rack1
GOBP_AMIDE_METABOLIC_PROCESS,Vdac1
GOBP_AMIDE_METABOLIC_PROCESS,Abcc1
GOBP_AMIDE_METABOLIC_PROCESS,Gstt1
GOBP_AMIDE_METABOLIC_PROCESS,Aph1a
GOBP_AMIDE_METABOLIC_PROCESS,G6pdx
GOBP_AMIDE_METABOLIC_PROCESS,Hsd17b4
GOBP_AMIDE_METABOLIC_PROCESS,Psap
GOBP_AMIDE_METABOLIC_PROCESS,Gstm1
GOBP_AMIDE_METABOLIC_PROCESS,B4galt5
GOBP_AMIDE_METABOLIC_PROCESS,Csnk1e
GOBP_AMIDE_METABOLIC_PROCESS,Cers2
GOBP_AMIDE_METABOLIC_PROCESS,Abca7
GOBP_AMIDE_METABOLIC_PROCESS,Mvk
GOBP_AMIDE_METABOLIC_PROCESS,Rtn2
GOBP_AMIDE_METABOLIC_PROCESS,Pmvk
GOBP_AMIDE_METABOLIC_PROCESS,Nfe2l1
GOBP_AMIDE_METABOLIC_PROCESS,Slc1a1
GOBP_AMIDE_METABOLIC_PROCESS,Hap1
GOBP_AMIDE_METABOLIC_PROCESS,Ggt7
GOBP_AMIDE_METABOLIC_PROCESS,Gsta4
GOBP_AMIDE_METABOLIC_PROCESS,Cerk
GOBP_AMIDE_METABOLIC_PROCESS,Gpat4
GOBP_AMIDE_METABOLIC_PROCESS,Gsto1
GOBP_AMIDE_METABOLIC_PROCESS,Oplah
GOBP_AMIDE_METABOLIC_PROCESS,Glb1
GOBP_AMIDE_METABOLIC_PROCESS,Abca2
GOBP_AMIDE_METABOLIC_PROCESS,Becn1
GOBP_AMIDE_METABOLIC_PROCESS,Acot7
GOBP_AMIDE_METABOLIC_PROCESS,Folr1
GOBP_AMIDE_METABOLIC_PROCESS,Txnrd3
GOBP_AMIDE_METABOLIC_PROCESS,Ces1d
GOBP_AMIDE_METABOLIC_PROCESS,Psen2
GOBP_AMIDE_METABOLIC_PROCESS,Amdhd2
GOBP_AMIDE_METABOLIC_PROCESS,Chst8
GOBP_AMIDE_METABOLIC_PROCESS,Gstp1
GOBP_AMIDE_METABOLIC_PROCESS,Gm2a
GOBP_AMIDE_METABOLIC_PROCESS,Nt5c
GOBP_AMIDE_METABOLIC_PROCESS,Mecr
GOBP_AMIDE_METABOLIC_PROCESS,Ece1
GOBP_AMIDE_METABOLIC_PROCESS,Cln8
GOBP_AMIDE_METABOLIC_PROCESS,Dlst
GOBP_AMIDE_METABOLIC_PROCESS,Nmnat2
GOBP_AMIDE_METABOLIC_PROCESS,Pcsk6
GOBP_AMIDE_METABOLIC_PROCESS,Apoe
GOBP_AMIDE_METABOLIC_PROCESS,Spon1
GOBP_AMIDE_METABOLIC_PROCESS,Acnat1
GOBP_AMIDE_METABOLIC_PROCESS,Fasn
GOBP_AMIDE_METABOLIC_PROCESS,Slc5a6
GOBP_AMIDE_METABOLIC_PROCESS,Glo1
GOBP_AMIDE_METABOLIC_PROCESS,Btd
GOBP_AMIDE_METABOLIC_PROCESS,Pcsk1n
GOBP_AMIDE_METABOLIC_PROCESS,Fitm2
GOBP_AMIDE_METABOLIC_PROCESS,Pla2g15
GOBP_AMIDE_METABOLIC_PROCESS,Asl
GOBP_AMIDE_METABOLIC_PROCESS,Clu
