pathway,gene
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Krtcap2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Gmppa
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,B4gat1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Fam20b
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Itm2c
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Pofut2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Ctnnb1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,St6galnac6
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Man1b1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Rpn2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Ddost
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Abca2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Fut10
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Man2a2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Pmm1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Tmem258
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,B4galnt4
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Galnt9
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Chst11
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Alg3
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,B3gat3
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,B4galt2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Mogs
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Xylt2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Dpy19l3
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Golga2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Psen1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Rft1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Abca7
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Pomgnt1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Dpm2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Cog7
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Galntl6
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Chpf
