pathway,gene
GOBP_MOLTING_CYCLE,Gli2
GOBP_MOLTING_CYCLE,Gnas
GOBP_MOLTING_CYCLE,Tsku
GOBP_MOLTING_CYCLE,Fgf10
GOBP_MOLTING_CYCLE,Smo
GOBP_MOLTING_CYCLE,Ppp1r13l
GOBP_MOLTING_CYCLE,Ngfr
GOBP_MOLTING_CYCLE,Runx1
GOBP_MOLTING_CYCLE,Lama5
GOBP_MOLTING_CYCLE,Lhx2
GOBP_MOLTING_CYCLE,Lgr5
GOBP_MOLTING_CYCLE,Foxe1
GOBP_MOLTING_CYCLE,Ercc2
GOBP_MOLTING_CYCLE,Fst
GOBP_MOLTING_CYCLE,Fgfr2
GOBP_MOLTING_CYCLE,Notch1
GOBP_MOLTING_CYCLE,Vangl2
GOBP_MOLTING_CYCLE,Fgf7
GOBP_MOLTING_CYCLE,Lamc1
GOBP_MOLTING_CYCLE,Fzd6
GOBP_MOLTING_CYCLE,Akt1
GOBP_MOLTING_CYCLE,Foxq1
GOBP_MOLTING_CYCLE,Fuz
GOBP_MOLTING_CYCLE,Numa1
GOBP_MOLTING_CYCLE,Lrig1
GOBP_MOLTING_CYCLE,Acvr1b
GOBP_MOLTING_CYCLE,Eda
GOBP_MOLTING_CYCLE,Per1
GOBP_MOLTING_CYCLE,Pias4
GOBP_MOLTING_CYCLE,Wnt10b
GOBP_MOLTING_CYCLE,Ldb1
GOBP_MOLTING_CYCLE,Nfatc1
GOBP_MOLTING_CYCLE,Mreg
GOBP_MOLTING_CYCLE,Mfsd12
GOBP_MOLTING_CYCLE,Tnf
GOBP_MOLTING_CYCLE,Krt14
GOBP_MOLTING_CYCLE,Igfbp5
GOBP_MOLTING_CYCLE,Alx4
GOBP_MOLTING_CYCLE,Wnt5a
GOBP_MOLTING_CYCLE,Sox18
GOBP_MOLTING_CYCLE,Prss8
GOBP_MOLTING_CYCLE,Dlx3
GOBP_MOLTING_CYCLE,Hpse
