pathway,gene
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Ran
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc25a5
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Ncbp2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Alyref
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nup210
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc25a25
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Sem1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Ybx1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Abcc1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Tmem241
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc25a4
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nsun2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Eif4a3
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nutf2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc25a41
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Hnrnpa1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Flot1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Sec13
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc35b2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Panx1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc35b1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Mrpl18
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc35c1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nup50
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Fxr2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc29a1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Kpnb1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nup54
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Ddx39b
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Abcc4
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Poldip3
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Ddx25
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Slc35a2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Calhm1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Zfp36
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Abcc5
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Thoc3
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nxf1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Phax
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Calhm2
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Akap8l
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Thoc6
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Gle1
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Aaas
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Rbm8a
