pathway,gene
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Kif5a
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Iqsec2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cacng3
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Gpc4
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Kifc2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Gpc6
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cacng2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Nptx2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Camk2a
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cnih2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Dlg4
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Slc12a5
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Grip2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cacng7
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cnih3
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Neto1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cacng5
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Gsk3b
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Kif17
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cacng8
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Cacna2d2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Dbn1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Nsg1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Scrib
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Rapsn
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Nlgn1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Git1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Kalrn
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Epb41l1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Stx1b
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Lrrc7
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Nrxn3
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Tmem108
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,C1ql3
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Zdhhc3
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,C1ql2
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Kif2c
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Rab4a
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Map2k1
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE,Lhfpl4
