pathway,gene
GOBP_RESPONSE_TO_CAMP,Rplp0
GOBP_RESPONSE_TO_CAMP,Per1
GOBP_RESPONSE_TO_CAMP,Bsg
GOBP_RESPONSE_TO_CAMP,Pygm
GOBP_RESPONSE_TO_CAMP,Itpr2
GOBP_RESPONSE_TO_CAMP,Aldh3a1
GOBP_RESPONSE_TO_CAMP,Srebf1
GOBP_RESPONSE_TO_CAMP,Ezr
GOBP_RESPONSE_TO_CAMP,Itpr1
GOBP_RESPONSE_TO_CAMP,Fosl1
GOBP_RESPONSE_TO_CAMP,Eef2k
GOBP_RESPONSE_TO_CAMP,Itpr3
GOBP_RESPONSE_TO_CAMP,Hmgcs2
GOBP_RESPONSE_TO_CAMP,Fosb
GOBP_RESPONSE_TO_CAMP,Ass1
GOBP_RESPONSE_TO_CAMP,Rapgef1
GOBP_RESPONSE_TO_CAMP,Dmtn
GOBP_RESPONSE_TO_CAMP,Rapgef3
GOBP_RESPONSE_TO_CAMP,Inhbb
GOBP_RESPONSE_TO_CAMP,Carm1
GOBP_RESPONSE_TO_CAMP,Cited1
GOBP_RESPONSE_TO_CAMP,Sdc1
GOBP_RESPONSE_TO_CAMP,Hcn4
GOBP_RESPONSE_TO_CAMP,Crtc1
GOBP_RESPONSE_TO_CAMP,Kcnq1
GOBP_RESPONSE_TO_CAMP,Fbp1
GOBP_RESPONSE_TO_CAMP,Hmga1
GOBP_RESPONSE_TO_CAMP,Kdm1a
GOBP_RESPONSE_TO_CAMP,Ptk2b
GOBP_RESPONSE_TO_CAMP,Inpp5k
GOBP_RESPONSE_TO_CAMP,Akap7
GOBP_RESPONSE_TO_CAMP,Rela
GOBP_RESPONSE_TO_CAMP,Cnga3
GOBP_RESPONSE_TO_CAMP,Hcn2
GOBP_RESPONSE_TO_CAMP,Cdo1
GOBP_RESPONSE_TO_CAMP,Crtc3
GOBP_RESPONSE_TO_CAMP,Wnt10b
GOBP_RESPONSE_TO_CAMP,Fos
