pathway,gene
HALLMARK_COAGULATION,Crip2
HALLMARK_COAGULATION,Dusp14
HALLMARK_COAGULATION,Usp11
HALLMARK_COAGULATION,Wdr1
HALLMARK_COAGULATION,Cd9
HALLMARK_COAGULATION,Gnb2
HALLMARK_COAGULATION,Csrp1
HALLMARK_COAGULATION,Iscu
HALLMARK_COAGULATION,Lgmn
HALLMARK_COAGULATION,Capn5
HALLMARK_COAGULATION,Fyn
HALLMARK_COAGULATION,Pef1
HALLMARK_COAGULATION,Clu
HALLMARK_COAGULATION,Gsn
HALLMARK_COAGULATION,Hmgcs2
HALLMARK_COAGULATION,Serpine1
HALLMARK_COAGULATION,C2
HALLMARK_COAGULATION,C3
HALLMARK_COAGULATION,Mmp15
HALLMARK_COAGULATION,Ctsb
HALLMARK_COAGULATION,Rapgef3
HALLMARK_COAGULATION,Rabif
HALLMARK_COAGULATION,Mmp14
HALLMARK_COAGULATION,Timp3
HALLMARK_COAGULATION,Lrp1
HALLMARK_COAGULATION,Sirt2
HALLMARK_COAGULATION,Prep
HALLMARK_COAGULATION,Dusp6
HALLMARK_COAGULATION,Casp9
HALLMARK_COAGULATION,C1qa
HALLMARK_COAGULATION,Cfi
HALLMARK_COAGULATION,S100a1
HALLMARK_COAGULATION,A2m
HALLMARK_COAGULATION,Furin
HALLMARK_COAGULATION,Ctsl
HALLMARK_COAGULATION,Pros1
HALLMARK_COAGULATION,Maff
HALLMARK_COAGULATION,Apoc3
HALLMARK_COAGULATION,Gp9
HALLMARK_COAGULATION,Mmp11
HALLMARK_COAGULATION,Serping1
HALLMARK_COAGULATION,Bmp1
HALLMARK_COAGULATION,F2rl2
HALLMARK_COAGULATION,Rac1
