pathway,gene
HALLMARK_E2F_TARGETS,Brca1
HALLMARK_E2F_TARGETS,Kif4
HALLMARK_E2F_TARGETS,Hells
HALLMARK_E2F_TARGETS,Dck
HALLMARK_E2F_TARGETS,Melk
HALLMARK_E2F_TARGETS,Hmmr
HALLMARK_E2F_TARGETS,Mthfd2
HALLMARK_E2F_TARGETS,Rrm2
HALLMARK_E2F_TARGETS,Top2a
HALLMARK_E2F_TARGETS,Ung
HALLMARK_E2F_TARGETS,Tcf19
HALLMARK_E2F_TARGETS,Spc24
HALLMARK_E2F_TARGETS,Cdk1
HALLMARK_E2F_TARGETS,Aurkb
HALLMARK_E2F_TARGETS,Mki67
HALLMARK_E2F_TARGETS,Donson
HALLMARK_E2F_TARGETS,Pms2
HALLMARK_E2F_TARGETS,Rad21
HALLMARK_E2F_TARGETS,Cit
HALLMARK_E2F_TARGETS,Cenpe
HALLMARK_E2F_TARGETS,Asf1b
HALLMARK_E2F_TARGETS,Cks2
HALLMARK_E2F_TARGETS,Spag5
HALLMARK_E2F_TARGETS,Dut
HALLMARK_E2F_TARGETS,Spc25
HALLMARK_E2F_TARGETS,Mcm5
HALLMARK_E2F_TARGETS,Rad51ap1
HALLMARK_E2F_TARGETS,Trp53
HALLMARK_E2F_TARGETS,Diaph3
HALLMARK_E2F_TARGETS,Dscc1
HALLMARK_E2F_TARGETS,Cenpm
HALLMARK_E2F_TARGETS,Chek1
HALLMARK_E2F_TARGETS,Kif2c
HALLMARK_E2F_TARGETS,Cdca3
HALLMARK_E2F_TARGETS,Tipin
HALLMARK_E2F_TARGETS,Mad2l1
HALLMARK_E2F_TARGETS,Racgap1
HALLMARK_E2F_TARGETS,Wdr90
HALLMARK_E2F_TARGETS,Psip1
HALLMARK_E2F_TARGETS,Prkdc
HALLMARK_E2F_TARGETS,Ccne1
HALLMARK_E2F_TARGETS,Mms22l
HALLMARK_E2F_TARGETS,Hnrnpd
HALLMARK_E2F_TARGETS,Timeless
HALLMARK_E2F_TARGETS,Mcm3
HALLMARK_E2F_TARGETS,Brca2
HALLMARK_E2F_TARGETS,E2f8
HALLMARK_E2F_TARGETS,Chek2
HALLMARK_E2F_TARGETS,Cdkn1b
HALLMARK_E2F_TARGETS,Ube2t
HALLMARK_E2F_TARGETS,Cdkn2c
HALLMARK_E2F_TARGETS,Plk4
HALLMARK_E2F_TARGETS,Pold2
HALLMARK_E2F_TARGETS,Zw10
