pathway,gene
HALLMARK_IL2_STAT5_SIGNALING,Nop2
HALLMARK_IL2_STAT5_SIGNALING,Uck2
HALLMARK_IL2_STAT5_SIGNALING,Gabarapl1
HALLMARK_IL2_STAT5_SIGNALING,Bhlhe40
HALLMARK_IL2_STAT5_SIGNALING,Tiam1
HALLMARK_IL2_STAT5_SIGNALING,Gsto1
HALLMARK_IL2_STAT5_SIGNALING,Igf1r
HALLMARK_IL2_STAT5_SIGNALING,Tnfrsf9
HALLMARK_IL2_STAT5_SIGNALING,Gadd45b
HALLMARK_IL2_STAT5_SIGNALING,Aplp1
HALLMARK_IL2_STAT5_SIGNALING,Ccnd3
HALLMARK_IL2_STAT5_SIGNALING,Spry4
HALLMARK_IL2_STAT5_SIGNALING,Nfil3
HALLMARK_IL2_STAT5_SIGNALING,Bcl2l1
HALLMARK_IL2_STAT5_SIGNALING,Plec
HALLMARK_IL2_STAT5_SIGNALING,Slc2a3
HALLMARK_IL2_STAT5_SIGNALING,Mxd1
HALLMARK_IL2_STAT5_SIGNALING,Irf8
HALLMARK_IL2_STAT5_SIGNALING,P2rx4
HALLMARK_IL2_STAT5_SIGNALING,Scn9a
HALLMARK_IL2_STAT5_SIGNALING,Odc1
HALLMARK_IL2_STAT5_SIGNALING,Map6
HALLMARK_IL2_STAT5_SIGNALING,Pus1
HALLMARK_IL2_STAT5_SIGNALING,Ctsz
HALLMARK_IL2_STAT5_SIGNALING,Cd81
HALLMARK_IL2_STAT5_SIGNALING,Galm
HALLMARK_IL2_STAT5_SIGNALING,P4ha1
HALLMARK_IL2_STAT5_SIGNALING,Dcps
HALLMARK_IL2_STAT5_SIGNALING,Il4ra
HALLMARK_IL2_STAT5_SIGNALING,Prnp
HALLMARK_IL2_STAT5_SIGNALING,Cd44
HALLMARK_IL2_STAT5_SIGNALING,Cdc42se2
HALLMARK_IL2_STAT5_SIGNALING,Rnh1
HALLMARK_IL2_STAT5_SIGNALING,Mapkapk2
HALLMARK_IL2_STAT5_SIGNALING,Myo1e
HALLMARK_IL2_STAT5_SIGNALING,Hopx
HALLMARK_IL2_STAT5_SIGNALING,Anxa4
HALLMARK_IL2_STAT5_SIGNALING,Amacr
HALLMARK_IL2_STAT5_SIGNALING,Il10ra
HALLMARK_IL2_STAT5_SIGNALING,Igf2r
HALLMARK_IL2_STAT5_SIGNALING,Myc
HALLMARK_IL2_STAT5_SIGNALING,Capg
HALLMARK_IL2_STAT5_SIGNALING,S100a1
HALLMARK_IL2_STAT5_SIGNALING,Il3ra
HALLMARK_IL2_STAT5_SIGNALING,Furin
HALLMARK_IL2_STAT5_SIGNALING,Ncoa3
HALLMARK_IL2_STAT5_SIGNALING,Umps
HALLMARK_IL2_STAT5_SIGNALING,Cdcp1
HALLMARK_IL2_STAT5_SIGNALING,Lrig1
HALLMARK_IL2_STAT5_SIGNALING,Maff
HALLMARK_IL2_STAT5_SIGNALING,Csf1
HALLMARK_IL2_STAT5_SIGNALING,Syngr2
HALLMARK_IL2_STAT5_SIGNALING,Snx9
HALLMARK_IL2_STAT5_SIGNALING,Ifitm3
