pathway,gene
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psmb2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psme2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Nfkbia
HALLMARK_INTERFERON_GAMMA_RESPONSE,Vamp8
HALLMARK_INTERFERON_GAMMA_RESPONSE,Rbck1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psme1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Socs3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ifi30
HALLMARK_INTERFERON_GAMMA_RESPONSE,Mvp
HALLMARK_INTERFERON_GAMMA_RESPONSE,Pfkp
HALLMARK_INTERFERON_GAMMA_RESPONSE,Cd74
HALLMARK_INTERFERON_GAMMA_RESPONSE,H2-Aa
HALLMARK_INTERFERON_GAMMA_RESPONSE,Irf1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Slc25a28
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psma3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Fcgr1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Tap1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Il10ra
HALLMARK_INTERFERON_GAMMA_RESPONSE,Irf8
HALLMARK_INTERFERON_GAMMA_RESPONSE,Myd88
HALLMARK_INTERFERON_GAMMA_RESPONSE,Trafd1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Pde4b
HALLMARK_INTERFERON_GAMMA_RESPONSE,H2-DMa
HALLMARK_INTERFERON_GAMMA_RESPONSE,Tnfaip3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Trim21
HALLMARK_INTERFERON_GAMMA_RESPONSE,Stat3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Mthfd2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Tor1b
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psmb10
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ifitm2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Il2rb
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ogfr
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ifi27
HALLMARK_INTERFERON_GAMMA_RESPONSE,Lap3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ptpn6
HALLMARK_INTERFERON_GAMMA_RESPONSE,St3gal5
HALLMARK_INTERFERON_GAMMA_RESPONSE,Pml
HALLMARK_INTERFERON_GAMMA_RESPONSE,Tapbp
HALLMARK_INTERFERON_GAMMA_RESPONSE,Rtp4
HALLMARK_INTERFERON_GAMMA_RESPONSE,Eif4e3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psmb8
HALLMARK_INTERFERON_GAMMA_RESPONSE,Lgals3bp
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ly6e
HALLMARK_INTERFERON_GAMMA_RESPONSE,Adar
HALLMARK_INTERFERON_GAMMA_RESPONSE,Isg20
HALLMARK_INTERFERON_GAMMA_RESPONSE,Bpgm
HALLMARK_INTERFERON_GAMMA_RESPONSE,Rnf213
HALLMARK_INTERFERON_GAMMA_RESPONSE,Znfx1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Parp12
HALLMARK_INTERFERON_GAMMA_RESPONSE,Helz2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Txnip
HALLMARK_INTERFERON_GAMMA_RESPONSE,Rnf31
HALLMARK_INTERFERON_GAMMA_RESPONSE,Bst2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Casp7
HALLMARK_INTERFERON_GAMMA_RESPONSE,Zbp1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Cmklr1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Il18bp
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ifnar2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Epsti1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Parp14
HALLMARK_INTERFERON_GAMMA_RESPONSE,Nup93
HALLMARK_INTERFERON_GAMMA_RESPONSE,Plscr1
HALLMARK_INTERFERON_GAMMA_RESPONSE,Eif2ak2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Psmb9
HALLMARK_INTERFERON_GAMMA_RESPONSE,Irf5
HALLMARK_INTERFERON_GAMMA_RESPONSE,Tdrd7
HALLMARK_INTERFERON_GAMMA_RESPONSE,Tnfaip2
HALLMARK_INTERFERON_GAMMA_RESPONSE,Casp3
HALLMARK_INTERFERON_GAMMA_RESPONSE,Oasl1
