pathway,gene
HALLMARK_PROTEIN_SECRETION,Sod1
HALLMARK_PROTEIN_SECRETION,Atp1a1
HALLMARK_PROTEIN_SECRETION,Cope
HALLMARK_PROTEIN_SECRETION,M6pr
HALLMARK_PROTEIN_SECRETION,Ykt6
HALLMARK_PROTEIN_SECRETION,Gla
HALLMARK_PROTEIN_SECRETION,Arf1
HALLMARK_PROTEIN_SECRETION,Ergic3
HALLMARK_PROTEIN_SECRETION,Ap2s1
HALLMARK_PROTEIN_SECRETION,Ap2b1
HALLMARK_PROTEIN_SECRETION,Ap2m1
HALLMARK_PROTEIN_SECRETION,Cd63
HALLMARK_PROTEIN_SECRETION,Cog2
HALLMARK_PROTEIN_SECRETION,Napa
HALLMARK_PROTEIN_SECRETION,Rer1
HALLMARK_PROTEIN_SECRETION,Gosr2
HALLMARK_PROTEIN_SECRETION,Clcn3
HALLMARK_PROTEIN_SECRETION,Clta
HALLMARK_PROTEIN_SECRETION,Copb2
HALLMARK_PROTEIN_SECRETION,Vps45
HALLMARK_PROTEIN_SECRETION,Ap3b1
HALLMARK_PROTEIN_SECRETION,Arfip1
HALLMARK_PROTEIN_SECRETION,Krt18
