pathway,gene
HALLMARK_PROTEIN_SECRETION,Copb1
HALLMARK_PROTEIN_SECRETION,Yipf6
HALLMARK_PROTEIN_SECRETION,Arfgef1
HALLMARK_PROTEIN_SECRETION,Cd63
HALLMARK_PROTEIN_SECRETION,Lman1
HALLMARK_PROTEIN_SECRETION,Vamp4
HALLMARK_PROTEIN_SECRETION,Rab2a
HALLMARK_PROTEIN_SECRETION,Adam10
HALLMARK_PROTEIN_SECRETION,Cltc
HALLMARK_PROTEIN_SECRETION,Snap23
HALLMARK_PROTEIN_SECRETION,Copb2
HALLMARK_PROTEIN_SECRETION,Uso1
HALLMARK_PROTEIN_SECRETION,Rer1
HALLMARK_PROTEIN_SECRETION,Dnm1l
HALLMARK_PROTEIN_SECRETION,Sec22b
HALLMARK_PROTEIN_SECRETION,Tmx1
HALLMARK_PROTEIN_SECRETION,Vamp3
HALLMARK_PROTEIN_SECRETION,Cln5
HALLMARK_PROTEIN_SECRETION,Snx2
HALLMARK_PROTEIN_SECRETION,Ctsc
HALLMARK_PROTEIN_SECRETION,Bet1
HALLMARK_PROTEIN_SECRETION,Stam
HALLMARK_PROTEIN_SECRETION,Lamp2
HALLMARK_PROTEIN_SECRETION,Ap1g1
HALLMARK_PROTEIN_SECRETION,Vps4b
HALLMARK_PROTEIN_SECRETION,Ap3s1
HALLMARK_PROTEIN_SECRETION,Arfgap3
HALLMARK_PROTEIN_SECRETION,Vps45
HALLMARK_PROTEIN_SECRETION,Scamp1
HALLMARK_PROTEIN_SECRETION,Tpd52
HALLMARK_PROTEIN_SECRETION,Rab14
HALLMARK_PROTEIN_SECRETION,Tmed10
HALLMARK_PROTEIN_SECRETION,Atp6v1b1
HALLMARK_PROTEIN_SECRETION,Sec24d
HALLMARK_PROTEIN_SECRETION,Zw10
HALLMARK_PROTEIN_SECRETION,Rab5a
HALLMARK_PROTEIN_SECRETION,Abca1
HALLMARK_PROTEIN_SECRETION,Cope
