pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast
GOBP_CYTOPLASMIC_TRANSLATION,1.3457413678058e-58,7.01534975037165e-55,1.99915832792081,-0.831788272486284,-3.47934723084371,165,Rps25|Rpl14|Rpl7a|Rpl26|Rpl35|Rps3|Rps3a1|Rplp0|Rpl32|Rpl38|Rps9|Rps15a|Rpl8|Rpl41|Rpsa|Rps18|Rpl19|Rpl36a|Rpl18a|Rps21|Rps8|Rps17|Rps26|Rpl27a|Rps28|Rps15|Rpl18|Rpl10a|Rpl34|Rplp2|Rpl23a|Rplp1|Rps23|Rpl27|Rps13|Rps16|Eif3i|Rpl7|Rpl21|Rpl12|Rpl37a|Rps5|Rps24|Rps6|Rpl3|Rpl11|Rps20|Rpl37|Rps19|Rpl13a|Rpl29|Rps29|Rpl36|Rpl30|Eif3k|Rpl31|Rpl6|Rps12|Rps7|Eif3h|Rpl4|Rps11|Rpl15|Rpl13|Rpl23|Rpl36-ps12|Eif4a1|Rpl35a|Pkm|Rpl17|Rps4x|Ncbp2|Fau|Rpl28|Rpl22|Rps2|Rpl9|Eef2|Eif3m|Eif3g|Eif3l|Eif4h|Ybx1|Eif3d|Rpl39|Mcts2|Eif3c|Drg2|Eif2b5,Hi_vs_PBS
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,3.71872851350882e-50,9.69286587046074e-47,1.8484619195312,-0.625852688811782,-2.9106065144167,437,Rps25|Rpl14|Rpl7a|Rpl26|Rpl35|Rps3a1|Rplp0|Rpl38|Rps9|Rps15a|Rpsa|Rps21|Rps8|Rps17|Rps28|Rps15|Rps23|Rpl27|Rps13|Rps16|Eif3i|Rpl7|Rps5|Rps24|Rps6|Ebna1bp2|Rpl11|Rps19|Rpl13a|Pop4|Eif3k|Fbl|Rps12|Rps7|Hsp90ab1|Eif3h|Grwd1|Rps11|Ddx47|Snrpd2|Utp4|Ran|Rpl7l1|Snrpg|Lyar|Rpl35a|Gemin7|Lsm6|Xrcc5|Rps4x|Nop2|Fau|Bysl|Exosc5|Snrpc|Snrpb|Wdr55|Nop10|Rrp7a|Rrp1|Abt1|Eif6|Ruvbl1|Snu13|Lsm4|Clns1a|Eif3m|Rsrp1|Eif3g|Pwp2|Prmt5|Nhp2|Nop56|Ddx56|Ppan|Exosc2|Nol11|Eif3l|Eif4h|Mrm3|Emg1|U2af2|Eif3d|Nop53|Xab2|Utp14b|Tbl3|Fbll1|Nop16|Pih1d1|Tsr1|Tsr2|Nop14|Noc2l|Sirt7|Dhx30|Mcts2|Eif3c|Rrp8|Riox1|Rcl1|Eif4a3|Rps27l|Tssc4|Ddx49|Imp3|Nsa2|Srpk1|Nob1|Surf6|Prpf31|Rsl24d1|Myg1|Bms1|Gnl2|Wdr18|Abcf1|Snrpd1|Prpf19|Ddx39b|Pak1ip1|Cinp|Rpl5|Npm1|Luc7l|Pwp1|Sbds|Mterf4|Trmt112|Rrp1b|Pa2g4|Snrpf|Eif3b|Ftsj3|Puf60|Mrps7|Rps27|Cdkn2a|Gar1|Mybbp1a|Sf3a3|Mak16|Nle1|Ddx54|Fcf1|Utp6|Ncl|Pop7|C1qbp|Rbm10|Dkc1|Prpf6|Mrto4|Ltv1|Hsp90aa1|Mrps2|Ipo4|Wdr46|Eif3f|Imp4|Npm3|Rrp36|Gtf3a|Celf3|Ruvbl2|Rbfa|Slu7|Rps6-ps4|Cul4a|Eif4b|Tarbp2|Nip7|Snrpd3|Ipo9|Rexo4|Ddx21|Lsg1|Mdn1|Mrm1|Utp15|Urb2|Bop1|Ago1|Snrnp200|Sfswap|Sde2|Rpf2|Exosc10|Rrp15|Usp4|Nol9|Prpf18|Nop58|Eif2d|Noc4l|Las1l|Prmt7|Srfbp1|Urb1|Ddx27|Pes1|Bud23|Nol3,Hi_vs_PBS
GOBP_RIBOSOME_BIOGENESIS,1.31340644652948e-43,2.28226260191939e-40,1.72082439707331,-0.66450451221469,-2.98827944373318,307,Rps25|Rpl14|Rpl7a|Rpl26|Rpl35|Rps3a1|Rplp0|Rpl38|Rps9|Rps15a|Rpsa|Rps21|Rps8|Rps17|Rps28|Rps15|Rps23|Rpl27|Rps13|Rps16|Rpl7|Rps5|Rps24|Rps6|Ebna1bp2|Rpl11|Rps19|Pop4|Fbl|Rps12|Rps7|Grwd1|Rps11|Ddx47|Utp4|Ran|Rpl7l1|Lyar|Rpl35a|Lsm6|Xrcc5|Rps4x|Nop2|Fau|Bysl|Exosc5|Wdr55|Nop10|Rrp7a|Rrp1|Abt1|Eif6|Snu13|Pwp2|Nhp2|Nop56|Ddx56|Ppan|Exosc2|Nol11|Mrm3|Emg1|Nop53|Utp14b|Tbl3|Fbll1|Nop16|Pih1d1|Tsr1|Tsr2|Nop14|Noc2l|Sirt7|Dhx30|Rrp8|Riox1|Rcl1|Eif4a3|Rps27l|Ddx49|Imp3|Nsa2|Nob1|Surf6|Rsl24d1|Myg1|Bms1|Gnl2|Wdr18|Abcf1|Pak1ip1|Cinp|Rpl5|Npm1|Pwp1|Sbds|Mterf4|Trmt112|Rrp1b|Pa2g4|Ftsj3|Mrps7|Rps27|Cdkn2a|Gar1|Mybbp1a|Mak16|Nle1|Ddx54|Fcf1|Utp6|Ncl|Pop7|C1qbp|Rbm10|Dkc1|Mrto4|Ltv1|Mrps2|Ipo4|Wdr46|Imp4|Npm3|Rrp36|Gtf3a|Rbfa|Rps6-ps4|Cul4a|Nip7|Ipo9|Rexo4|Ddx21|Lsg1|Mdn1|Mrm1|Utp15|Urb2|Bop1|Sde2|Rpf2|Exosc10|Rrp15|Nol9|Nop58|Noc4l|Las1l|Srfbp1|Urb1|Ddx27|Pes1|Bud23,Hi_vs_PBS
GOBP_TRANSLATION_AT_SYNAPSE,1.04996683087436e-36,1.36836927233701e-33,1.57637362160047,-0.948983324155735,-3.25533555898241,48,Rpl14|Rpl7a|Rpl26|Rpl35|Rpl32|Rpl38|Rps15a|Rpl8|Rpl36a|Rps26|Rpl27a|Rps28|Rpl10a|Rpl34|Rplp2|Rpl23a|Rpl27|Rps16|Rpl7|Rpl12|Rpl37a|Rps5|Rps24|Rpl37|Rpl13a|Rpl29|Rpl36|Rpl6|Rps12|Rpl4|Rps11|Rpl15|Rpl13|Rpl23|Rpl35a|Rpl10|Rpl17|Rpl28|Rpl22|Rpl9|Eef2,Hi_vs_PBS
GOBP_RRNA_PROCESSING,4.17216075035375e-33,4.34989479831882e-30,1.49547932629977,-0.67826130329517,-2.90583133743827,210,Rps25|Rpl14|Rpl7a|Rpl26|Rpl35|Rps21|Rps8|Rps17|Rps28|Rps15|Rpl27|Rps16|Rpl7|Rps24|Rps6|Ebna1bp2|Rpl11|Rps19|Pop4|Fbl|Rps7|Ddx47|Utp4|Rpl7l1|Lyar|Rpl35a|Lsm6|Nop2|Bysl|Exosc5|Wdr55|Nop10|Rrp7a|Rrp1|Abt1|Eif6|Snu13|Pwp2|Nhp2|Ddx56|Ppan|Exosc2|Nol11|Mrm3|Emg1|Nop53|Utp14b|Tbl3|Fbll1|Pih1d1|Tsr1|Tsr2|Nop14|Sirt7|Rrp8|Rcl1|Eif4a3|Ddx49|Imp3|Nsa2|Nob1|Myg1|Bms1|Wdr18|Pak1ip1|Rpl5|Npm1|Pwp1|Sbds|Mterf4|Trmt112|Rrp1b|Pa2g4|Ftsj3|Rps27|Cdkn2a|Gar1|Mak16|Ddx54|Fcf1|Utp6|Ncl|Pop7|Dkc1|Mrto4|Wdr46|Imp4|Npm3|Rrp36|Rbfa|Rps6-ps4|Rexo4|Ddx21|Mrm1|Utp15|Bop1|Sde2|Rpf2|Exosc10|Rrp15|Nol9|Las1l|Srfbp1|Urb1|Ddx27|Pes1|Bud23,Hi_vs_PBS
GOBP_RRNA_METABOLIC_PROCESS,2.81945636176277e-32,2.44963766897822e-29,1.47456250139425,-0.65491257512147,-2.85522893984315,241,Rps25|Rpl14|Rpl7a|Rpl26|Rpl35|Rps21|Rps8|Rps17|Rps28|Rps15|Rpl27|Rps16|Rpl7|Rps24|Rps6|Ebna1bp2|Rpl11|Rps19|Pop4|Fbl|Rps7|Ddx47|Utp4|Rpl7l1|Lyar|Rpl35a|Lsm6|Polr1d|Trir|Nop2|Bysl|Polr2e|Exosc5|Wdr55|Nop10|Rrp7a|Rrp1|Abt1|Eif6|Snu13|Polr1b|Pwp2|Nhp2|Ddx56|Ppan|Exosc2|Nol11|Mrm3|Emg1|Nop53|Utp14b|Tbl3|Fbll1|Pih1d1|Tsr1|Tsr2|Nop14|Sirt7|Polr1a|Rrp8|Rcl1|Eif4a3|Ddx49|Imp3|Nsa2|Nob1|Myg1|Pelo|Bms1|Wdr18|Pak1ip1|Rpl5|Npm1|Pwp1|Sbds|Mterf4|Trmt112|Rrp1b|Pa2g4|Ftsj3|Rps27|Cdkn2a|Gar1|Smarca4|Mak16|Ddx54|Fcf1|Utp6|Ncl|Polr1e|Pop7|Dkc1|Mrto4|Wdr46|Imp4|Npm3|Rrp36|Rbfa|Rps6-ps4|Rexo4|Ddx21|Mrm1|Utp15|Bop1|Sde2|Rpf2|Exosc10|Rrp15|Nol9|Gtf3c1|Las1l|Smarcb1|Cavin1|Srfbp1|Urb1|Ddx27|Pes1|Bud23,Hi_vs_PBS
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.27117661678994e-30,9.46663386189424e-28,1.43902565267782,-0.543406621942382,-2.52578411392256,434,Nr4a3|Ndufs5|Ndufs8|Uqcr10|Ndufa13|Park7|Uqcrb|Ndufa1|Cox6b1|Mrps36|Ppp1ca|G6pdx|Taldo1|Cox7a2l|Ndufa3|Cox4i1|Pgam1|Tkt|Aldoa|Ldha|Pkm|Ndufb3|Pgk1|Ndufb6|Ndufb9|Fh1|Ndufb10|Uqcrc1|Ndufv1|Tpi1|Ndufa12|Uqcrh|Uqcr11|Cox7c|Eif6|Idh3g|Sdhb|Ndufb11|Uqcc2|Slc25a25|Ndufa10|Ndufs2|Khk|Pfkl|Ndufs6|Pfkp|Mpi|Gabarapl1|Gck|Gapdh|Jmjd8|Pygm|Mdh2|Cox7a2|Ndufa2|Ndufs3|Cavin3|Pgm2|Mdh1|Ndufa8|Suclg2|Pdha2|Sdhc|Cox8a|Nop53|Ndufs1|Idh3b|Uqcrc2|Pfkfb3|Ogdh|Prelid1|Irs2|Ddit4|Vcp|Il6st|Idh2|Etfb|Ndufa11|Akt1|mt-Co2|Ndufa7|Pfkm|Ndufs7|Hk1|Eno1|Ndufa9|Sdhd|Slc25a12|Mfn2|Pgd|Ndufv3|Galk1|Etfdh|Iscu|Stoml2|Sdha|Ndufb7|Cox6a1|Uqcrq|Trap1|Uqcc3|Aldoart2|Stbd1|Aco2|Suclg1|Gale|Cox5b|App|Dguok|Stat3|Cisd1|Bcl2l13|Gpi1|Mybbp1a|Psen1|Hmgb1|Gys2|Prkag1|Eno2|Dlst|Ndufa6|Pdha1|Gpr180|Chchd10|Gbe1|Ndufc1|Stk40|Mtfr1l|Comt|mt-Co3|Pgf|Coq7|Slc25a13|Atg12|Coq10b|Akt2|Idh3a|Cs|Ppp1cc|Sirt6|Tefm|Ndor1|Prkaca|Aifm2|Nipsnap2|Cox7b|Rhoa|Acox1|Adsl|Pygb|Shmt2|Wipi2|Ndufb5|Msh2|Sdhaf2|Cox5a|Il10rb|Bid|Oas1c|Ogdhl|Vgf|Wdr45|Hkdc1|Slc25a33|Oxa1l|Aldoc|Sirt3|Arl2|Uqcrfs1|Pgls|Wdr45b|Gaa|Enox2|Ppif|Trpv4|Rubcnl|Immp2l|Atg2b|Ppp2ca,Hi_vs_PBS
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,2.61323788423076e-27,1.70285113631187e-24,1.3575740855908,-0.570662027421983,-2.57710808420638,316,Nr4a3|Ndufs5|Ndufs8|Uqcr10|Ndufa13|Park7|Uqcrb|Ndufa1|Cox6b1|Mrps36|Ppp1ca|Cox7a2l|Ndufa3|Cox4i1|Ldha|Ndufb3|Ndufb6|Ndufb9|Fh1|Ndufb10|Uqcrc1|Ndufv1|Ndufa12|Uqcrh|Uqcr11|Cox7c|Idh3g|Sdhb|Ndufb11|Uqcc2|Slc25a25|Ndufa10|Ndufs2|Khk|Ndufs6|Gabarapl1|Gck|Jmjd8|Pygm|Mdh2|Cox7a2|Ndufa2|Ndufs3|Cavin3|Pgm2|Mdh1|Ndufa8|Suclg2|Pdha2|Sdhc|Cox8a|Nop53|Ndufs1|Idh3b|Uqcrc2|Ogdh|Prelid1|Irs2|Vcp|Il6st|Idh2|Etfb|Ndufa11|Akt1|mt-Co2|Ndufa7|Pfkm|Ndufs7|Ndufa9|Sdhd|Slc25a12|Mfn2|Ndufv3|Etfdh|Iscu|Stoml2|Sdha|Ndufb7|Cox6a1|Uqcrq|Trap1|Uqcc3|Stbd1|Aco2|Suclg1|Cox5b|Dguok|Cisd1|Bcl2l13|Mybbp1a|Hmgb1|Gys2|Dlst|Ndufa6|Pdha1|Chchd10|Gbe1|Ndufc1|Stk40|Mtfr1l|Comt|mt-Co3|Pgf|Coq7|Slc25a13|Atg12|Coq10b|Akt2|Idh3a|Cs|Ppp1cc|Tefm|Prkaca|Aifm2|Nipsnap2|Cox7b|Rhoa|Adsl|Pygb|Shmt2|Wipi2|Ndufb5|Msh2|Sdhaf2|Cox5a|Il10rb|Bid|Oas1c|Ogdhl|Wdr45|Slc25a33|Oxa1l|Sirt3|Arl2|Uqcrfs1|Wdr45b|Gaa|Ppif|Trpv4|Rubcnl|Immp2l|Atg2b,Hi_vs_PBS
GOBP_CELLULAR_RESPIRATION,1.66617770855613e-24,9.65087154967009e-22,1.27903397725049,-0.623535138386935,-2.69133704900492,215,Nr4a3|Ndufs5|Ndufs8|Uqcr10|Ndufa13|Park7|Uqcrb|Ndufa1|Cox6b1|Mrps36|Cox7a2l|Ndufa3|Cox4i1|Ndufb3|Ndufb6|Ndufb9|Fh1|Ndufb10|Uqcrc1|Ndufv1|Ndufa12|Uqcrh|Uqcr11|Cox7c|Idh3g|Sdhb|Ndufb11|Uqcc2|Slc25a25|Ndufa10|Ndufs2|Ndufs6|Jmjd8|Mdh2|Cox7a2|Ndufa2|Ndufs3|Mdh1|Ndufa8|Suclg2|Pdha2|Sdhc|Cox8a|Nop53|Ndufs1|Idh3b|Uqcrc2|Ogdh|Prelid1|Vcp|Idh2|Etfb|Ndufa11|Akt1|mt-Co2|Ndufa7|Ndufs7|Ndufa9|Sdhd|Mfn2|Ndufv3|Etfdh|Iscu|Stoml2|Sdha|Ndufb7|Cox6a1|Uqcrq|Trap1|Uqcc3|Aco2|Suclg1|Cox5b|Dguok|Cisd1|Bcl2l13|Mybbp1a|Dlst|Ndufa6|Pdha1|Chchd10|Ndufc1|Mtfr1l|mt-Co3|Coq7|Slc25a13|Coq10b|Idh3a|Cs|Tefm|Prkaca|Aifm2|Nipsnap2|Cox7b|Rhoa|Adsl|Shmt2|Ndufb5|Msh2|Sdhaf2|Cox5a|Il10rb|Bid|Oas1c|Ogdhl|Slc25a33|Oxa1l|Sirt3|Arl2|Uqcrfs1|Ppif|Trpv4|Immp2l,Hi_vs_PBS
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,6.94887144943068e-24,3.62244668658822e-21,1.26273988547916,-0.500613830539546,-2.34063068816888,445,Ndufs5|Ndufs8|Hspa8|Ndufa13|Uck2|Park7|Ndufa1|Impdh2|Dctpp1|Hspa1b|G6pdx|Ran|Taldo1|Gart|Ndufa3|Pgam1|Tkt|Aldoa|Ldha|Pkm|Ndufb3|Pgk1|Ndufb6|Ndufb9|Aprt|Ndufb10|Mthfd1|Ndufv1|Tpi1|Naxe|Ndufa12|Fis1|Guk1|Eif6|Sdhb|Ndufb11|Atic|Got1|Slc25a25|Ndufa10|Ndufs2|Nme6|Khk|Pfkl|Got2|Ndufs6|Pfkp|Mpi|Gck|Gapdh|Jmjd8|Mdh2|Ndufa2|Ndufs3|Adcy8|Mdh1|Ndufa8|Sdhc|Ndufs1|Naxd|Pfkfb3|Ogdh|Ddit4|Vcp|Idh2|Npr2|Slc25a11|Ndufa11|Paics|Ndufa7|Nudt3|Pfkm|Dut|Ndufs7|Hk1|Fam3a|Eno1|Ndufa9|Sdhd|Slc25a12|Pfas|Ak2|Pgd|Ndufv3|Galk1|Slc29a1|Stoml2|Sdha|Ndufb7|Flad1|Uqcc3|Aldoart2|Papss1|Adcy5|Nt5c|Gale|Nt5c2|App|Dguok|Stat3|Nme1|Bcl2l13|Gpi1|Gpd1l|Psen1|Prpsap1|Dctd|Prkag1|Eno2|Dlst|Uckl1|Nadsyn1|Impdh1|Ndufa6|Gtpbp1|Nme2|Tspo|Nme7|Ndufc1|Slc25a13|Gmpr|Sirt6|Nudt9|Prkaca|Ak7|Rhoa|Adsl|Shmt2|Ndufb5|Ctps2|Dhodh|Gpd2|Cad|Oasl2|Dcxr|Tmsb4x|Nudt18|Me2|Hkdc1|Aldoc|Dtymk|Arl2|Ppat|Dnph1|Slc52a2|Pgls|Ak1|Kmo|Atp6v1b2|Enpp5|Ppp2ca|Nmrk2|Bcl2l1|Ola1|Upp1|Uchl1|Hint1|Dpys|Nppc|Haao|Ampd2|Nadk|Fhit|Fbp1|Umps|Slc25a22|Bad|Mtor|Myh7|Ppargc1a|Ndufb4|Ada|Adpgk|Ndufb8,Hi_vs_PBS
