pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,3.22305062811784e-14,1.68017629243783e-10,0.965327754226083,-0.408333969579923,-1.93847403754533,469,Gli2|Tbx2|Gnas|Slitrk6|Fbn2|Fgf10|Tbx3|Atp8a2|Mapk3|Smo|Epn2|Gab1|Otx2|Junb|Ppp1r13l|Spry2|Pcdh15|Pkd1|Tead1|Ndst1|Axin1|Ercc1|Esrrb|Spint1|Runx1|Erf|Kmt2a|Ntn1|Fgfr1|Sufu|Dvl2|Foxe1|Ercc2|Fgfr2|Mthfd1l|Notch1|Taf10|Hsd17b7|Rarres2|Mical2|Gas1|Yap1|Kdm2b|Vangl2|Pou3f4|Dvl1|Stra6|Socs3|St14|Ovol2|Epn1|Adm|Rara|Hs6st1|Dlx6|Fzd6|A2m|Tbx15|Kdr|Dvl3|Notch2|Akt1|Ccdc40|Tprn|Mdfi|Tfeb|Pbx3|Megf8|Fuz|Gli1|Lrig1|Sh2b3|Ift140|Mbd3|Hpn|Ece1|Scrib|Tcap|Llgl2|Myf5|Men1|Igf2|Clic5|Ldb1|Pax5|Ncoa1|Trim28|Dlx1as|Pbx2|Cdh23|Nectin1|Chrd|Epas1|Ift122|Slc39a1|Pcnt|Aldh1a1|Id3|Arid1a|Vegfa|Tgfb3|Rnf207|Pdgfb|Grb2|Aldh1a3|Tnf|Cdkn1c|Med12|Gja1|Hspg2|Slc39a3|Th|Vcam1|Triobp|Alx4|Ptk7|Tnrc6c|Wnt5a|Spint2|Trp53|Sall1|Bcr|Stk4|Rarg|Kit|Kat6a|Cdk20|Smad3|Sox18|Id2|Thoc5|Cebpa|Abr|Tpo|Alx1|Stil|Vash1|Xist|Tbx1|Lhfpl5|Ercc3|Traf3ip1|Kcnq1|Six2|Tgfb1|Kif3a|Cthrc1|Pole|Srf|Dll1|Sap130|Fbxw8|Crb2|Gsc|Hlx|Wnt7b|Sec24b|Invs|Gdnf|Col2a1|Ncoa6|Smarca4|Hsf1|Cfc1|2610005L07Rik|Hscb|Ptch1|Tmem94|Ppp1r35|Myo7a|Tshr|Enpp1|Myo3b|Ephb2|Fzd2,Lo_vs_Hi
GOBP_FOREBRAIN_DEVELOPMENT,8.05103000220909e-13,2.0985009700758e-09,0.921426003494898,-0.409543529183956,-1.92868177731676,438,Fezf1|Srd5a2|Gli2|Drd1|Tbx19|Rax|Id4|Ascl1|Kif14|Tsku|Fos|Sstr1|Fgf10|Cdh2|Tbx3|Smo|Socs7|Tacc2|Otx2|Ncam1|Nf2|Lrp2|Sema3e|Hap1|Ppp1r9b|Ndst1|Dclk2|Rtn4rl1|D130043K22Rik|Lhx6|Grin1|Tmem108|Cdk5r2|Tox|Fgfr1|Lhx2|Mboat7|Btg2|Gria1|Aplp2|Fgfr2|Notch1|Chd5|Itgam|Ncor2|Fat4|Gak|Nkx2-1|Sema6b|Atp1a3|Sun2|Kdm2b|Notch3|Fxr2|Pou3f4|Nsun5|Pianp|Mgarp|Fgf2|Tacc1|Dmrta2|Rara|Fyn|Ulk4|Kif26a|Mettl3|Aplp1|Lpar1|Efna2|Axl|Fktn|Fezf2|Drd2|Slit1|Kcnc1|Mecp2|Srgap2|Gli1|Alk|Zmiz1|Ski|Abcc1|Zdhhc16|Ccdc85c|Adgrg1|Pax5|Ncoa1|Rac3|Tsc1|Kif1a|Chrd|Kif21b|Phactr1|Bbs1|Pcnt|Prkg1|Oxtr|Kcnq2|Ntrk2|Inhbb|Htr6|Arid1a|Smarcc2|Ghrhr|Duox2|Nrg3|Sox1|Mecom|Zic5|Aldh1a3|Scn2a|Bcan|Sin3a|Coro1c|Mme|Ptprs|Th|Kdm6b|Atp1b2|Atp1a2|Otp|Wnt5a|Sall1|Atg7|Mettl14|Zfp335|Kirrel3|Sall3|Mdga1,Lo_vs_Hi
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,8.32558432018652e-11,1.44670903537108e-07,0.839088935621274,-0.374840738171822,-1.7743045538972,487,Drd1|Grik3|Scn9a|Nlgn2|Kcnt1|Grid2|Clcn2|Grik1|Prkcz|Kcnh1|Htr3a|Ntsr2|Cx3cl1|Dsp|Ank3|Ngfr|Smad7|Cacnb4|Mul1|Dpp6|Cacna1i|Cck|Kmt2a|Grin1|Tmem108|Ano1|Cln3|Ucp2|Pink1|Dlg4|Kcnk3|Gria1|Hcn2|Cacna1h|Adrb1|Kctd16|Snta1|Grk2|Piezo1|P2rx4|Ssh1|Atp1a3|Dcdc2a|Crtc1|Nlgn1|Plk2|Adrb2|Pkp2|Dvl1|Baiap2|Clcn1|Slc4a3|Grik5|Ptk2b|Slc4a4|Abcd1|Tspan4|Kcnc3|Rims3|Kcnj6|Grid1|Ank2|Kdr|Akt1|Rbfox2|Slc8a2|Mpp2|Sh3gl1|Pawr|Igsf11|Ehd3|Kcnh3|Kcng2|Ptn|Pank2|Kcnc1|Mecp2|Casr|Agrn|Bcl2l1|Dbn1|Tmem25|Gabbr1|Gimap5|Cnih2|Myoc|Hcn4|Prkar1b|Hcn3|Slc9a1|Kcns3|Scn1b|Chrne|Grin3b|Kcnh4|Grin2d|Kcnf1|Slc4a8|Ndp|P2rx2|Calm3|Kcnq2|Kcnd1|Gria3|Ntrk2|Gpr35|Dmpk|Rnf207|Mtch2|Kcnk4|Scn2a|Tnf|Ano6|Pias3|Gja1|Cacng2|Kcnc4|Atp1b2|Atp1a2|Rimbp2|Park7|Myh14|Cntnap1|Ltf|Popdc3|Got1|Mtor|Mfn2|Cacnb3|Smad3|Gabrr2|Kcng1|Mapk8ip2|Gabra3|Kcnj11|Bin1|Nos1|Kcnb1|Rims1|Bves|Nrcam|Shank3|Grin3a|Kcns1|Kcnip2|Foxp1|Stx1a|Gabrb1|Src|Kcnq1|Tspan9|Kcna5|Rims2|Flna,Lo_vs_Hi
GOBP_TELENCEPHALON_DEVELOPMENT,3.46921830289464e-10,4.52125875324744e-07,0.814035837847908,-0.422828460683801,-1.92418103380145,295,Fezf1|Srd5a2|Drd1|Id4|Ascl1|Kif14|Tsku|Fos|Cdh2|Smo|Socs7|Tacc2|Otx2|Nf2|Ppp1r9b|Dclk2|Rtn4rl1|Lhx6|Grin1|Tmem108|Cdk5r2|Fgfr1|Lhx2|Mboat7|Btg2|Gria1|Ncor2|Fat4|Nkx2-1|Sema6b|Atp1a3|Sun2|Kdm2b|Fxr2|Nsun5|Pianp|Mgarp|Tacc1|Dmrta2|Rara|Ulk4|Kif26a|Lpar1|Efna2|Fktn|Fezf2|Drd2|Slit1|Kcnc1|Mecp2|Srgap2|Alk|Zmiz1|Ski|Abcc1|Zdhhc16|Ccdc85c|Adgrg1|Pax5|Ncoa1|Tsc1|Kif21b|Phactr1|Bbs1|Pcnt|Oxtr|Kcnq2|Ntrk2|Htr6|Nrg3|Aldh1a3|Scn2a|Bcan|Coro1c|Mme|Ptprs|Th|Kdm6b|Atp1b2|Atp1a2|Wnt5a|Sall1|Atg7|Kirrel3|Sall3|Mdga1|Xrcc1|Id2,Lo_vs_Hi
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,5.9614236124465e-10,6.21538025833672e-07,0.801215574617779,-0.393967649358034,-1.83974255808967,371,Nfatc4|Gli2|Tbx2|Podxl|Kif26b|Fgf10|Tbx3|Smo|Lrp5|Rgma|Lrp2|Spry2|Gpc3|Sema3e|Pkd1|Lcn2|Tead1|Spint1|Notch4|Lama5|Ntn1|Sufu|Lhx2|Dvl2|Lgr5|Cxcr2|Spry1|Fgfr2|Mthfd1l|Notch1|Fat4|Rhob|Mical2|Nkx2-1|Tnc|Sema4c|Yap1|Plxnb2|Pik3cd|Kdm2b|Vangl2|Lzts2|Dvl1|St14|Ovol2|Sfrp1|Fgf2|Adm|Rara|Fzd6|Btrc|Kdr|Brpf1|Notch2|Csf1|Ccdc40|Sox8|Pspn|Megf8|Prkaca|Fuz|Foxd1|Casr|Lmo4|Scrib|Ddr1|Egf|Tcap|Ski|Brd2|Tsc1|Nfatc1|Ccl11|Ift122|Lias|Klhl3|Fgf1|Arid1a|Vegfa|Rasip1|Rnf207|Flt1|Ipmk|Cd44|Abl1|Zic5|Abl2|Tnf|Med12|Vasp|Gja1|Shroom3|Ilk|Agtr2|Ptk7|Epha4|Wnt5a|Spint2|Etv5|Sall1|Stk4|Rarg|Cdk20|Smad3|Pgf|Pxn|Timeless|Alx1|Hdac5|Stil|Shank3|Tbx1|Tgif1|Sdc4|Foxp1|Src|Csnk2b|Six2|Tgfb1|Dag1|Kif3a|Slc39a12|Dlg5|Cthrc1|Srf|Dll1|Commd5|Dchs1|Wnt4|Tsc2|Sec24b|Sirt6|Ppp1ca|Gdnf,Lo_vs_Hi
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,4.87274797742409e-09,4.23360586771863e-06,0.761460801445585,0.559178897972142,2.14556268655835,114,Pgap1|Ier3ip1|Copb1|Yipf6|Tmed2|Sec22a|Sec16b|Yipf5|Lman1|Sar1a|Ergic2|Scfd1|Yipf4|Rab1a|Copb2|Trip11|Uso1|Spast|Sec22b|Tmed7|Golt1b|Bet1|Trappc13|Rnf139|Cul3|Bcap29|Sar1b|Sec24a|Tmed3|Rint1|Tmed5|Vapa|Tfg|Tmed10|P4hb|Trappc12|Sec24d|Zw10|Rabggtb|Mia3|Cope|Mia2|Cog3|Tmed1|Arcn1|Trappc6b|Klhl12,Lo_vs_Hi
GOBP_CELL_SUBSTRATE_ADHESION,7.2941250257902e-09,5.43203910849204e-06,0.761460801445585,-0.389231833616475,-1.8053365549845,356,Kif14|Spock2|Prkcz|Actn1|Tnxb|Col13a1|Fbln2|Sorbs3|Itgb6|Sema3e|Mertk|Parvb|Fam107a|Lama5|Spry4|Itgb2|Msln|Spock1|Rhpn1|Tesk1|Lrp1|Cd96|Notch1|Itga2b|Itgam|Tnn|Egfl6|Tmem8b|Dock5|Rin2|Pkp2|Ajap1|Sfrp1|Efemp2|Pdpn|Ptk2b|Lamc1|Sirpa|Limch1|Kdr|Rcc2|Ephb1|Dmtn|Cspg5|Csf1|Axl|Mink1|Ptn|Otoa|Myadm|Dbn1|Adam8|L1cam|Vcl|Eda|Ddr1|Myh9|Ston1|Myf5|Men1|Myoc|Ldb1|Rac3|Tsc1|Itga5|Prex1|Zyx|Lamb2|Ptpn1|Epha1|Gp5|Itga3|Ccl28|Vegfa|Peak1|Plau|Pdgfb|Abl1|Madcam1|Antxr1|Tiam1|Bcan|Itga10|Coro1c|Camsap3|Iqgap1|Ilk|Pik3cb|Itgb4|Map4k4|Vcam1|Triobp|Atp1b2|Zfp469|Clasp1|Jak2|Bcar1|Gas6|Bcr|Stk4|Thy1|Arl2|Epb41l5|Smad3|Cdk6|Rsu1|Vwa2|Hpse|Dab2|Bcam|Pxn|Taok2|Whamm|Egflam|Ptpn11|Cdh13|Bves|Myo1g|Ntn4|Sorbs1|Itgb5|Sdc4|Apoa1|Src|Flna|Dag1|Srf|Smad6|Anxa2|Wnt4|Ppm1f|Actg1|Muc4|Apod|Serpine1|Micall2,Lo_vs_Hi
GOBP_SKELETAL_SYSTEM_DEVELOPMENT,1.26358392902177e-08,8.23382877748812e-06,0.747739663149885,-0.35099908436125,-1.66731652473363,499,Sulf1|Srd5a2|Gli2|Timp3|Gnas|Zbtb16|Sik3|Fbn2|Por|Tbx3|Mapk3|Nfatc2|Col13a1|Lrp5|Gdf5|Itgb6|Zbtb7a|Prkg2|Pkd1|Smad7|Ndst1|Axin1|Runx1|Thbs3|Lama5|Scx|Fgfr1|Tgfbi|Sox5|Ctc1|Fst|Fgfr2|Ltbp3|Mthfd1l|Col18a1|Tnn|Hsd17b7|Fat4|Mef2d|Lox|Gas1|Setdb1|Mboat2|Sfrp1|Optc|Thra|Fgf2|Trim45|Rara|Arid5a|Dlx6|Ddrgk1|Tbx15|Kdr|Fgfrl1|Acd|Hapln3|Notch2|Mdfi|Ankrd11|Megf8|Mkx|Fuz|Plxnb1|Pax7|Ift140|Gpld1|Tmem119|Jag2|Acp2|Gdf11|Bmp1|Ski|Sh3pxd2b|Myf5|Mmp2|Men1|Myoc|Col9a1|Wnt10b|Pax5|Dlx1as|Chrd|Zfp219|Cytl1|Slc39a1|Ppargc1b|Smpd3|Axin2|Bbs1|Lrrk1|Slc39a14|Vegfa|Acvr2b|Hsd17b1|Tgfb3|Slc2a10|Nab2|Tcf15|Cdkn1c|Ano6|Med12|Gja1|Foxn3|Chadl|Bcan|Hspg2|Atg9a|Slc39a3|Ptger4|Matn3|Tmem107|Alx4|Wnt5a|Ltf|Trp53|Rarg|Cdk20|Smad3|Hdac4|Dlx3|Phex|Acp5|Pbxip1|Alx1|Ptpn11|Opa3|Nfix|Rai1,Lo_vs_Hi
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY,2.48344734323364e-08,1.43846788891966e-05,0.73376198835648,-0.402676063903423,-1.83063254710828,305,Nfatc4|Drd1|Egr1|Grid2|Grik1|Prkcz|Ace|Sorcs2|Unc13c|Itpr3|Slc1a1|Iqsec2|Sorcs3|Fam107a|Apoe|Kmt2a|Grin1|Cln3|Nsg1|Dlg4|Best1|Gria1|Adrb1|Neurl1a|Arc|Ssh1|Stxbp1|Atp1a3|Crtc1|Nlgn1|Plk2|Fxr2|Crhr1|Star|Baiap2|Synpo|Cplx2|Rara|Ptk2b|Grid1|Kdr|Sipa1l1|Mir337|Ppfia3|Slc8a2|Mpp2|Nsmf|Drd2|Igsf11|Lgmn|Syt12|Ptn|Mecp2|Anapc2|Bcl2l1|Dbn1|Adgrb1|Ncdn|Cpeb1|Shisa6|Prkar1b|Rab3a|Egr2|Grin3b|Chrd|Syp|Lrrtm1|Brsk1|Grin2d|Mir7-2|Shisa9|Shisa7|Kcnq2|Musk|Gria3|Ntrk2|Htr6|Cc2d1a|Abl1|Sqstm1|Mme|Camk2b|Epha4|Mirlet7c-1|Ywhag|Kit|Mir28a|Nos1|Kcnb1|Mir128-1|Rims1|Shank3|Grin3a|Shisa8|Syngap1|Shank2|Mir23a|Gipc1|Syngr1|Mir124a-1hg|Camk2a|Dag1|Srf|Slc38a1|Prkcg|Map1a|Adcy1|Akap5|Cfl1|Eif4ebp2|Enpp1|Ephb2|Stau1|Bace1|Prrt2|Rapgef2|App,Lo_vs_Hi
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,3.37834814929975e-08,1.59962166555715e-05,0.719512826338911,-0.364149467005149,-1.70483372897893,393,Nfatc4|Pcdh8|Podxl|Adgrl3|Nlgn2|Ptpn13|Grid2|Plxnc1|Slitrk6|Slitrk1|Fzd1|Cdh2|Lrrtm3|Ppp1r9b|Iqsec2|Adgrb2|Dgkb|Fam107a|Lrrc4b|Pdlim5|Apoe|Ntng2|Grin1|Caskin1|Ntn1|Fgfr1|Nrxn2|Mdga2|Tanc1|Cln3|Dlg4|Clstn1|Mark2|Psd|Neurl1a|Arc|Ptprt|Rhob|Ngef|Sema4c|Sparcl1|Nlgn1|Ube2m|Vangl2|Asap1|Dvl1|Baiap2|Il1rapl1|Fgf7|Ube3b|Ptprf|Ptk2b|Lrfn2|Fyn|Lrfn4|Rims3|Grid1|Dctn1|Colq|Ephb1|Igsf9|Akt1|Oxt|Sipa1l1|Zdhhc8|Drd2|Slit1|Igsf11|Mark1|Ptn|Nckipsd|Dock10|Mecp2|Srgap2|Eef2k|Adgre5|Sema3f|Anapc2|Agrn|Arhgap33|Dbn1|Adgrb1|L1cam|Snx27|Rac3|Carmil3|Sarm1|Nectin1|Kif1a|Hnrnpm|Lrrtm1|Dlgap4|Adgrl1|Ptpn1|Dact1|Oxtr|Musk|Ntrk2|Rhog|Dmpk|Clstn3|Cc2d1a|Abl1|Srgap3|Tnf|Tiam1|Kalrn|Ctnna2|Lhfpl4|Iqgap1|Ptprs|Camk2b|Epha4|Wnt5a|Cntnap1|Amigo1|Etv5|Flrt1|Mdga1|Mfn2|Nrn1|Sema4a|Pdxp|Taok2|Rap2a|Ago2|Farp1|Nrcam|Shank3|Syngap1|Shank2,Lo_vs_Hi
