pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.89531474525899e-10,9.88027576703509e-07,0.826657301178302,-0.398722347718481,-1.83129405230105,437,Glul|Nufip1|Srfbp1|Rrp9|Fbll1|Rsl24d1|Isy1|Ruvbl2|Rrp1|Riox1|Grwd1|Pak1ip1|Gnl2|Rrp8|Bysl|Bop1|Nop9|Ddx27|Wdr46|Rrp1b|Lsg1|Gemin8|Rpl35|Prpf3|Nsun5|Ddx49|Rrp7a|Pdcd11|Xrcc5|Ago2|Wbp11|Zrsr2|Ftsj3|Ruvbl1|Nop2|Dhx29|Isg20l2|Rpf1|Snu13|Nol11|Luc7l|Nop53|Srpk3|Znhit6|Frg1|Ddx28|Ppan|Ddx51|Suv39h1|Hsp90ab1|Ebna1bp2|Gemin5|Rrp15|Rexo1|Imp4|Fbl|Celf3|Eif6|Sf3a2|Utp15|Noc4l|Ddx17|Lyar|Snrpd3|Mdn1|Snrpb|Ddx21|Rrs1|Rrn3|Zfp622|Las1l|Celf6|Rps9|Rpl26|Efl1|Mrps7|Utp11|Exosc1|Rpusd2|Rrp36|Rbm10|Tsc1|Rps3a1|Shq1|Ddx47|Eif4h|Gemin6|Xab2|Ddx54|Rps5|Yju2|Pwp1|Eif3g|Abt1|Slu7|Mrps2|Mphosph10|Tbl3|Htatsf1|Rpusd4|Rps4x|Rpl24|Sfswap|Nop56|Urb1|Ran|Nol10|Eif3b|Rps27rt|Ddx39b|Exosc10|Mrm1|Pin4|Bms1|Rps19bp1|Heatr3|U2af2|Abcf1|Tma16|Sart3|Heatr1|Pelp1|Ncl|Mcts2|Ddx18|Srsf1|Nmd3|Prpf6|Fau|Wdr18|Nom1|Rpusd1|Zcchc4|Hsp90aa1|Luc7l3|Rps13|Nop58|Brix1|Snrpd1|Dhx30|Surf6|Noc2l|Utp6|Sde2|Prpf19|Prmt5|Dhx37|Kat2b|Rps21|Snrpg|Rpl14|Snrpf|Sart1|Rps11|Utp4|Eif4a3|Ago1|Aar2|Riox2|Gtpbp4|Coil|Mettl17|Wdr36|Riok1|Rps15|Puf60|Eif3c|Sf3b1|Dicer1|Dimt1|Rbm5|Mrm3,Lo_vs_Med
GOBP_RIBOSOME_BIOGENESIS,4.54984330048568e-09,1.18591665627159e-05,0.761460801445585,-0.423060093972438,-1.88859525167346,307,Glul|Srfbp1|Rrp9|Fbll1|Rsl24d1|Rrp1|Riox1|Grwd1|Pak1ip1|Gnl2|Rrp8|Bysl|Bop1|Nop9|Ddx27|Wdr46|Rrp1b|Lsg1|Rpl35|Nsun5|Ddx49|Rrp7a|Pdcd11|Xrcc5|Wbp11|Ftsj3|Nop2|Dhx29|Isg20l2|Rpf1|Snu13|Nol11|Nop53|Znhit6|Frg1|Ddx28|Ppan|Ddx51|Suv39h1|Ebna1bp2|Rrp15|Rexo1|Imp4|Fbl|Eif6|Utp15|Noc4l|Ddx17|Lyar|Mdn1|Ddx21|Rrs1|Rrn3|Zfp622|Las1l|Rps9|Rpl26|Efl1|Mrps7|Utp11|Exosc1|Rpusd2|Rrp36|Rbm10|Tsc1|Rps3a1|Ddx47|Ddx54|Rps5|Pwp1|Abt1|Mrps2|Mphosph10|Tbl3|Rpusd4|Rps4x|Rpl24|Nop56|Urb1|Ran|Nol10|Rps27rt|Exosc10|Mrm1|Pin4|Bms1|Rps19bp1|Heatr3|Abcf1|Tma16|Heatr1|Pelp1|Ncl|Ddx18|Nmd3|Fau|Wdr18|Nom1|Rpusd1|Zcchc4|Rps13|Nop58|Brix1|Dhx30|Surf6|Noc2l|Utp6|Sde2|Dhx37|Kat2b|Rps21|Rpl14|Sart1|Rps11|Utp4|Eif4a3|Riox2|Gtpbp4|Mettl17|Wdr36|Riok1|Rps15,Lo_vs_Med
GOBP_ORGANELLE_FISSION,4.50660364815389e-07,0.000587323120445656,0.674962860011025,0.35607681706588,1.6357428869884,475,Rad54b|Atm|Kif4|Nusap1|Nsl1|Ripor2|Sec16b|Cenpi|Cdt1|Ttk|Kntc1|Cep192|Top2a|Irgm2|Carlr|Spc24|Brip1|Cep63|Stat2|Ofd1|Tdrkh|Cdk1|Aurkb|Mki67|Pex11g|Bub1|Ncapg|Chmp2b|Psrc1|Mzt1|Mov10l1|Bmp7|Rad21|Cit|Cep97|Cenpe|Zcwpw1|Gsk3b|Igf2|Ywhah|Cks2|Dhodh|Slc25a31|Marf1|Ddx4|Nek2|Kif15|Pparg|Uhrf1|Pdgfrb|Cdca2|Seh1l|Knstrn|Syce1|Sgo1|Majin|Spag5|Msx2|Mlh3|Plcb1|Btc|Fancd2|Spc25|Igtp|Irgm1|Gdap1|Ska1|Fmn2|Mei4|Rad51ap1|Khdc3|Vps35|Il1b|Cdca5|Rad51|Esr1|Chek1|Igf1|Fignl1|Kif2c|Ncapg2|Mad2l1|Racgap1|Dctn2|Mff|Ccne1|Brca2|Cdc14a|Chek2|Cdkn1b|Psmd13|Stag2|Ska2|Topbp1|Banf1|Knl1|Pdxp|Chmp5|Kif11|Zw10|Top2b|Ccnb1|Eml3|Aspm|Fgfr3|Fanca|Mtfp1|Rmi1|Ccne2|Fbxo5|Mybl1|Opa1|Cenpk|Nme6,Lo_vs_Med
GOBP_MUSCLE_SYSTEM_PROCESS,3.59860492916033e-07,0.000587323120445656,0.674962860011025,-0.366790444500258,-1.67896751310152,416,Nmur1|Sulf1|Chrne|Kcne2|Atp8a2|Tead1|Mybpc1|Pkp2|Meis1|Pdlim5|Tpm1|Myoc|Oxtr|Calca|Dsp|Nr4a1|Tcap|Tnnt3|Errfi1|Gdnf|Tpm4|Pawr|Ttn|Tmod1|Cxcr4|Edn1|Kcnn4|Mybpc2|Chrnb1|Cmya5|Stac|Gata6|Chrm2|Rgs4|Asb2|Tpm2|Smad7|Casq1|Nppc|Akap13|Myh1|Notch1|Tnni2|Flna|P2ry1|Ryr3|Foxo1|Myom1|Myh7b|Inpp5f|Myh4|Klf4|Clcn1|Rgs2|Kbtbd13|Homer1|Mymk|Ppp1r13l|Acta1|Myh7|Pde4d|Acta2|Smad3|Itga2|Rcsd1|Prkag3|Nedd4l|Tmod4|Cacna1c|Psen2|Adora2b|Hdac4|F2r|Snta1|Cacna1d|Tiam1|Klf15|Bin1|Atp2b1|Mylpf|Drd2|Agrn|Rbm10|Foxp1|Atp2a1|Chga|Met|Actn3|Hcn4|Ece1|Smad1|Cacna1h|Ghsr|Adrb1|Mkks|Aldoa|Kcnj5|Myl1|Myh2|Pgam2|Ada|Cttn|Mylk|Gsn|Ednrb|Ddx39b|Trim63|Dag1|Scn4a|Ctnna3|Akap1|Scn11a|G6pdx|Cav1|Flt1|Lmod3|Prkg1|Srsf1|Atp1a2|Cdk9|Myocd|Ehd3|Acacb|Smpd3|Kcnq1|Becn1|Synm|Fkbp1b|Myoz2|Tbx2|Hsp90aa1|Tpm3,Lo_vs_Med
GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,8.80258270225277e-07,0.000917757272536874,0.659444398037935,-0.587756384524497,-2.11214838117691,67,Per2|Egr1|Per1|Mc3r|Cry2|Csnk1e|Id2|Bhlhe40|Cartpt|Nr1d1|Per3|Kmt2a|Crem|Nrip1|Nr0b2|Ahr|Bhlhe41|Csnk1d|Usp2|Ppargc1a|Noct|Sirt6|Drd2|Ciart|Cavin3|Top1|Ncoa2|Hnrnpu|Rorc|Hdac3|Mycbp2|Zpbp2|Cry1|Prmt5,Lo_vs_Med
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,2.62865819721985e-06,0.00195759931172958,0.627256739718528,0.380425845213057,1.68529224818714,301,Atm|Kif4|Nusap1|Nsl1|Ripor2|Cenpi|Cdt1|Ttk|Cdc6|Kntc1|Cep192|Top2a|Spc24|Cenpf|Brip1|Cep63|Ofd1|Cdk1|Aurkb|Bub1|Ncapg|Chmp2b|Psrc1|Mzt1|Rad21|Cit|Cep97|Cenpe|Zcwpw1|Anapc4|Cenpq|Nek2|Kif15|Uhrf1|Seh1l|Knstrn|Syce1|Sgo1|Rmi2|Majin|Pbrm1|Spag5|Mlh3|Fancd2|Spc25|Ska1|Fmn2|Mei4|Khdc3|Ect2|Cdca5|Kif2c|Ncapg2|Mad2l1|Racgap1|Dctn2|Ccne1|Brca2|Chek2|Stag2|Ska2|Arid2|Trappc12|Knl1|Chmp5|Kif11|Zw10|Top2b|Ccnb1|Eml3|Aspm|Ccne2|Fbxo5|Cenpk|Arhgef10|1700028K03Rik,Lo_vs_Med
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,2.4139114031329e-06,0.00195759931172958,0.627256739718528,-0.423139888511877,-1.79203437230635,200,Hlf|Egr1|Mcub|Hspa8|Nr4a1|Emd|Hdac5|Zfp689|Fos|Maff|Wnt10b|Fktn|Asb2|Usp19|Casq1|Ppif|Klhl41|Notch1|Myc|Myom1|Srpk3|Ldha|Homer1|Acta1|Smyd1|Mef2d|Fbxo22|Msc|Plec|Usp2|Ddx17|Hdac4|Pmp22|Sin3b|Fxr1|Mylpf|Hsd17b1|Ddx5|Foxp1|Met|Actn3|Snw1|Nln|Svil|Fgfrl1|Bves|Smo|Vax1|Dmrta2|Neurl1a|Meox2|Foxp2|Ccnt2|Btg2|Dag1|Scn11a|Cav1|Lmod3|Myocd|Dll1|Tll2|Rbm24|Lncpint|Myoz2|Gpc1|Flnb|Mylk2|Nr1d2|Six4|Pax7|Vgll2|Mettl21c,Lo_vs_Med
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,7.21656429074175e-06,0.00391967253806797,0.610526878385931,0.421237722139853,1.75084098470451,187,Atm|Kif4|Nusap1|Nsl1|Ripor2|Cenpi|Cdt1|Ttk|Kntc1|Cep192|Spc24|Ofd1|Cdk1|Aurkb|Bub1|Ncapg|Chmp2b|Psrc1|Mzt1|Rad21|Cit|Cep97|Cenpe|Nek2|Kif15|Uhrf1|Seh1l|Knstrn|Spag5|Spc25|Ska1|Khdc3|Cdca5|Kif2c|Ncapg2|Mad2l1|Racgap1|Dctn2|Chek2|Stag2|Ska2|Knl1|Chmp5|Kif11|Zw10|Ccnb1|Eml3|Fbxo5|Cenpk|Arhgef10,Lo_vs_Med
GOBP_SISTER_CHROMATID_SEGREGATION,9.02284106211695e-06,0.00391967253806797,0.593325476396405,0.403554078054007,1.71388626383042,227,Atm|Kif4|Nusap1|Nsl1|Ripor2|Cenpi|Cdt1|Ttk|Cdc6|Kntc1|Cep192|Top2a|Spc24|Ofd1|Cdk1|Aurkb|Bub1|Ncapg|Chmp2b|Psrc1|Mzt1|Rad21|Cit|Cep97|Cenpe|Anapc4|Nek2|Kif15|Uhrf1|Seh1l|Knstrn|Rmi2|Pbrm1|Spag5|Spc25|Ska1|Khdc3|Cdca5|Kif2c|Ncapg2|Mad2l1|Racgap1|Dctn2|Chek2|Stag2|Ska2|Arid2|Knl1|Chmp5|Kif11|Zw10|Top2b|Ccnb1|Eml3,Lo_vs_Med
GOBP_GOLGI_VESICLE_TRANSPORT,7.18488996109575e-06,0.00391967253806797,0.610526878385931,0.387506833834544,1.69337385052783,273,Kdelr3|Sec22b|Lman1|Sec16b|Wipi1|Pgap1|Ier3ip1|Nbas|Tmed2|Arfgap3|Vamp4|Tmed1|Lyplal1|Copz2|Stxbp5|Rab31|Kdelr2|Cog6|Tmed3|Kdelr1|Coro7|Arl1|Uso1|P4hb|Sar1a|Eps15|Sec22a|Rab26|Copb2|Insig1|Slc30a6|Ergic2|Yipf6|Arf4|Cep19|Vamp2|Trip11|Rint1|Cog5|Copb1|Rer1|Sorcs1|Golph3l|Tmed10|Rab13|Surf4|Ap3s1|Bet1|Yipf5|Rab33b|Sorl1|Trappc12|Tfg|Gcc2|Cope|Tbc1d14|Lypla1|Rufy1|Mon2|Zw10|Exoc2|Exoc8|Vps29|Vps54|Rp2|Yipf4|Gabarapl2|Golga5|Tmed9|Mppe1|Commd1|Sec24d|Mia2|Golt1b|Pkdcc|Stxbp5l|Arcn1|Trappc13|Trappc2|Kif1c|Gga2|Scfd1|Spast|Vamp3|Trappc11|Snx2,Lo_vs_Med
