pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,2.55887935200215e-32,1.33394380619872e-28,1.47456250139425,-0.54262899041929,-2.52741855009317,437,Rpl35|Rpl38|Rps9|Rps16|Ruvbl2|Rps3a1|Rplp0|Rrp7a|Rps13|Snrpb|Grwd1|Rps5|Rps8|Rpl26|Ebna1bp2|Rps21|Rps15|Hsp90ab1|Eif6|Rpl14|Rrp1|Rps11|Fau|Rps25|Rps4x|Ddx47|Rps28|Nop2|Nop53|Ruvbl1|Xrcc5|Rps6|Xab2|Eif3g|Bysl|Fbl|Rpl27|Bop1|Rrp8|Rpsa|Eif4h|Ddx49|Ran|Rsl24d1|Rps23|Wdr46|Prmt5|Dhx30|Rps15a|Srfbp1|Rpl7l1|Lsg1|Riox1|Eif3k|Gemin7|Noc2l|Nop9|Ppan|Noc4l|Lyar|Tbl3|Wdr18|Rpl7a|Pak1ip1|Ddx39b|Snrpd3|Trmt112|Puf60|Ddx27|U2af2|Rps12|Mrps7|Abt1|Celf3|Lsm4|Eif3c|Eif3b|Abcf1|Utp4|Exosc2|Rbm10|Rrp9|Nop56|Rpl7|Ddx54|Gnl2|Eif3l|Prpf19|Rpl11|Snrpc|Glul|Nol11|Snu13|Ago1|Imp4|Snrpf|Eif3d|Pwp2|Ftsj3|Rps19bp1|Pih1d1|Rrp1b|Pdcd11|Sart3|Celf5|Eif3h|Pop4|Surf6|Mybbp1a|Mrto4|Pelp1|Sirt7|Wbp11|Wdr55|Cinp|Prpf31|Slu7|Mrm3|Nop10|Myg1|Las1l|Ddx56|Eif4a3|Ddx28|Urb1|Isy1|Usp39|Sart1|Lsm6|Nsun5|Nop16|Celf6|Rps17|Zrsr2|Exosc5|Prpf6|Rps19|Luc7l|Rrp15|Pwp1|Bud23|Rpusd1|Nol3|Exosc1|Eif4b|Rcl1|Bms1|Ercc2|Pes1|Rrs1|Prpf3|Rrp36|Nol6|Tssc4|Rexo1|Sf3a2|Mak16|Fbll1|Mrpl10|Suv39h1|Tsc1|Nob1|Rrn3|Yju2|Rexo4|Sfswap|Usp36|Exosc10|Mrm1|Sf3a3|Dhx37|Imp3|Pop7|Gtf3a|Exosc4|Aar2|Utp15|Exosc9|Tsr1|Eif3f|Zfp622|Ddx18|Tarbp2|Srpk1|Pa2g4|Mrps2|Tsr3|Nol9|Ddx51|Rpl13a|Mdn1|Mettl17|Gemin5|Rps7|Snrpg,Lo_vs_PBS
GOBP_RIBOSOME_BIOGENESIS,6.94434900036205e-31,1.81004456694437e-27,1.44620288250144,-0.590817554511411,-2.66617151847198,307,Rpl35|Rpl38|Rps9|Rps16|Rps3a1|Rplp0|Rrp7a|Rps13|Grwd1|Rps5|Rps8|Rpl26|Ebna1bp2|Rps21|Rps15|Eif6|Rpl14|Rrp1|Rps11|Fau|Rps25|Rps4x|Ddx47|Rps28|Nop2|Nop53|Xrcc5|Rps6|Bysl|Fbl|Rpl27|Bop1|Rrp8|Rpsa|Ddx49|Ran|Rsl24d1|Rps23|Wdr46|Dhx30|Rps15a|Srfbp1|Rpl7l1|Lsg1|Riox1|Noc2l|Nop9|Ppan|Noc4l|Lyar|Tbl3|Wdr18|Rpl7a|Pak1ip1|Trmt112|Ddx27|Rps12|Mrps7|Abt1|Abcf1|Utp4|Exosc2|Rbm10|Rrp9|Nop56|Rpl7|Ddx54|Gnl2|Rpl11|Glul|Nol11|Snu13|Imp4|Pwp2|Ftsj3|Rps19bp1|Pih1d1|Rrp1b|Pdcd11|Pop4|Surf6|Mybbp1a|Mrto4|Pelp1|Sirt7|Wbp11|Wdr55|Cinp|Mrm3|Nop10|Myg1|Las1l|Ddx56|Eif4a3|Ddx28|Urb1|Sart1|Lsm6|Nsun5|Nop16|Rps17|Exosc5|Rps19|Rrp15|Pwp1|Bud23|Rpusd1|Exosc1|Rcl1|Bms1|Ercc2|Pes1|Rrs1|Rrp36|Nol6|Rexo1|Mak16|Fbll1|Mrpl10|Suv39h1|Tsc1|Nob1|Rrn3|Rexo4|Usp36|Exosc10|Mrm1|Dhx37|Imp3|Pop7|Gtf3a|Exosc4|Utp15|Exosc9|Tsr1|Zfp622|Ddx18|Pa2g4|Mrps2|Tsr3|Nol9|Ddx51|Mdn1,Lo_vs_PBS
GOBP_CYTOPLASMIC_TRANSLATION,9.08191249467401e-28,1.57813366115785e-24,1.36517960216169,-0.68185325919702,-2.87496609835455,165,Rpl32|Rpl8|Rpl35|Rps18|Rpl38|Rps9|Rpl36|Rps16|Rpl18a|Rpl18|Rps3a1|Rpl37a|Rplp0|Rps13|Rplp2|Rps2|Rps5|Rps8|Rpl37|Rps26|Rpl23a|Rpl19|Rpl26|Rps3|Rps21|Rps15|Rps29|Rpl29|Rpl6|Rpl14|Rps11|Fau|Rps25|Rps4x|Eef2|Rps28|Rps6|Eif3g|Pkm|Rpl13|Rpl27|Rpl41|Rpsa|Eif4h|Rpl28|Rpl27a|Rps23|Rpl36-ps12|Rps15a|Rpl34|Rpl10a|Eif3k|Rpl21|Rpl23|Rpl7a|Rpl4|Rpl36a|Rps12|Eif2b4|Rplp1|Rpl3|Eif3c|Eif3b|Rpl30|Rpl7|Eif3l|Rpl11|Nmnat2|Eif3d|Eif4a1|Gtpbp1|Eif3h|Ncbp2|Eif2b2|Mettl3|Drg2|Rpl12|Rps20|Rps17|Rps19,Lo_vs_PBS
GOBP_RRNA_METABOLIC_PROCESS,8.90352857880018e-27,1.16035236203213e-23,1.34223377296446,-0.608984067238719,-2.69662124586239,241,Rpl35|Rps16|Rrp7a|Rps8|Rpl26|Ebna1bp2|Rps21|Rps15|Eif6|Rpl14|Rrp1|Rps25|Ddx47|Rps28|Nop2|Nop53|Rps6|Polr1b|Bysl|Fbl|Rpl27|Bop1|Rrp8|Ddx49|Wdr46|Srfbp1|Rpl7l1|Trir|Nop9|Ppan|Lyar|Tbl3|Wdr18|Polr2e|Rpl7a|Pak1ip1|Trmt112|Ddx27|Smarcb1|Abt1|Utp4|Exosc2|Rrp9|Rpl7|Ddx54|Rpl11|Nol11|Snu13|Imp4|Pwp2|Ftsj3|Pih1d1|Rrp1b|Pdcd11|Smarca4|Pop4|Mrto4|Pelp1|Sirt7|Polr1a|Wbp11|Wdr55|Mrm3|Nop10|Myg1|Ubtf|Las1l|Ddx56|Eif4a3|Urb1|Sart1|Lsm6|Nsun5|Rps17|Exosc5|Rps19|Rrp15|Pwp1|Mtor|Bud23|Rpusd1|Exosc1|Rcl1|Bms1|Ercc2|Pes1|Tcof1|Rrs1|Gtf3c1|Rrp36|Ercc3|Nol6|Rexo1|Mak16|Fbll1|Suv39h1|Nob1|Rexo4|Usp36|Exosc10|Mrm1|Polr1e|Dhx37|Imp3|Pop7|Exosc4|Utp15|Exosc9|Tsr1|Ddx18|Pa2g4|Tsr3|Nol9|Ddx51|Myc,Lo_vs_PBS
GOBP_RRNA_PROCESSING,2.67092399174616e-25,2.78470535379454e-22,1.30309315086572,-0.623031449610976,-2.7076878563803,210,Rpl35|Rps16|Rrp7a|Rps8|Rpl26|Ebna1bp2|Rps21|Rps15|Eif6|Rpl14|Rrp1|Rps25|Ddx47|Rps28|Nop2|Nop53|Rps6|Bysl|Fbl|Rpl27|Bop1|Rrp8|Ddx49|Wdr46|Srfbp1|Rpl7l1|Nop9|Ppan|Lyar|Tbl3|Wdr18|Rpl7a|Pak1ip1|Trmt112|Ddx27|Abt1|Utp4|Exosc2|Rrp9|Rpl7|Ddx54|Rpl11|Nol11|Snu13|Imp4|Pwp2|Ftsj3|Pih1d1|Rrp1b|Pdcd11|Pop4|Mrto4|Pelp1|Sirt7|Wbp11|Wdr55|Mrm3|Nop10|Myg1|Las1l|Ddx56|Eif4a3|Urb1|Sart1|Lsm6|Nsun5|Rps17|Exosc5|Rps19|Rrp15|Pwp1|Bud23|Rpusd1|Exosc1|Rcl1|Bms1|Ercc2|Pes1|Rrs1|Rrp36|Nol6|Rexo1|Mak16|Fbll1|Suv39h1|Nob1|Rexo4|Usp36|Exosc10|Mrm1|Dhx37|Imp3|Pop7|Exosc4|Utp15|Exosc9|Tsr1|Ddx18|Pa2g4|Tsr3|Nol9|Ddx51,Lo_vs_PBS
GOBP_TRANSLATION_AT_SYNAPSE,2.82593531222392e-24,2.45526679710388e-21,1.27903397725049,-0.885964779245846,-3.00945636614127,48,Rpl32|Rpl8|Rpl35|Rpl38|Rpl36|Rps16|Rpl37a|Rplp2|Rps5|Rpl37|Rps26|Rpl23a|Rpl26|Rpl29|Rpl6|Rpl14|Rps11|Eef2|Rps28|Rpl13|Rpl27|Rpl10|Rpl28|Rpl27a|Rps15a|Rpl34|Rpl10a|Rpl23|Rpl7a|Rpl4|Rpl36a|Rps12|Rpl7,Lo_vs_PBS
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,3.41747189580517e-20,2.54504014183319e-17,1.16017957183021,-0.473779022138453,-2.21313292296472,445,Park7|Hspa8|Prpsap1|Eif6|Aprt|Ndufa3|Uchl1|Ndufb10|Uck2|Pkm|Got1|Aldoa|Pfkm|Uqcc3|Taldo1|Tkt|Aldoc|Atic|Got2|Ndufs5|Naxe|Ndufa11|Ran|G6pdx|Myh7|Gpi1|Ddit4|Pfkl|Stoml2|Ndufb7|Hspa1b|Jmjd8|Khk|Mthfd1|Ldha|Pgd|Ndufa7|Nadk|Ndufa10|Tpi1|Ndufa13|Ndufb11|Gapdh|Ndufa8|Slc25a11|Hk1|Slc25a25|Ndufs7|Fis1|Adcy5|Ndufa1|Sdhb|Ndufa9|Prkaca|Impdh2|Ndufs8|Eno1|Npr2|Slc29a1|Ndufa12|Gmpr|Nt5c|Sdhc|Pgam1|Ndufv1|Guca1a|Ndufb9|Dlst|Nmnat2|Idh2|Gck|Ldhb|Ucp2|Ndufb3|Ak2|Pfkp|Nudt3|Stat3|Ndufa2|Bcl2l1|Pcx|App|Vcp|Guk1|Gtpbp1|Gart|Naxd|Mdh2|Ndufs2|Dguok|Sdha|Sirt6|Eno2|Ndufv3|Arl2|Gucy2e|Gpd2|Flad1|Bcl2l13|Psen1|Ogdh|Naprt|Npr1|Fam3a|Mtor|Tymp|Pgk1|Slc52a2|Slc25a22|Fkrp|Mdh1|Pfas|Pde4a|Pgls|Adcy3|Sarm1|Nt5m|Ndufb6|Ier3|Paics|Galk1|Pfkfb3|Zbtb7a|Ak1|Aox1|Papss1|Gpd1l|Ndufs6|Adcy8|Git1|Ldhd|Nt5c2|Nudt18|Parp1|Ppargc1a|Nt5c3b|Aldoart2|Sphk2|Shmt1|Adcy6|Esrrb|Enpp5|Acacb|Src|H6pd|Dctpp1|Mfn1|Ampd2|Dcxr|Slc25a12|Dpys|Myc|Nudt9|Mtch2|Slc37a2|Dnajc30|Ak8|Bad|Rbks|Nadsyn1|Atp6v1b2|Adsl|Fbp1|Haao|Uck1|Umps|Me2,Lo_vs_PBS
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.3372514251843e-19,8.71386459935718e-17,1.14219120216838,-0.468043087466744,-2.1774627469883,434,Park7|Ppp1ca|Uqcrc1|Eif6|Suclg2|Irs2|Cox4i1|Gnas|Nop53|Ndufa3|Uchl1|Ndufb10|Pkm|Aldoa|Akt1|Pfkm|Uqcc3|Cox6b1|Taldo1|Tkt|Aldoc|Ndufs5|Uqcrb|Ndufa11|Nr4a3|Gabarapl1|G6pdx|Por|Gpi1|Ddit4|Pfkl|Stoml2|Ndufb7|Jmjd8|Khk|Ldha|Pgd|Ndufa7|Ndufa10|Tpi1|Oxa1l|Ndufa13|Pygm|Ndufb11|Gapdh|Ndufa8|Etfb|Mfn2|Hk1|Slc25a25|Ndufs7|Cox8a|Ndufa1|Sdhb|Mrps36|Ndufa9|Prkaca|Iscu|Ndufs8|Eno1|Ndufa12|Sdhc|Pgam1|Aifm2|Ndufv1|Pygl|Cox5b|Ndufb9|Dlst|Mtfr1l|Idh2|Gck|Cox6a1|Ucp2|Ndufb3|Idh3g|Pfkp|Idh3b|Stat3|Ndufa2|Aco2|App|Vcp|Plec|Pgf|Pink1|Cox7a2|Mybbp1a|Mdh2|Ndufs2|Uqcr11|Pgm2|Dguok|Uqcrh|Cox7a2l|Nfatc4|Phkg1|Hmgcs2|Sdha|Trap1|Ppp1r3f|Stk40|Comt|Prelid1|Ndor1|Cavin3|Sirt6|Eno2|Ndufv3|Arl2|Abcd1|Bcl2l13|Psen1|Ogdh|Uqcrc2|Chchd10|Mtor|Cs|Thap11|Cisd1|Pgk1|Nr1d1|Uqcr10|Pygb|Sirt3|Gaa|Fkrp|Mdh1|Pgls|Il6st|Slc25a33|Atg2a|Enox2|Ndufb6|Ier3|Wipi2|Uqcc2|Atg2b|Galk1|Pfkfb3|Dgat1|Zbtb7a|Ppif|Acox1|Ndufs6|Git1|Fh1|Ppargc1a|Aldoart2|Esrrb|Gnmt|Rubcnl|Per2|Acacb|Src|H6pd|Slc37a4|Slc25a12|Myc|Mtch2|Gsk3a|Dnajc30|Gys1|Rbks|Lyrm7|Ogdhl|Adsl|Fbp1|Bax|Nipsnap2|Galt|Trpv4|Adrb1|Akt2|Cox7c,Lo_vs_PBS
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,1.64270499443848e-16,9.51491237334202e-14,1.04762648849882,-0.480361312530518,-2.18027306046745,333,Hspa8|Prpsap1|Eif6|Aprt|Ndufa3|Uchl1|Ndufb10|Uck2|Pkm|Aldoa|Pfkm|Uqcc3|Aldoc|Atic|Ndufs5|Ndufa11|Ran|G6pdx|Myh7|Gpi1|Ddit4|Pfkl|Stoml2|Ndufb7|Hspa1b|Jmjd8|Khk|Mthfd1|Ndufa7|Ndufa10|Tpi1|Ndufa13|Ndufb11|Gapdh|Ndufa8|Hk1|Slc25a25|Ndufs7|Fis1|Adcy5|Ndufa1|Sdhb|Ndufa9|Prkaca|Impdh2|Ndufs8|Eno1|Npr2|Slc29a1|Ndufa12|Gmpr|Nt5c|Sdhc|Pgam1|Ndufv1|Pygl|Ndufb9|Gck|Ucp2|Ndufb3|Ak2|Pfkp|Nudt3|Stat3|Ndufa2|Bcl2l1|App|Vcp|Guk1|Gtpbp1|Gart|Ndufs2|Sdha|Sirt6|Eno2|Ndufv3|Arl2|Gucy2e|Bcl2l13|Psen1|Ogdh|Npr1|Fam3a|Mtor|Pgk1|Fkrp|Pfas|Pde4a|Adcy3|Nudt14|Ndufb6|Ier3|Paics|Galk1|Pfkfb3|Zbtb7a|Ak1|Papss1|Ndufs6|Adcy8|Git1|Ldhd|Nt5c2|Nudt18|Parp1|Ppargc1a|Aldoart2|Sphk2|Adcy6|Esrrb|Src|Mfn1|Ampd2|Slc25a12|Dpys|Myc|Nudt9|Mtch2|Dnajc30|Bad|Atp6v1b2|Adsl|Fbp1|Uck1|Umps,Lo_vs_PBS
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,1.87508711298323e-16,9.7748291199816e-14,1.04762648849882,-0.662732988463499,-2.59750553658348,106,Rps9|Rps16|Rps3a1|Rrp7a|Rps13|Rps5|Rps8|Rps21|Rps15|Rps11|Fau|Rps25|Rps4x|Rps28|Xrcc5|Rps6|Bysl|Fbl|Rpsa|Rps23|Wdr46|Rps15a|Srfbp1|Nop9|Tbl3|Trmt112|Rps12|Mrps7|Abt1|Utp4|Rrp9|Nop56|Nol11|Snu13|Imp4|Pwp2|Rps19bp1|Surf6|Lsm6|Rps17|Rps19|Rcl1|Bms1|Ercc2|Rrs1|Rrp36|Nol6|Nob1|Exosc10|Dhx37|Imp3|Utp15,Lo_vs_PBS
