pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast
GOBP_CYTOPLASMIC_TRANSLATION,6.49402907287945e-16,3.38533735569206e-12,1.02766987054358,0.582072820688876,2.4659749119378,165,Rps24|Rpl31|Mcts2|Rpl39|Rpl5|Rps17|Rps27a|Rpl17|Rpl36a|Rpl22|Rps25|Piwil2|Rpl36-ps12|Eif3m|Rpl14|Rpl26|Rpl35a|Rpl22l1|Rpl34|Rps15a|Rps7|Rpl13a|Eif3e|Csde1|Eif4a2|Etf1|Rpl30|Rps3|Ythdf2|Mcts1|Eif3j1|Rpl35|Rpsa|Zc3h15|Rpl15|Nemf|Rpl24|Rpl12|Dhx9|Sh3bgrl|Eif3h|Rpl11|Eif2s3x|Rps3a1|Fmr1|Paip1|Syncrip|Hnrnpu|Rpl7a|Cpeb4|Eif3a|Rps19|Gm6133|Rps14|Rpl7|Rps23|Rps20|Cnbp|Rpl27a|Eif3j2|Dhx36|Impact|Rpl41|Ncbp1|Rpl21|Dhx29|Rps9|Rps21|Eif2s2|Rbm4|Eif4a1|Eif5,Med_vs_Hi
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,4.03022001575515e-12,5.63014921160145e-09,0.887074988399873,0.410830936238744,1.94240625040329,437,Rps24|Fbll1|Mcts2|Rpl5|Rps17|Rps27a|Snrpg|Nufip1|Snrpe|Npm1|Rps25|Nop14|Clns1a|Eif3m|Ptges3|Usp16|Rpl14|Hsp90aa1|Rpl26|Rpl35a|Utp14b|Nip7|Snrpd1|Sf3b1|Ddx20|Rps15a|Rps7|Dnttip2|Nsa2|Rps27|Rpl13a|Eif3e|Gemin6|Rsrp1|Rps27rt|Snrpd2|Ddx3x|Eif1a|Nop58|Xpo1|Gemin8|Cul4b|Prpf4b|Mterf3|Malsu1|Pop4|Atr|Ythdf2|Mcts1|Mbnl1|Eif3j1|Ddx21|Pno1|Ddx17|Nmd3|Emg1|Rpl35|Nol8|Rpsa|Isg20l2|Snu13|Srsf1|Mettl16|Mphosph10|Rpl24|Brix1|Dhx9|Pten|Mphosph6|Eif3h|Khdc4|Luc7l3|Rpl11|Eif2s3x|Wdr75|Rps3a1|Mterf4|Greb1l|Prkdc|Esf1|Rpl7a|Eri1|Psip1|Nol11|Cdkn2a|Eif3a|Rps19|Rps14|Ncl|Riok1|Gtpbp4|Ltv1|Rpl7|Bysl|Rps23|Gnl2|Luc7l|Mettl15|Eif1ax|Eif3j2|Lyar|Utp20|Utp23|Htatsf1|Rrp1b|Nhp2|Setx|Ncbp1|Tdrd6|Fbl|Mdn1|Krr1|Exosc3|Utp4|Dhx29|Rps9|Rps21|Wdr43|Sbds|Naf1|Heatr3|Ddx10|Mrps2|Srsf6|Eif2s2|Rpf1|Utp6|Eif5|Rpf2|C1d|Strap|Srsf10|Eif3i|Utp15|Riox1|Rsl24d1|Rpp40|Xrcc5|Ebna1bp2|Rps27l|Srpk3|Bms1|Gemin2|Prmt7|Ftsj3|Isy1|Pop5|Ptges3-ps|Mettl5|Crnkl1|Sde2|Efl1|Abt1|Nle1|Rpp38|Wdr36|Utp18|Gar1|Rps15|Eif3k|Pak1ip1|Ran|Nol10|Wdr77|Fcf1|Gtpbp10|Rrp1|Grwd1|Rpusd4|Clp1|Nom1|Gcfc2|Prpf39|Pwp1|Dimt1|Tsr2,Med_vs_Hi
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,4.32008379942562e-12,5.63014921160145e-09,0.887074988399873,-0.396606523088026,-1.90307300052521,469,Igf2|Tbx3|Tbx2|Trp53|Vegfa|Hspg2|Mbd3|Cntnap2|Fgf10|Klf1|Ppp1r35|Nog|Adm|Foxf2|Sox18|Pbx2|Pdgfb|Satb2|Ercc2|Rara|Tbx20|Foxe1|Mapk3|Kdm2b|Epn1|Socs3|Tbx15|Zfpm1|Cthrc1|Wnt5a|Hoxc4|Stil|Gli1|Fuz|Esrrb|Hhex|Bmp7|Junb|Tal1|Epn2|Grb2|Smo|Otx2|Cdk20|Crb2|Sh2b3|Stra6|Nes|Pcnt|Col2a1|Gja1|Nkx3-2|Tshr|Abr|Pax5|Megf8|Fbn2|Chrd|Foxl2|Dvl3|Dlx6|Pou3f4|Taf10|Sap130|Sufu|Arid1a|Nectin1|Hpn|Slc39a1|Vash1|Tfeb|Llgl2|Ncoa6|Tbx18|Mmp16|Tnf|E2f8|Aldh1a3|Rarg|Erf|Scrib|Fzd2|Slc39a3|Ccdc103|Cdkn1c|Dscaml1|Tbx1|Rnf112|Pole|Pcgf2|Snai1|Strc|Sox11|Lhfpl5|Axin1|Ccdc40|Mfap2|Fgf9|Naglu|Ppp1r13l|Tgfb3|Prkra|Six3|Gsc|Ntn1|Thoc5|Ldb1|Ptch1|Kit|Gab1|Pdgfra|Tmem94|Smad2|Spint2|Sox2|Hs6st1|Hscb|Nphp3|Tulp3|Vangl2|Tead4|Trim28|Myf5|Map2k1|Tnrc6c|Gli2|Pdgfrb|C2cd3|Syde1|Mafb|Ift122|Pkd1|Ift140|Col11a1|Wdr19|Phactr4|Ovol2|Ptk7|Whrn|Hsd17b7|Notch2|Zic1|Myo7a|Spry2|Hlx|Fbn1|Pbx3|A2m|Tmie|Mks1,Med_vs_Hi
GOBP_LEARNING,3.99131209777768e-12,5.63014921160145e-09,0.887074988399873,-0.506231926831411,-2.20472267594703,192,Htr6|Sorcs3|Grm4|Ppp1r1b|Syngap1|Hrh3|B4galt2|Drd1|Atp1a3|Nrxn2|Cntnap2|Jph4|Ppp1r9b|Neurod2|Brsk1|Nog|Rapgef3|Jph3|Htr2c|Nptx2|Cck|Map1a|Grm7|Slc12a5|Slc1a1|Shank1|Neto1|Stra6|Synpo|Cic|Syt11|Gabra5|Ndrg4|Adrb2|Cacna1e|Cln3|Clstn2|Drd3|Chrd|Grin2b|Adcy3|Slc8a2|Specc1|Mapk8ip2|Pianp|Deaf1|Tnr|Git1|Ptn|Kalrn|Vdac1|Hrh1|Nrxn3|Crhr1|Pde1b|Btg2|Kit|Tbr1|Slc24a2|B3gat1|Fos|Chrna7|Rag1|Nfix|Shank2|Epm2a|Ntsr1|Mecp2|Asic1|Rin1|Cntn2|Slc6a1|Idua|Glp1r|Shank3|Mtor|Hrh2|Gpr88|Nlgn3|Dbh|Atxn1|Fosl1|Pak6|Grin2a|Tacr1|Abca7|Kmt2a,Med_vs_Hi
GOBP_REGULATION_OF_NEUROGENESIS,2.2496532070722e-10,2.34548843369348e-07,0.826657301178302,-0.379202030616078,-1.80385426384336,442,Fezf1|Cit|Fezf2|Syngap1|Metrn|Lrp1|Trp53|Plxnd1|Vegfa|Serpine2|Lhx2|Islr2|Hes6|Lin28a|Gpr37l1|Trim46|Rassf10|Lingo1|Ntrk3|Plxnc1|Nog|Akap5|Nos1|Zfp365|Bhlhe40|Dlg4|Sox8|Rtn4r|L1cam|Id4|Wnt5a|Rapgef2|Map6|Bmp7|Dab1|Mdk|Nf2|Epha4|Clcn2|Smo|Ace|Apoe|Disc1|Snap91|Rgma|Cx3cr1|Pparg|Megf8|Drd3|Gsk3b|Plxnb2|Ptprs|Smarcd3|Hdac6|Map2k2|Obsl1|Cux2|Nr1d1|Itpka|Smurf1|Sema3g|Tle6|Dpysl5|Aspm|Dbn1|Ss18l1|Mir23a|Tnf|Nkx2-2|Tnr|Vax1|Lrp2|Arhgap4|Ankrd27|Jade2|Sema6c|Amigo1|Il33|Lpar3|Il34|Rnf112|Ptn|Tgm2|Kalrn|Sox11|Fgfr3|Vegfc|Sema4d|Gfap|Sirt2|Hap1|Casz1|Cysltr1|Anapc2|Arhgef2|Numbl|Ski|Ntn1|Btg2|Mapt|Kit|Khdc3|Ilk|Trpv2|Sox2|Eef2k|Idh2|Dbnl|Tbc1d24|Hes7|Sema3f|Camk2b|Bhlhe41|Hes3|Map2k1|Limk1|Ezh2|Mecp2|Twf2|Plxna3|Otp|Dock7|Sema5a|Gh|Trpc5|Golga2|Neurl1a|Kdm4a|Adcy10|Trak2|Nfatc4|Stk11|Shank3|Egr2|Mtor|Rnd2|Lrp4|Crabp2|Fbxo31|Kdr|Nefl|Mt3|Ache|Yap1|Zfp335|Sorl1|Mycn|Zcchc24|Atxn1|Rnf10|Cul7|Thy1,Med_vs_Hi
GOBP_NEURON_PROJECTION_GUIDANCE,3.36290148608761e-10,2.92180090782912e-07,0.814035837847908,-0.45413456029464,-2.02733322051058,237,Fezf1|Kif5a|Fezf2|Chn1|Ngfr|Lrp1|Sema5b|Cdk5r1|Vegfa|Lhx2|Cdk5r2|Foxd1|Kifc2|Lamc3|Arhgef25|Sema4a|Lmo4|Matn2|Sema6b|Bcl11b|Mnx1|Nova2|Nog|Sema4b|Bmpr1b|B4gat1|Ephb1|Mapk8ip3|Nkx2-1|Tubb3|Rtn4r|L1cam|Wnt5a|Bmp7|Epha4|Sema3c|Smo|Otx2|Unc5d|Nell2|Megf8|Efnb1|Hdac6|B3gnt2|Rtn4rl1|Nectin1|Sema3g|Flot1|Dpysl5|Etv4|Vax1|Lrp2|Sema6c|Dscaml1|Sema4c|Unc5a|Lamc1|Kalrn|Gap43|Sema4d|Ntn4|Diaph1|Ntn1|Ptch1|Efna2|Ndp|Tbr1|Vangl2|Sema3f|Sema6a|Notch3|Slit3|Gli2|Flrt3|Ank3|Ncam1|Plxna3|Sema5a,Med_vs_Hi
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY,5.53805122095777e-10,4.1242658592647e-07,0.801215574617779,-0.420752806783818,-1.93314306516598,305,Htr6|Sorcs3|Gria3|Syngap1|Iqsec2|Drd1|Serpine2|Ncdn|Cyp46a1|Atp1a3|Shisa7|Jph4|Neurod2|Brsk1|Nog|Jph3|Mir124a-1hg|Ppfia3|Akap5|Rara|Rims1|Nos1|Grin2c|Camk2a|Map1a|Rab3a|Dlg4|Crtc1|Lypd6|Rapgef2|Epha4|Slc1a1|Ace|Neto1|Synpo|Mir381|Apoe|Cx3cr1|Cln3|Gsk3b|Chrd|Mpp2|Grin2b|Lzts1|Slc8a2|Itpka|Ssh1|Ptk2b|Prkcg|Dbn1|Mir23a|Nsg1|Mir337|Adcy1|Tnr|Kcnb1|Mir128-1|Nlgn1|Ptn|Syt12|Grm2|Prrt2|Hrh1|Crhr1|Gfap|Anapc2|Gnal|Snca|Gsg1l|Mapt|Kit|Sctr|Itpr3|Htr7|Syngr1|Rasgrf2|Slc24a2|Pick1|Stxbp1|Camk2b|Adora1|Adrb1|Mir7b|Chrna7|Mir379|Shank2|Pmch|Grid2|Mecp2|Sipa1l1|Mir7-2|Rin1|Slc24a1|Cntn2|Neurl1a|Sorcs2|Best1|Vamp2|Kat2a|Grin2d|Nfatc4|Igsf11|Shank3|Egr2|Mgll|Hrh2|Kdr|Atp2b2|Prkcz|Nlgn3|Stx4a|Mir667|Cdc20|Mir382|Mir124-2hg,Med_vs_Hi
GOBP_FOREBRAIN_DEVELOPMENT,7.80468263901128e-10,5.08572632464573e-07,0.801215574617779,-0.375333596811205,-1.78185566967573,438,Fezf1|Kif14|Htr6|Fezf2|Tbx3|Rtn4rl2|Mgarp|Rax|Cdk5r1|Drd1|Bcan|Lhx2|Sox1|Cdk5r2|Atp1a3|Cntnap2|Ppp1r9b|Fgf10|Kcna3|Sema6b|Srd5a2|Bcl11b|Nog|Sall3|Rara|Kdm2b|Mapk8ip3|Nkx2-1|Htr5a|Tyro3|Rtn4r|Sstr1|Id4|Wnt5a|Stil|Gli1|Lypd6|Rapgef2|Hhex|Fut10|Dab1|Mdk|Nf2|Fat4|Fez1|Emx1|Smo|Otx2|Slc1a2|Pou3f3|Pcnt|Fbxo41|Disc1|Pax5|Slitrk5|Kdm6b|Gsk3b|Chrd|Ccdc85c|Pou3f4|Ptprs|Npy|Rtn4rl1|Sin3a|Zbtb18|Arid1a|Aspm|Pianp|Kif26a|Sun2|Aldh1a3|Tnr|Lrp2|Kcna1|Bhlhe22|Axl|Akna|Tox|Fgfr3|Tmem108|Hap1|Bbs1|Tacc2|Numbl|Ski|Fut1|Six3|Gsc|Btg2|Cdh2|Kcnc1|Efna2|Aqp1|Sox2|Adgrg1|Lpar1|Pomgnt1|Tbr1|Aplp1|Fos|Notch3|Trappc9|Zdhhc16|Gli2|Nfix|Ghrhr|Efhc1|Ezh2|Ncam1|Mecp2|Plxna3|Tacc1|Otp|Dock7|Sema5a|Mdga1|Atp1b2|Cntn2,Med_vs_Hi
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,1.1901894622932e-09,6.89384185214938e-07,0.788186810800237,-0.446182503791102,-1.99988992736526,244,Htr6|Oxt|Gria3|Ngfr|Iqsec2|Drd1|Serpine2|Cacng3|Cyp46a1|Shisa7|Kiss1r|Nog|Htr2c|Cacng2|Mir124a-1hg|Akap5|Rims1|Nos1|Grin2c|Rab3a|Dlg4|Pink1|Car2|Crtc1|Cacng7|Epha4|Slc1a1|Slc1a3|Cacng5|Mir381|Apoe|Slc7a10|Cx3cr1|Clstn2|Gsk3b|Chrd|Mpp2|Grin2b|Hdac6|Cacna1b|Slc8a2|Ptk2b|Flot1|Prkcg|Cacng8|Mir23a|Tnf|Nsg1|Mir337|Car7|Adcy1|Tnr|Rapsn|Mir128-1|Nlgn1|Ncs1|Ptn|Syt12|Stx1b|Crhr1|Gfap|Hap1|Snca|Zdhhc3|Nlgn2|Itpr3|Htr7|Rasgrf2|Kctd13|Slc24a2|Stxbp1|Camk2b|Adora1|Adrb1|Mir7b|Chrna7|Mir379|Shank2|Syde1|Mecp2|Mir7-2|Slc24a1|Vamp2|Grin2d|Ptger4|Nfatc4|Igsf11|Shank3|Ror2|Prkcz|Stx1a|Nlgn3|Stx4a|Baiap3|Mir667|Slc4a8|Mir382|Mir124-2hg|Cckbr|Nrgn|Grin2a|Tacr1,Med_vs_Hi
GOBP_TELENCEPHALON_DEVELOPMENT,1.9679762175002e-09,1.02590600218285e-06,0.774939030136436,-0.415356695073859,-1.89316833517843,295,Fezf1|Kif14|Htr6|Fezf2|Rtn4rl2|Mgarp|Cdk5r1|Drd1|Bcan|Lhx2|Cdk5r2|Atp1a3|Ppp1r9b|Kcna3|Sema6b|Srd5a2|Bcl11b|Sall3|Rara|Kdm2b|Nkx2-1|Htr5a|Rtn4r|Id4|Wnt5a|Lypd6|Fut10|Dab1|Mdk|Nf2|Fat4|Fez1|Emx1|Smo|Otx2|Slc1a2|Pou3f3|Pcnt|Fbxo41|Disc1|Pax5|Slitrk5|Kdm6b|Gsk3b|Ccdc85c|Ptprs|Npy|Rtn4rl1|Zbtb18|Aspm|Pianp|Kif26a|Sun2|Aldh1a3|Tnr|Kcna1|Bhlhe22|Tmem108|Bbs1|Tacc2|Numbl|Ski|Fut1|Six3|Btg2|Cdh2|Kcnc1|Efna2|Aqp1|Sox2|Adgrg1|Lpar1|Pomgnt1|Tbr1|Fos|Trappc9|Zdhhc16|Nfix|Efhc1|Ezh2|Mecp2|Plxna3|Tacc1|Mdga1|Atp1b2|Cntn2|Zic1,Med_vs_Hi
