pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast
GOBP_CYTOPLASMIC_TRANSLATION,6.30895636260476e-32,3.28885895182586e-28,1.46752397671296,-0.687829423212168,-3.00702430590374,165,Rpl38|Rplp0|Rps18|Rpl18a|Rps16|Rpl8|Rpl36|Rpl18|Rpl19|Rpl32|Rpl27|Rpl37|Rps8|Rplp2|Rps2|Rpl7a|Rps28|Rps26|Rps9|Rpl37a|Rps13|Rpl41|Rpl13|Rplp1|Rpl3|Rps3a1|Rps15|Rpl10a|Rpl35|Rps21|Rps29|Rpl23a|Rps25|Rpl29|Rps5|Rps11|Rpl14|Rps3|Rpl6|Rpsa|Rpl27a|Rps6|Fau|Rpl26|Pkm|Eif3i|Rps12|Eef2|Rpl28|Rps15a|Rps4x|Rpl21|Rps23|Rpl4|Rpl7|Eif3k|Eif3g|Rpl23|Eif3l|Rps20|Eif3d|Rpl11|Rpl12|Rps19|Eif4h|Ncbp2|Eif2b5|Rpl36a|Drg2|Rpl34|Eif3c,Med_vs_PBS
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.37928312590714e-28,3.59510146767695e-25,1.38774608305349,-0.504628477492013,-2.46330823722621,434,Ndufs8|Uqcrc1|Ppp1ca|Etfb|Ndufa1|Tkt|Pgam1|Nr4a3|Ndufb7|Park7|Uqcr10|Cox6b1|Ndufs5|Prelid1|Cox4i1|Khk|Ndufb10|Sdhb|Taldo1|Ndufa10|Ndufb9|Idh2|Pkm|Ndufa13|Gck|Pfkl|Ndufs2|Uqcr11|Cox6a1|Tpi1|Pgm2|Ndufb3|Ndufa3|Ndufb6|Uqcrb|Trp53|Eif6|Ndufs6|Akt1|Ndufv1|H6pd|Mrps36|Mdh2|Aldoa|Mybbp1a|Eno1|Uchl1|Aco2|Suclg2|Etfdh|Sdhc|Cox8a|Ndufa7|Mfn2|Gabarapl1|Pfkp|G6pdx|Ndufb11|Pfkm|Nipsnap2|Idh3g|Oxa1l|Ndufa8|Dguok|Hk1|Trap1|Ndufs7|Nop53|Adsl|Galk1|Atg2a|Gpi1|Cox7a2|Gnpda1|Ndufa11|Ndufv3|Gapdh|Uqcc2|Pgls|Ddit4|Cox7a2l|Uqcc3|Acat1|Ndufa2|Pink1|Jmjd8|Ndufa12|Stk40|Psen1|Akt2|Pgk1|Ogdh|Chchd10|Cs|Uqcrh|Aldoc|Idh3b|Igf2|Eno2|Cox7c|Pgf|Mpi|Cox5b|Arl2|Nhlrc1|Pgd|Gys1|Ogdhl|Iscu|Vcp|Slc25a12|Ndufa9|Pygb|Aifm2|Prkaca|Slc37a4|Rptor|Mtfr1l|Suclg1|Comt|Ucp2|Mdh1|Coq9|App|Msh2|Il6st|Prkag1|Stat3|Coq7|Mtor|Pdha1|Prdm16|Sdha|Dlst|Gsk3a|Blvra|Ldha|Acox1|Wipi2|Chchd5|Abcd1|Uqcrc2|Gaa|Bid|Shmt2|Inpp5k|Sirt3|Pygl|Por|Atg2b|Pm20d1|Shpk|Irs2|Galt|Gale|Mt3|Gnmt|Ndufs3|Enox2|Hk3|Uqcrfs1|Stoml2|Oas1c|Git1|Cisd1|Il10rb|Thap11|Zbtb7a|Bpgm|Slc25a13|Fkrp|Eva1a|Ifnlr1|Selenon|Aldoart2|Slc25a51|Mcu|Hmgcl|Cavin3|Pfkfb3|Stbd1|Wdr45|Cyc1|Phkg2|Epm2a|Plec|Pdha2|Src|Lipa|Slc25a23|Gpr180|Ndufa6,Med_vs_PBS
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.50115730169012e-25,2.6085110045702e-22,1.31101476274061,-0.48698454596095,-2.37501668312097,437,Rpl38|Rplp0|Rps16|Rpl27|Rps8|Rpl7a|Rps28|Rps9|Rps13|Rps3a1|Rps15|Rpl35|Rps21|Rps25|Rps5|Snrpc|Rps11|Rpl14|Snrpb|Rpsa|Gemin7|Rps6|Exosc2|Fau|Rpl26|Exosc5|Eif3i|Trmt112|Rps12|Rpl7l1|Rps15a|Rps4x|Rrp7a|Ebna1bp2|Tsr3|Lsm6|Rps23|Ruvbl2|Hsp90ab1|Ddx47|Eif6|Nop10|Rpl7|Eif3k|Lsm4|Exosc4|Eif3g|Xab2|Mybbp1a|Prmt5|Dhx30|Eif3l|Grwd1|Eif3d|Ddx56|Rpp25|Nop16|Tarbp2|Myg1|Noc2l|Rbfa|Ran|Rpl11|Rps19|Eif4h|Fbl|Eral1|Pih1d1|Puf60|Nop53|Wdr18|Nop2|Tssc4|Eif3c|Rcl1|Mrto4|Ruvbl1|Sirt7|Utp4|Tbl3|Wdr74|Cinp|Wdr55|Ddx39b|Xrcc5|Celf5|U2af2|Rexo4|Pwp2|Pop4|Prpf19|Ago1|Snrpf|Nol3|Rrp1|Abcf1|Lyar|Noc4l|Eif3h|Ercc2|Eif3b|Ipo9|Nsun4|Abt1|Gtf3a|Mak16|Imp3|Pes1|Eif4b|Rps17|Prpf31|Ipo4|Nop56|Ppan|Mrps7|Snrpd3|Mrm3|Rpl13a|Usp39|Ddx49|Pop7|Ddx54|Bysl|Nob1|Snrnp200|Surf6|Rbm10|Tsr1|Chd7|Cul4a|Rps19bp1|Nol6|Bop1|Bud23|Mrpl10|Eif4a3|Eif3f|Rrp8|Celf3|Sf3a3|Sart3|Prpf8|Pelp1|Wdr46|Lsg1|Srpk1|Sart1|Rps7|Tsr2,Med_vs_PBS
GOBP_TRANSLATION_AT_SYNAPSE,6.76114534364025e-25,8.81146266909915e-22,1.29512308741004,-0.874284728018909,-3.10456302885912,48,Rpl38|Rps16|Rpl8|Rpl36|Rpl32|Rpl27|Rpl37|Rplp2|Rpl7a|Rps28|Rps26|Rpl37a|Rpl13|Rpl10a|Rpl35|Rpl23a|Rpl29|Rps5|Rps11|Rpl14|Rpl6|Rpl27a|Rpl10|Rpl26|Rps12|Eef2|Rpl28|Rps15a|Rpl4|Rpl7|Rpl23|Rpl12|Rpl36a|Rpl34,Med_vs_PBS
GOBP_RIBOSOME_BIOGENESIS,1.77543172309224e-24,1.85106511449597e-21,1.27903397725049,-0.53309843478663,-2.49087707253977,307,Rpl38|Rplp0|Rps16|Rpl27|Rps8|Rpl7a|Rps28|Rps9|Rps13|Rps3a1|Rps15|Rpl35|Rps21|Rps25|Rps5|Rps11|Rpl14|Rpsa|Rps6|Exosc2|Fau|Rpl26|Exosc5|Trmt112|Rps12|Rpl7l1|Rps15a|Rps4x|Rrp7a|Ebna1bp2|Tsr3|Lsm6|Rps23|Ddx47|Eif6|Nop10|Rpl7|Exosc4|Mybbp1a|Dhx30|Grwd1|Ddx56|Rpp25|Nop16|Myg1|Noc2l|Rbfa|Ran|Rpl11|Rps19|Fbl|Eral1|Pih1d1|Nop53|Wdr18|Nop2|Rcl1|Mrto4|Sirt7|Utp4|Tbl3|Wdr74|Cinp|Wdr55|Xrcc5|Rexo4|Pwp2|Pop4|Rrp1|Abcf1|Lyar|Noc4l|Ercc2|Ipo9|Nsun4|Abt1|Gtf3a|Mak16|Imp3|Pes1|Rps17|Ipo4|Nop56|Ppan|Mrps7|Mrm3|Ddx49|Pop7|Ddx54|Bysl|Nob1|Surf6|Rbm10|Tsr1|Chd7|Cul4a|Rps19bp1|Nol6|Bop1|Bud23|Mrpl10|Eif4a3|Rrp8|Pelp1|Wdr46|Lsg1|Sart1|Rps7|Tsr2|Nudt16|C1qbp|Nhp2|Isg20|Kri1|Imp4|Exosc9|Ybey|Gtf2h5|Mcat|Urb1|Rpusd1|Rps27l|2810004N23Rik|Ngdn|Nop9|Riox1|Usp36|Nol11|Mpv17l2|Pa2g4|Snu13|Npm3|Rpp30|Nat10|Las1l,Med_vs_PBS
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,7.45002473140861e-24,6.47282982080552e-21,1.26273988547916,-0.474183133467645,-2.31737236126689,445,Ndufs8|Ndufa1|Tkt|Pgam1|Ndufb7|Park7|Ndufs5|Aprt|Khk|Ndufb10|Sdhb|Taldo1|Ndufa10|Dnph1|Fis1|Ndufb9|Idh2|Pkm|Ndufa13|Gck|Pfkl|Ndufs2|Naxd|Guk1|Got2|Prpsap1|Tpi1|Naxe|Ndufb3|Ndufa3|Ndufb6|Trp53|Eif6|Ndufs6|Ndufv1|H6pd|Mdh2|Aldoa|Eno1|Gart|Uchl1|Mthfd1|Slc25a11|Sdhc|Ak1|Adcy5|Ndufa7|Pfkp|Nudt3|G6pdx|Ndufb11|Pfkm|Impdh2|Gmpr|Ndufa8|Dguok|Hk1|Ran|Fam3a|Nt5c|Got1|Uck2|Ndufs7|Atic|Slc52a2|Npr2|Gucy2e|Adsl|Galk1|Gpi1|Ndufa11|Ndufv3|Gapdh|Pgls|Ddit4|Gpd1l|Uqcc3|Ndufa2|Nudt18|Dut|Jmjd8|Ndufa12|Psen1|Bad|Myh7|Cda|Dctd|Pgk1|Ogdh|Aldoc|Nudt9|Adcy3|Sarm1|Nme6|Eno2|Slc29a1|Atp6v1b2|Mpi|Arl2|Pgd|Pcx|Nt5c2|Gtpbp1|Vcp|Slc25a12|Ndufa9|Prkaca|Rptor|Ucp2|Dhodh|Paics|Mdh1|Nme2|App|Ak2|Uckl1|Ldhb|Prkag1|Stat3|Mtor|Sdha|Dlst|Ldha|Hspa8|Sphk2|Adcy8|Impdh1|Shmt2|Ak8|Rd3|Dcxr|Pfas|Shpk|Galt|Enpp5|Gale|Parp1|Npr1|Flad1|Bcl2l1|Ndufs3|Hk3|Nme7|Atp2b2|Nudt16|Dctpp1|Stoml2|Adcy6|Git1|Nadk|Tspo|Zbtb7a|Bpgm|Slc25a13|Cad|Papss1|Fkrp|Slc25a22|Hspa1b|Selenon|Slc37a2|Aldoart2|Slc25a51|Bend3|Pfkfb3|Adcy9,Med_vs_PBS
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.96776907026147e-23,2.95485430903901e-20,1.24623277191648,-0.515861956867822,-2.43164467156309,326,Oaz1|Etfb|Park7|Ahcy|Khk|Pkm|Gck|Pfkl|Acadvl|Hadha|Got2|Echs1|Tpi1|Acaa1a|Trp53|Hsd17b4|Akt1|Aldoa|Eno1|Glb1|Etfdh|Acsl5|Pfkp|Nudt3|Gcdh|Pfkm|Akr1a1|Pnkd|Hk1|Mat1a|Glo1|Hagh|Eci2|Aadat|Got1|Pck2|Acot7|Lrp5|Galk1|Gpi1|Gnpda1|Bcat2|Haghl|Bckdk|Gapdh|Acoxl|Scly|Npl|Sord|Acads|Acat1|Amdhd2|Akt2|Bad|Faah|Amt|Cda|Dctd|Pgk1|Slc25a44|Hsd17b10|Eno2|Acaa2|Aldh3b1|Mpi|Mgat1|Hal|Decr2|Slc27a4|Aldh2|Xylb|Slc25a12|Mccc2|Nagk|Acox3|Gldc|Dhdh|Thnsl2|Apoe|Pm20d2|Acot8|Ilvbl|Crat|Mtor|Ivd|Nudt1|Dlst|Bckdha|Sdsl|Ldha|Acox1|Lonp2|Abcd1|Hadh|Ech1|Sesn2|Acsf3|Kyat1|Dcxr|Acad12|Gatd1|Fah|Irs2|Abcd4|Galt|Bdh2|Kyat3|Blmh|Gale|Dbi|Acad10|Adh1|Abat|Asrgl1|Cyp46a1|Galm|Hdc|Renbp|Abhd2|Cyp27b1|Tysnd1|Lipe|Hmgcl|Aldh1b1|Sardh|Cyp1a1|Cpt2|Oat|Src|Ces1d|Slc16a3|Pdxp|Csad|Tha1|Upb1|Cbs|Synj2|Fgf23|Tat|Foxk2|Eci1|Mfsd2a|Bcl2l13|Gpd2|Mlycd|Aldh1l1|Aldh4a1,Med_vs_PBS
GOBP_RRNA_METABOLIC_PROCESS,7.64326353251676e-23,4.98054159937623e-20,1.23789667319529,-0.565041311542505,-2.5950965238262,241,Rps16|Rpl27|Rps8|Rpl7a|Rps28|Rps15|Rpl35|Rps21|Rps25|Rpl14|Rps6|Exosc2|Rpl26|Exosc5|Polr1b|Trmt112|Trir|Rpl7l1|Rrp7a|Ebna1bp2|Tsr3|Lsm6|Ddx47|Trp53|Eif6|Nop10|Rpl7|Exosc4|Polr2e|Ddx56|Rpp25|Myg1|Rbfa|Rpl11|Rps19|Fbl|Pih1d1|Nop53|Wdr18|Polr1d|Nop2|Rcl1|Mrto4|Sirt7|Smarca4|Utp4|Tbl3|Wdr74|Wdr55|Rexo4|Pwp2|Pop4|Gtf3c1|Tcof1|Polr1a|Rrp1|Lyar|Ercc2|Nsun4|Abt1|Mak16|Imp3|Pes1|Rps17|Smarcb1|Ppan|Mtor|Mrm3|Ddx49|Pop7|Ddx54|Bysl|Nob1|Tsr1|Chd7|Nol6|Bop1|Bud23|Dis3l|Eif4a3|Rrp8|Pelp1|Wdr46|Sart1|Rps7|Tsr2|Cavin1|Nudt16|Ubtf|Nhp2|Isg20|Kri1|Imp4|Exosc9|Ybey|Gtf2h5|Urb1|Rpusd1|Ngdn|Nop9|Usp36|Nol11|Slfn14|Pa2g4|Snu13|Npm3|Rpp30|Nat10|Las1l,Med_vs_PBS
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,3.1349097055722e-22,1.81580936612754e-19,1.22105375677186,-0.51650118761223,-2.42303178517,316,Ndufs8|Uqcrc1|Ppp1ca|Etfb|Ndufa1|Nr4a3|Ndufb7|Park7|Uqcr10|Cox6b1|Ndufs5|Prelid1|Cox4i1|Khk|Ndufb10|Sdhb|Ndufa10|Ndufb9|Idh2|Ndufa13|Gck|Ndufs2|Uqcr11|Cox6a1|Pgm2|Ndufb3|Ndufa3|Ndufb6|Uqcrb|Trp53|Ndufs6|Akt1|Ndufv1|Mrps36|Mdh2|Mybbp1a|Aco2|Suclg2|Etfdh|Sdhc|Cox8a|Ndufa7|Mfn2|Gabarapl1|Ndufb11|Pfkm|Nipsnap2|Idh3g|Oxa1l|Ndufa8|Dguok|Trap1|Ndufs7|Nop53|Adsl|Atg2a|Cox7a2|Ndufa11|Ndufv3|Uqcc2|Cox7a2l|Uqcc3|Ndufa2|Pink1|Jmjd8|Ndufa12|Stk40|Akt2|Ogdh|Chchd10|Cs|Uqcrh|Idh3b|Igf2|Cox7c|Pgf|Cox5b|Arl2|Nhlrc1|Gys1|Ogdhl|Iscu|Vcp|Slc25a12|Ndufa9|Pygb|Aifm2|Prkaca|Slc37a4|Mtfr1l|Suclg1|Comt|Mdh1|Coq9|Msh2|Il6st|Coq7|Mtor|Pdha1|Prdm16|Sdha|Dlst|Gsk3a|Blvra|Ldha|Wipi2|Chchd5|Abcd1|Uqcrc2|Gaa|Bid|Shmt2|Inpp5k|Sirt3|Pygl|Atg2b|Pm20d1|Irs2,Med_vs_PBS
GOBP_CELLULAR_RESPIRATION,4.66682477800689e-21,2.43281575677499e-18,1.18665095279281,-0.571711243867489,-2.57853069945088,215,Ndufs8|Uqcrc1|Etfb|Ndufa1|Nr4a3|Ndufb7|Park7|Uqcr10|Cox6b1|Ndufs5|Prelid1|Cox4i1|Ndufb10|Sdhb|Ndufa10|Ndufb9|Idh2|Ndufa13|Ndufs2|Uqcr11|Cox6a1|Ndufb3|Ndufa3|Ndufb6|Uqcrb|Ndufs6|Akt1|Ndufv1|Mrps36|Mdh2|Mybbp1a|Aco2|Suclg2|Etfdh|Sdhc|Cox8a|Ndufa7|Mfn2|Ndufb11|Nipsnap2|Idh3g|Oxa1l|Ndufa8|Dguok|Trap1|Ndufs7|Nop53|Adsl|Cox7a2|Ndufa11|Ndufv3|Uqcc2|Cox7a2l|Uqcc3|Ndufa2|Pink1|Jmjd8|Ndufa12|Ogdh|Chchd10|Cs|Uqcrh|Idh3b|Cox7c|Cox5b|Arl2|Ogdhl|Iscu|Vcp|Ndufa9|Aifm2|Prkaca|Mtfr1l|Suclg1|Mdh1|Coq9|Msh2|Coq7|Pdha1|Prdm16|Sdha|Dlst|Chchd5|Abcd1|Uqcrc2|Bid|Shmt2,Med_vs_PBS
