pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_PROTEIN_SECRETION,0.000241312741312741,0.000721178116571231,-0.448246913098904,-1.73195219992823,0,93,Sod1|Atp1a1|Cope|M6pr|Ykt6|Gla|Arf1|Ergic3|Ap2s1|Ap2b1|Ap2m1|Cd63|Cog2|Napa|Rer1|Gosr2|Clcn3|Clta|Copb2|Vps45|Ap3b1|Arfip1|Krt18,Hi_vs_PBS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.000245760629147211,0.000721178116571231,-0.468521115940193,-1.83268200642056,0,102,Arpc3|Ppp1ca|Cfl1|Arf1|Cdk4|Pfn1|Ecsit|Hras|Ap2m1|Calr|Akt1|Tiam1|Mknk2|Csnk2b|Itpr2|Mapkap1|Tsc2|Sqstm1|Rit1|Cxcr4|Prkag1|Nfkbib|Arhgdia|Gna14|Dusp3|Tnfrsf1a|Pin1|Hsp90b1|Slc2a1|Sfn|Grk2|Pla2g12a|Pik3r3|Akt1s1|Lck|Pitx2|Ralb|Fgf22|Ppp2r1b|Tbk1,Hi_vs_PBS
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.000233808744447042,0.000721178116571231,-0.504024762139335,-1.84886321809829,0,68,Tnfrsf12a|Anxa5|Lgals3|Pmvk|Tmem97|Mvk|Fabp5|Nfil3|Atf3|Actg1|Cd9|Ctnnb1|Fbxo6|Ebp|Gusb|Abca2|Fdft1|Errfi1|Acss2|Cxcl16|Clu|Sqle|Cyp51|Ech1|Fasn|Gstm7|Ethe1,Hi_vs_PBS
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.000272257010618023,0.000721178116571231,-0.439912674358073,-1.87654512447591,0,187,Nr4a3|Fosl2|Nr4a2|Nr4a1|Tubb2a|Per1|Nfkbia|B4galt5|Ets2|Spsb1|Cd83|Il23a|Nfil3|Fosb|Gem|Rcan1|Pfkfb3|Atf3|Irs2|F2rl1|Il6st|Panx1|Ppp1r15a|Smad3|Ninj1|Gadd45b|Ehd1|Gadd45a|Rnf19b|Lamb3|Edn1|Tnfrsf9|Pde4b|Stat5a|Sqstm1|Zfp36|Nfkbie|Trip10|Tnfaip2|Fosl1|Sdc4|Serpine1|Efna1|Tgif1|Yrdc|Mxd1|Rela|Id2|Il1b|G0s2|Maff|Ccl5|Il18|Tsc22d1|Pmepa1|Lif|Gch1|Hbegf|Tnfsf9|Il15ra|Irf1|Bcl2a1d|Dusp2|Serpinb2|Ldlr,Hi_vs_PBS
HALLMARK_XENOBIOTIC_METABOLISM,0.00026816840976133,0.000721178116571231,-0.455428944852041,-1.91861685966691,0,170,Gart|Pemt|Aldh3a1|Sertad1|Mthfd1|Cbr1|Gabarapl1|Ets2|Tmem97|Cyp17a1|Lonp1|Cyfip2|Gss|Ddah2|Tmbim6|Slc35b1|Pgd|Ninj1|Etfdh|Gcnt2|Aco2|Cndp2|Mccc2|Aldh2|Dhrs7|Adh5|Ddt|Dhrs1|Asl|Cyp1a1|Acox2|Nmt1|Spint2|Blvrb|Serpine1|Comt|Acox3|Ech1|Acox1|Elovl5|Shmt2|Smox|Tnfrsf1a|Fah|Cyb5a|Tmem176b|Tpst1|Dcxr|Atoh8|Id2|Slc1a5|Maoa|Jup|Nfs1|Cyp2s1|Gch1|Cyp2j6|Upp1|Cdo1|Fbp1|Bphl|Ephx1|Npc1|Gstm4|Pmm1|Retsat,Hi_vs_PBS
HALLMARK_HYPOXIA,0.000272257010618023,0.000721178116571231,-0.458099095206522,-1.95151522273939,0,186,Fosl2|Mif|Jmjd6|Prdx5|Siah2|Aldoa|Ldha|Pgk1|Mxi1|Tpi1|Pfkl|Pfkp|Gck|Pygm|Cavin3|Pgm2|Nfil3|Pfkfb3|Atf3|Irs2|Ddit4|Hexa|Hk1|Ppp1r15a|Galk1|Stbd1|Anxa2|Gcnt2|Xpnpep1|Edn2|Zfp36|Sdc2|P4ha1|Gpi1|Errfi1|Cxcr4|Ilvbl|Eno2|Gbe1|Sdc4|Serpine1|Efna1|Dpysl4|Pgf|Slc25a1|Nagk|Tpbg|Mt1|Slc2a1|Hdlbp|Maff|Tgfb3|Aldoc|Plac8|Tpst2|Cavin1|Gaa|Map3k1,Hi_vs_PBS
HALLMARK_PEROXISOME,0.000242013552758955,0.000721178116571231,-0.507328665718533,-1.96881263182507,0,95,Sod1|Prdx5|Fis1|Hsd17b4|Mvp|Bcl10|Cln8|Hras|Slc25a4|Idh2|Slc35b2|Acaa1a|Acsl5|Rdh11|Lonp2|Abcc5|Pex11b|Ctbp1|Ercc1|Tspo|Acsl1|Aldh1a1|Ywhah|Ech1|Acox1|Elovl5|Dhcr24|Msh2|Cadm1|Isoc1|Acot8|Pex5,Hi_vs_PBS
HALLMARK_P53_PATHWAY,0.000274047684297068,0.000721178116571231,-0.47132637264716,-2.0203817240156,0,194,Rack1|Rpl18|Rpl36|Rps12|Vamp8|Slc3a2|Trafd1|Fuca1|Hras|Atf3|Ddit4|Traf4|Prmt2|Rrp8|Cyfip2|Rps27l|Triap1|Ctsd|Ip6k2|Ctsf|Ppp1r15a|Mknk2|Ninj1|Iscu|Plk3|Gadd45a|Rnf19b|Hdac3|Bak1|Pcna|App|Alox8|Abcc5|Cdkn2a|Steap3|Txnip|Tm4sf1|Ralgds|Tax1bp3|Krt17|Sec61a1|Rrad|Ifi30|Sdc1|Rad9a|Mxd4|Perp|Mxd1|Nhlh2|Mapkapk3|Dcxr|Fbxw7|Sfn|Gm2a|Tspyl2|Tgfa|Tsc22d1|Ak1|Lif|Klk8|Hbegf|Abhd4|Pvt1|Jag2|Upp1|Tnfsf9|Hint1|Sertad3|Tcn2|S100a10|Cd82|Hexim1|Ephx1|Irak1|Ada,Hi_vs_PBS
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.000229673863114378,0.000721178116571231,-0.604583866173512,-2.07689131681292,0,48,Sod1|G6pdx|Prdx2|Txn1|Ndufs2|Pfkp|Txnrd1|Abcc1|Ptpa|Egln2|Atox1|Pdlim1|Ndufa6|Lsp1|Stk25|Prdx4|Prdx6|Prnp|Gpx4|Srxn1,Hi_vs_PBS
HALLMARK_UV_RESPONSE_UP,0.000263921879123779,0.000721178116571231,-0.51830435210393,-2.1514973198597,0,150,Dnajb1|Nr4a1|Tuba4a|Cltb|Atp6v1f|Pole3|Aldoa|Rpn1|Ykt6|Pdap1|Nfkbia|Fkbp4|Psmc3|Bsg|Ap2s1|Fosb|Grpel1|Rab27a|Polr2h|Asns|Atf3|Selenow|Slc25a4|Il6st|Mrpl23|Tmbim6|Cdc34|Stard3|Acaa1a|Bak1|Urod|Msx1|Sqstm1|Nxf1|Eno2|Arrb2|Cyp1a1|Gal|Parp2|Stip1|Stk25|Rrad|Amd1|Ctsl|Prkaca|Spr|Hyal2|Ddx21|Cdc5l|Bcl2l11|Mapk8ip2|Atp6v1c1|Mmp14|Epcam|Bid|Maoa|Cyb5r1|Ppat|Ppif|Gch1|Cdo1|Hspa2|Irf1|Ggh|Ephx1|Apom,Hi_vs_PBS
