pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_PROTEIN_SECRETION,0.000176180408738548,0.00160585817060637,0.543755798895897,2.03376077577336,0,93,Copb1|Yipf6|Arfgef1|Cd63|Lman1|Vamp4|Rab2a|Adam10|Cltc|Snap23|Copb2|Uso1|Rer1|Dnm1l|Sec22b|Tmx1|Vamp3|Cln5|Snx2|Ctsc|Bet1|Stam|Lamp2|Ap1g1|Vps4b|Ap3s1|Arfgap3|Vps45|Scamp1|Tpd52|Rab14|Tmed10|Atp6v1b1|Sec24d|Zw10|Rab5a|Abca1|Cope,Lo_vs_Hi
HALLMARK_MYC_TARGETS_V1,0.000163961305131989,0.00160585817060637,0.445793417612289,1.84334113479981,0,190,Npm1|Clns1a|Eif4g2|Psma1|Ifrd1|Nme1|Dek|Hdac2|Rpl22|Xpo1|Vbp1|Eef1b2|Psma2|Snrpd2|Srsf3|Prps2|Orc2|Ptges3-ps|Cops5|Eif2s2|Eif3j1|Erh|Cul1|Cct4|Tomm70a|Ap3s1|Xpot|Psmc6|Vdac3|Cstf2|Snrpg|Psmd1|Tcp1|Ssbp1|Syncrip|Hddc2|Gnl3|Cct5|Dhx15|Hnrnpr|Ssb|Psma6|Pabpc1|Etf1|Psma7|Tyms|Usp1|Rpl14|Snrpb2|Eif4e|Dut|Tardbp|Rrm1|Acp1|Rack1|Canx|Ranbp1|Rps10|Psmd14|Snrpd1|Serbp1|Abce1|Ywhaq|Srsf7|Fam120a|Ndufab1|Mad2l1|Cad|Pabpc4|Nhp2|Xrcc6|Rsl1d1|Psmd8|Hnrnpc|Eif2s1,Lo_vs_Hi
HALLMARK_MYOGENESIS,0.000255885363357216,0.00160585817060637,-0.366937939605158,-1.58029244615949,0,183,Bhlhe40|Vipr1|Kcnh1|Sorbs3|Myh7|Ncam1|Ptp4a3|Ache|Cacna1h|Fst|Notch1|Tagln|Pcx|Mef2d|Fabp3|Sspn|Mapk12|Plxnb2|Kifc3|Gnao1|Fgf2|Svil|Ppfia4|Gsn|Pfkm|Myom1|Agrn|Ablim1|Myh9|Tcap|Sptan1|Mylk|Sh2b1|Cox7a1|Speg|Adcy9|Dmpk|Lpin1|Itgb4|Mybph|Camk2b|Erbb3|Gadd45b|Bin1|Nos1|Cdh13|Hdac5|Clu|Sorbs1|Itgb5|Tgfb1|Mras|Kcnh2|Tsc2|Apod|Ankrd2|Flii|Gaa|Myh1|Ephb3|Chrnb1|Mapre3|Stc2|App|Lsp1|Crat|Gja5|Col15a1|Sphk1,Lo_vs_Hi
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.000256016385048643,0.00160585817060637,-0.372990004310257,-1.61209425192534,0,188,Timp3|Tgfbr3|Fbn2|Cdh2|Fbln2|Spock1|Igfbp4|Tgfbi|Magee1|Lrp1|Rhob|Tagln|Vim|Lox|Tnc|Gas1|Sfrp1|Efemp2|Slit3|Fgf2|Lamc1|Aplp1|Fzd8|Notch2|Matn2|Bmp1|Mmp2|Mylk|Plod3|Itga5|Fstl1|Lamc2|Tnfaip3|Oxtr|Vegfa|Cd44|Gja1|Gpc1|Matn3|Vcam1|Wnt5a|Thy1|Loxl1|Gadd45b|Id2|Dab2|Acta2|Itgb5|Dst|Sdc4|Col7a1|Flna|Igfbp2|Tgfb1|Cthrc1|Capg|Cadm1|Tpm1,Lo_vs_Hi
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.000256344527044348,0.00160585817060637,-0.379731063536108,-1.63987467043953,0,187,Bhlhe40|Egr1|Ier2|Fos|Dusp4|Junb|Pdlim5|Dusp5|Btg2|Icosl|Rhob|Zc3h12a|Tnc|Plk2|Zfp36|Irs2|Socs3|Trib1|Ier3|Dusp1|Csf1|Gfpt2|Spsb1|Slc2a3|Per1|Cxcl1|Rcan1|Rnf19b|Egr2|Snn|Tnfaip3|Vegfa|Plau|Cflar|Cd44|Tnfrsf9|Sqstm1|Klf4|Tnf|Dusp2|Ptger4|Kdm6b|Tnip2|Ppp1r15a|Gadd45b|Smad3|Id2|Gch1|Nfkb2|Fosl1|Icam1|Tgif1|Sdc4,Lo_vs_Hi
HALLMARK_P53_PATHWAY,0.000255623721881391,0.00160585817060637,-0.378272461637601,-1.64351114210544,0,194,Zbtb16|Ctsf|Fos|Ephx1|Eps8l2|Ccnd3|Btg2|Notch1|Tcn2|Tspyl2|Prmt2|Pmm1|Plxnb2|Plk2|Baiap2|Ldhb|Trib3|St14|Ier3|Mknk2|Stom|Hmox1|Nudt15|Ddb2|Gm2a|Rrp8|Acvr1b|Aen|Rxra|Rpl36|Jag2|Rab40c|Rnf19b|Rgs16|Kif13b|Ifi30|Pidd1|Inhbb|Abhd4|Klf4|Wrap73|Ip6k2|Hexim1|Ddit4|Itgb4|Blcap|Trp53|Serpinb5|Ppp1r15a|Def6|Cebpa|Xpc|Cdh13|Cd81|Ddit3|Ppm1d|Pom121|Iscu|Mxd1|Tgfb1|Alox8|Ercc5,Lo_vs_Hi
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.000256213169356905,0.00160585817060637,-0.385245733618872,-1.66290800750962,0,186,Bhlhe40|Podxl|Tsku|Deptor|Fos|Tmem164|Cbfa2t3|Fkbp5|Slc1a1|Slc37a1|Scnn1a|Igfbp4|Slc24a3|Slc27a2|Ncor2|Tjp3|Ovol2|Kdm4b|Rara|Svil|Pex11a|Gfra1|Slc22a5|Muc1|Krt18|Elovl2|Syt12|Lrig1|Sult2b1|Ablim1|Amfr|Adcy9|Mreg|Inhbb|Fasn|Flnb|Cd44|Unc119|Klf4|Tiam1|Gja1|Myof|Cant1|Wwc1|Jak2|Abhd2|Itpk1|Celsr2|Igf1r|Blvrb|Mast4|Farp1|Syngr1|Zfp185|Kazn|Fkbp4|Slc7a2|Adcy1|Akap1|Aff1|Wfs1|Egr3|Gab2|Stc2|Mybbp1a|Myc|Rhod|Esrp2|Med13l,Lo_vs_Hi
HALLMARK_APICAL_JUNCTION,0.00025693730729702,0.00160585817060637,-0.435955471048344,-1.88469373340752,0,189,Sdc3|Nlgn2|Actn1|Cdh4|Cx3cl1|Sorbs3|Nrtn|Nf2|Msn|Pkd1|Thbs3|Ldlrap1|Nrxn2|Tgfbi|Lima1|Pcdh1|Tmem8b|Atp1a3|Grb7|Baiap2|Mapk13|Cd274|Tspan4|Sirpa|Vcl|Myh9|Bmp1|Mmp2|Col9a1|Crb3|Tsc1|Pbx2|Nectin1|Lamc2|Zyx|Itga3|Speg|Tubg1|Nectin2|Madcam1|Vasp|Nfasc|Itga10|Cercam|Ctnnd1|Pik3cb|Itgb4|Vcam1|Cldn14|Fscn1|Amigo1|Thy1|Nectin4|Cdsn|Rsu1|Taok2|Epb41l2|Gnai2|Icam1|Adamts5|Map4k2|Mvd|Cldn15|Src|Alox8|Kcnh2|Actg1|Sympk|Cnn2|Myl9|Jam3|Mapk14,Lo_vs_Hi
HALLMARK_COAGULATION,0.000960845544078789,0.00533803080043772,-0.404269973276519,-1.64421010833085,3,116,Timp3|Rapgef3|Serping1|Lrp1|Dusp6|Sh2b2|Casp9|Usp11|Crip2|Fyn|Csrp1|A2m|Hmgcs2|Gsn|Furin|Apoc3|C2|Lgmn|Hpn|Cpn1|Bmp1|Mmp2|Plau|Apoc1|Pdgfb|Mmp11|Pros1|Capn5|Gnb2|F2rl2|Cfi|Ang|Cfb|Clu|Apoa1|Cd9|Iscu|C8g,Lo_vs_Hi
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.00522557045810834,0.0214053591235478,0.406148754738379,1.54484657143871,29,103,Kdelr3|Npm1|Eif4a2|Asns|Arxes2|Cnot6|Ssr1|Hsp90b1|Kif5b|Aldh18a1|Serp1|Cebpg|Xpot|Dnajc3|Parn|Wipi1|Hspa9|Nop14|Mthfd2|Paip1|Lsm1|Rps14|Ddx10|Dkc1|Dcp2|Dcp1a|Eif4e|Psat1|Xbp1|Dnajb9|Atf4,Lo_vs_Hi
