pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_E2F_TARGETS,0.000204081632653061,0.00340136054421769,0.452769462403496,1.91123006007853,0,194,Brca1|Kif4|Hells|Dck|Melk|Hmmr|Mthfd2|Rrm2|Top2a|Ung|Tcf19|Spc24|Cdk1|Aurkb|Mki67|Donson|Pms2|Rad21|Cit|Cenpe|Asf1b|Cks2|Spag5|Dut|Spc25|Mcm5|Rad51ap1|Trp53|Diaph3|Dscc1|Cenpm|Chek1|Kif2c|Cdca3|Tipin|Mad2l1|Racgap1|Wdr90|Psip1|Prkdc|Ccne1|Mms22l|Hnrnpd|Timeless|Mcm3|Brca2|E2f8|Chek2|Cdkn1b|Ube2t|Cdkn2c|Plk4|Pold2|Zw10,Lo_vs_Med
HALLMARK_MYOGENESIS,0.000195848021934978,0.00340136054421769,-0.426944060271792,-1.78962664229588,0,183,Vipr1|Fabp3|Tagln|Pygm|Tcap|Tnnt3|Sorbs3|Sorbs1|Mapk12|Hdac5|Fst|Bhlhe40|Chrnb1|Tpm2|Casq1|Gadd45b|Myh1|Notch1|Tnni2|Ephb3|Myom1|Ncam1|Ckm|Myh4|Cnn3|Acta1|Fgf2|Myh7|Ache|Mef2d|Lpin1|Hbegf|Kcnh1|Fhl1|Psen2|Cryab|Mras|Pvalb|Lsp1|Bin1|Mylpf|Agrn|Pfkm|Atp2a1|Actn3|Svil|Pkia|Cacna1h|Sh2b1|Ablim1|Gnao1|Myl1|Schip1|Myh2|Pgam2|Clu|Erbb3|Mylk|Gsn,Lo_vs_Med
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.000196772924045651,0.00340136054421769,-0.454842037216621,-1.90939771410696,0,187,Egr1|Plk2|Dusp2|Dusp5|Pdlim5|Gch1|Zfp36|Irs2|Bcl6|Nr4a1|Spsb1|Per1|Gem|Dusp1|Nfil3|Id2|Slc2a3|Bhlhe40|Edn1|Trib1|Serpine1|Fos|Maff|Sgk1|Tgif1|Tnip2|Gadd45b|Ier2|Klf2|Dusp4|Myc|Cxcl1|Klf4|Hbegf|Smad3|Ackr3|Msc|Gfpt2|Il15ra|Tnfrsf9|Ier3|Tsc22d1|Cd44|Tiparp|B4galt5|Atp2b1,Lo_vs_Med
HALLMARK_G2M_CHECKPOINT,0.000610624872786485,0.00763281090983106,0.378762720038262,1.59246944889906,2,188,Kif4|Nusap1|Hmmr|Rbl1|Ttk|Cdc6|Top2a|Cenpf|Kif20b|Cdk1|Troap|Aurkb|Mki67|Bub1|Marcks|Chaf1a|Rad21|Cenpe|Cks2|Cdc45|Pbk|Cdc7|Nek2|Kif15|Cenpa|Wrn|Pura|Ccna2|E2f2|Mcm5|Orc5|Sap30|Traip|Chek1|Kif2c|Mad2l1|Racgap1|Hnrnpd|Mcm3|Brca2|Cdkn1b|Knl1|Kif11|Cdkn2c|Plk4|Atf5|Odf2|Mcm6|Fbxo5|Cul5,Lo_vs_Med
HALLMARK_P53_PATHWAY,0.000784006272050176,0.00784006272050177,-0.379235070449837,-1.5998109266745,3,194,Ctsf|Plk2|Baiap2|Pitpnc1|Mapkapk3|Zbtb16|St14|Aen|Ephx1|Rrp8|Fos|Fas|Rab40c|Trib3|Stom|Notch1|Ddb2|Mknk2|Klf4|Eps8l2|Gls2|Sesn1|Tcn2|Tspyl2|Rrad|Hspa4l|Hbegf|Ier3|Pcna|Cebpa|F2r|Tsc22d1|Casp1|Ip6k2|Klk8|Gm2a|Blcap|Rad9a|Ddit4|Abhd4|Inhbb|Ada|Alox8|Ercc5|Btg2|Prmt2|Iscu|Plk3|Itgb4|Hdac3|Ccnd3|Mxd1|Ndrg1|Foxo3|Ldhb|Vamp8|Ankra2|Ppp1r15a|Ccnd2|Bax|Rnf19b|Xpc|Tpd52l1|Rpl18|Csrnp2|Hexim1|Sat1|Txnip|Rpl36,Lo_vs_Med
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00118086990749852,0.0098405825624877,-0.377171419202253,-1.58240687079854,5,186,Tsku|Myof|Krt18|Mast4|Scnn1a|Slc37a1|Sult2b1|Bhlhe40|Pex11a|Fkbp5|Fos|Slc27a2|Sema3b|Klk10|Ppif|Myc|Isg20l2|Podxl|Inpp5f|Klf4|Slc22a5|Lrig1|Nrip1|Amfr|Jak2|Tmem164|Elovl5|Itpk1|Igf1r|Gfra1|Celsr1|Cd44|Kazn|Aff1|Tiparp|Ncor2|Tiam1|Muc1|Svil|Nadsyn1|Pmaip1|Ablim1|Lad1|Inhbb|Slc24a3|Il17rb|Papss2|Zfp185|Fkbp4|Dlc1|P2ry2|Akap1|Ovol2|Gab2|Cldn7|Slc2a1|Tgif2|Nxt1|Krt8|Flnb|Blvrb|Hr,Lo_vs_Med
HALLMARK_MYC_TARGETS_V2,0.00199044585987261,0.0142174704276615,-0.495265536709806,-1.7229278200883,9,57,Map3k6|Dusp2|Rrp9|Nolc1|Grwd1|Bysl|Supv3l1|Nop2|Myc|Ppan|Imp4|Noc4l|Aimp2|Las1l|Tbrg4|Mphosph10|Sord|Hspe1|Nop56,Lo_vs_Med
HALLMARK_COAGULATION,0.00398406374501992,0.0249003984063745,-0.391307954826218,-1.53615495670088,19,116,Dusp6|Hmgcs2|C8g|Crip2|Serpine1|Maff|Timp3|Cfi|Dusp14|P2ry1|Apoa1|Pros1|Wdr1|Vwf|C3|Usp11|Serping1|Cd9|Gp9|Itga2|Masp2|Klk8|Fyn|Dpp4|C2|Clu|Gsn|Mmp10|Apoc3|Mmp3|Lgmn|Iscu|Pef1|Ctsh|Sh2b2|A2m|Mmp11|Trf|Prep|Fn1|Capn2,Lo_vs_Med
HALLMARK_PROTEIN_SECRETION,0.00774088409044612,0.0430049116135895,0.398565902071641,1.51721481662814,37,93,Cd63|Sec22b|Lman1|Adam10|Arfgap3|Vamp4|Snap23|Cln5|Tmx1|Uso1|Rab2a|Copb2|Yipf6|Copb1|Rer1|Arfgef1|Tmed10|Ap3s1|Bet1|Cope|Tpd52|Mon2|Zw10|Abca1|Vps45|Sec24d|Arcn1|Dnm1l|Rab9|Vamp3|Snx2|Lamp2|Galc|Arfgef2,Lo_vs_Med
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0112116443745083,0.0509620198841285,-0.331955159987744,-1.38773638724659,56,180,Ascl1|Klk11|Myof|Dusp2|Hmgcs2|Zfp36|Lamc2|St14|Scnn1a|Id2|Sult2b1|Fkbp5|Fos|Sgk1|Cxcl14|Ccna1|Slc27a2|Sema3b|Klk10|Ppif|Klf4|Slc22a5|St6galnac2|Nrip1|Amfr|Jak2|Cd9|Hspa4l|Elovl5|Itpk1|Impa2|Cd44|Aff1|Ncor2|Tiam1|Plxnb1|Sord|Th|Nab2|Slc24a3|Il17rb|Papss2|Chst8,Lo_vs_Med
