pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_G2M_CHECKPOINT,0.00017223561832587,0.000521947909598622,0.386717318031593,1.59540541277444,0,188,Rbl1|Kif20b|Smc4|Pura|Hmmr|Marcks|Kif15|Xpo1|Cenpf|Bub1|Orc5|Rad21|Plk4|Top2a|Knl1|Smc2|Pds5b|Stag1|Atrx|Cul3|Efna5|Pbk|Dr1|Pafah1b1|Srsf10|Cdc27|Cul1|Mtf2|Cul5|Kif5b|Slc12a2|Syncrip|Hnrnpd|Tmpo|Kif4|Nusap1|Casp8ap2|Rps6ka5|Mki67|Prc1|Traip|Cdk1|Ccna2|Chek1|Cdkn1b|Prpf4b|Dbf4|Mad2l1|Wrn|Mnat1|Kif11|Ttk|Cks2|Ythdc1,Lo_vs_PBS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.000238322211630124,0.000521947909598622,-0.380527071938091,-1.62323052516099,0,188,Tnfrsf12a|Lamc2|Cdh2|Fbn2|Fuca1|Mest|Gadd45b|Aplp1|Flna|Gem|Efemp2|Rgs4|Ppib|Pvr|Sdc4|Plod3|Magee1|Id2|Serpine1|Eno2|Thy1|Cadm1|Serpinh1|Lamc1|Gpc1|Fbln2|Copa|Tpm1|Msx1|Notch2|Pmepa1|Tgfbi|Mmp14|Vegfa|Vim|Timp3|Tnfaip3|Lrp1|Loxl1|Cd44|Qsox1|Lama1|Oxtr|Tpm4|Sdc1|Pdlim4|Itgb5|Fzd8,Lo_vs_PBS
HALLMARK_HEME_METABOLISM,0.000238379022646007,0.000521947909598622,-0.396680456747457,-1.68552195603156,0,180,Prdx2|Agpat4|Fbxo34|Hdgf|Bsg|Add1|Bcam|Nfe2l1|Mxi1|Glrx5|Ank1|Mgst3|Urod|Gde1|Pigq|Rnf123|Ccnd3|Ucp2|Lrp10|Ppp2r5b|Adipor1|Pcx|Blvrb|Mfhas1|Dcaf11|Sptb|Tmcc2|Sec14l1|Rad23a|Optn|Slc6a9|Alad|Btrc|C3|Psmd9|Selenbp1|Atp6v0a1|Rcl1|Cdr2|Ctsb|Dmtn|Pdzk1ip1|Pgls|Arhgef12|Sidt2|Btg2|Mkrn1|Add2|Hagh|Slc10a3|Rbm38|Slc11a2|Hmbs|Ubac1|Ranbp10|Slc2a1|Clcn3|Ppox|Smox,Lo_vs_PBS
HALLMARK_APOPTOSIS,0.000235904694503421,0.000521947909598622,-0.405314581835866,-1.69367821655142,0,157,Tnfrsf12a|Sod1|Hspb1|Add1|Gadd45b|Sqstm1|Krt18|Psen2|Vdac2|Nedd9|Ank|Ppp2r5b|Bcl2l1|App|Bcap31|Clu|Gsn|Lmna|Gstm2|Eno2|Gucy2e|Gpx1|Ctnnb1|Madd|Pea15a|Psen1|Gch1|Nefh|Txnip|Erbb3|Bcl2l2|Lgals3|Timp3|Ier3|Btg2|Atf3|Timp2|Rara|Cdc25b|Cd44|Ppt1|Irf1|Sptan1|Casp9|Smad7|Erbb2|Igf2r|Ebp|Cflar|Ddit3|Bax|Bid|Tspo|Retsat|Bcl2l11|Rhot2|Ifitm3|Pmaip1,Lo_vs_PBS
HALLMARK_ESTROGEN_RESPONSE_LATE,0.000238379022646007,0.000521947909598622,-0.405197568435922,-1.72171173676992,0,180,Cxcl14|Lamc2|Itpk1|Fkbp4|Zfp36|Amfr|Ckb|Sord|Tiam1|Nab2|Slc24a3|Ascl1|Etfb|Mest|Rps6ka2|Cd9|Flnb|Slc29a1|Chst8|Mapk13|Rnaseh2a|Idh2|St14|Blvrb|Plxnb1|Siah2|Hr|Hspb8|Cacna2d2|Mettl3|Hmgcs2|Id2|Rapgefl1|Scnn1a|Gla|Arl3|Ass1|Fdft1|Dusp2|Llgl2|Fabp5|Slc27a2|Gper1|Aff1|Il6st|Wfs1|Mapt|Ppif|Cd44|Klk11|Tjp3|Aldh3b1|Slc22a5|Celsr2|Dcxr|Lsr|Abca3|Myof|Igfbp4|Tpbg|Elovl5|Slc7a5|Klf4|Kcnk5|Sgk1|Dlg5|Krt19|Sfn,Lo_vs_PBS
HALLMARK_COAGULATION,0.000227946204695692,0.000521947909598622,-0.448097153202806,-1.79091531681853,0,116,Crip2|Dusp14|Usp11|Wdr1|Cd9|Gnb2|Csrp1|Iscu|Lgmn|Capn5|Fyn|Pef1|Clu|Gsn|Hmgcs2|Serpine1|C2|C3|Mmp15|Ctsb|Rapgef3|Rabif|Mmp14|Timp3|Lrp1|Sirt2|Prep|Dusp6|Casp9|C1qa|Cfi|S100a1|A2m|Furin|Ctsl|Pros1|Maff|Apoc3|Gp9|Mmp11|Serping1|Bmp1|F2rl2|Rac1,Lo_vs_PBS
HALLMARK_MTORC1_SIGNALING,0.000237586124970302,0.000521947909598622,-0.433252954510387,-1.85145830653725,0,189,Ppia|Abcf2|Got1|Psmc4|Aldoa|Hspe1|G6pdx|Gpi1|Ddit4|Pfkl|Bhlhe40|Sord|Slc6a6|Ldha|Tuba4a|Tpi1|Pdap1|Tomm40|Ppp1r15a|Cd9|Fkbp2|Txnrd1|Sqstm1|Rrp9|Rpa1|Ifi30|Adipor2|M6pr|Lgmn|Fads2|Nfil3|Slc2a3|Atp6v1d|Calr|Psma3|Ykt6|Nfkbib|Acly|Psmg1|Itgb2|Serpinh1|Gla|Mllt11|Psmc2|Tubg1|Nmt1|Pgk1|Cxcr4|Trib3|Psme3|P4ha1|Btg2|Psma4|Ppa1|Srd5a1|Sec11a|Hmbs|Slc37a4|Tmem97|Ebp|Stip1|Slc2a1|Hspd1|Dhcr24|Ddit3|Elovl5|Slc7a5|Psmb5|Nufip1|Nfyc|Gga2,Lo_vs_PBS
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.000238038562247084,0.000521947909598622,-0.442054220226024,-1.88359986192474,0,186,Tmem164|Itpk1|Fkbp4|Amfr|Bhlhe40|Tiam1|Akap1|Slc1a1|Slc24a3|Igf1r|Rps6ka2|Krt18|Flnb|Tsku|Slc37a1|Fasn|Blvrb|Gfra1|Siah2|Mybbp1a|Hr|Hspb8|Krt8|Ablim1|Rapgefl1|Rrp12|Scnn1a|Gla|Arl3|Tubb2b|Elf3|Kdm4b|Fdft1|Celsr1|Slc27a2|Aff1|Il6st|Wfs1|Mapt|Syngr1|Cant1|Inhbb|Tbc1d30|Rara|Med24|Ppif|Cd44|Tjp3|Wwc1|Aldh3b1|Slc22a5|Podxl|Slc39a6|Celsr2|Slc2a1|Myc|Abca3|Myof|Cldn7|Nadsyn1|Igfbp4|Tpbg|Elovl5|Slc7a5|Lrig1|Pex11a|Dlc1|Klf4|Rhod|Kcnk5|Pmaip1|Mreg|Krt19|Adcy9|Sfn|Thsd4|Sult2b1|Kazn|Med13l|Greb1|Ovol2|Cbfa2t3|Ttc39a|P2ry2|Fos|Gab2|Farp1|Stc2|Abhd2|Slc1a4|Tgif2,Lo_vs_PBS
HALLMARK_APICAL_JUNCTION,0.000237586124970302,0.000521947909598622,-0.44267451446482,-1.89172029495896,0,189,Cdh4|Lamc2|Actb|Cap1|Nlgn2|Gnai2|Actg1|Sdc3|Pcdh1|Nf2|Mapk13|Thbs3|Pfn1|Ppp2r2c|Rsu1|Alox8|Gtf2f1|Cx3cl1|Sympk|Pkd1|Hras|Tmem8b|Myh9|Lima1|Thy1|Itga3|Nectin4|Tro|Tubg1|Evl|Vasp|Grb7|Nfasc|Icam5|Cldn4|Nrxn2|Ctnna1|Taok2|Tgfbi|Actn1|Nectin1|Tsc1|Pbx2|Ldlrap1|Mapk14|Sirpa|Jup|Inppl1|Ctnnd1|Actn4|Gamt|Tspan4|Itga9|Cldn6|Src|Cldn7|Hadh|Nlgn3|Cercam|Msn|Amigo1|Nectin2|Vcl|Crb3|Akt2|Kcnh2|Adam15|Arpc2|Lama3|Mvd|Map4k2|Madcam1|Bmp1|Sorbs3|Cdsn|Myh10|Acta1|Lamb3|Parva|Epb41l2|Shc1|Baiap2|Cldn9,Lo_vs_PBS
HALLMARK_MYOGENESIS,0.000239005736137667,0.000521947909598622,-0.447165397569142,-1.90268790434489,0,183,Pfkm|Mras|Myh7|Bhlhe40|Ckb|Hdac5|Camk2b|Kcnh1|Pygm|Ache|Gadd45b|Cnn3|Psen2|Tpm3|Ncam1|Agrn|Tsc2|Kifc3|Plxnb2|Pcx|App|Dmpk|Clu|Vipr1|Atp6ap1|Gnao1|Hspb8|Ablim1|Gsn|Myh9|Cryab|Lsp1|Ptp4a3|Aebp1|Notch1|Fkbp1b|Fabp3|Gaa|Erbb3|Flii|Gabarapl2|Prnp|Sirt2|Mapk12|Ak1|Itgb5|Ocel1|Sptan1|Bin1|Myom1|Chrnb1|Akt2|Mef2d|Kcnh2|Ephb3|Syngr2|Tcap|Adcy9|Ppfia4|Sh2b1|Tagln|Sorbs3|Acta1|Mylk|Adam12|Efs,Lo_vs_PBS
