pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_MYC_TARGETS_V1,0.000192122958693564,0.00518995225243928,0.476298454359294,2.06558211904017,0,190,Snrpg|Npm1|Ifrd1|Rpl22|Odc1|Clns1a|Rpl14|Cct5|Snrpd1|Srsf3|Orc2|Cct4|Mrps18b|Gnl3|Snrpd2|Xpo1|Etf1|Rsl1d1|Dek|Serbp1|Tomm70a|Rps3|Ssb|Psma4|Pcna|Eif4g2|Eif3j1|Ddx21|Ywhaq|Tardbp|Eif4e|Nolc1|Srsf1|Vdac3|Nme1|Usp1|Dhx15|Hnrnpc|Hspe1|Psmc6|Xrcc6|Cops5|Vbp1|Ldha|Syncrip|Psma2|Ppia|Hnrnpu|Srsf7|Abce1|Cul1|Cnbp|Eif2s1|Gspt1|Tcp1|Rack1|Hdac2|Nhp2|Ncbp1|Fbl|Hddc2|Psma1|Psmd1|Sf3b3|Prps2|Eif2s2|Eif4a1|Impdh2|Prdx4|Hnrnpa2b1|Cstf2|Tra2b|Hspd1|Hnrnpr|Psma6|Cct3|Pgk1|Ranbp1|Myc|Ptges3-ps|Pabpc4|Snrpb2|Canx|Nap1l1|Ran|Psma7|Eef1b2|Tfdp1,Med_vs_Hi
HALLMARK_MITOTIC_SPINDLE,0.000207598090097571,0.00518995225243928,-0.407662866482783,-1.79355345823378,0,198,Kif4|Nusap1|Ttk|Cenpf|Cep250|Fbxo5|Nek2|Prc1|Cenpe|Plk1|Kntc1|Mark4|Cntrob|Lmnb1|Espl1|Clip2|Synpo|Pcnt|Myo9b|Cep131|Mid1|Abr|Bcar1|Taok2|Katnb1|Anln|Kif3c|Hdac6|Kif20b|Dynll2|Arl8a|Cep192|Cntrl|Ssh2|Sun2|Arhgap4|Fscn1|Myh9|Cdk1|Clip1|Dock2|Epb41|Incenp|Sac3d1|Top2a|Prex1|Cdc42ep1|Arhgef12|Aurka|Arhgef2|Tubgcp2|Tubd1|Birc5|Plekhg2|Kif2c|Ect2|Sass6|Llgl1|Itsn1|Tpx2|Map3k11|Sptan1|Kif15|Rhot2|Kif22|Arhgef11|Shroom1,Med_vs_Hi
HALLMARK_E2F_TARGETS,0.000421940928270042,0.00527426160337553,-0.373357211970149,-1.63425894882249,1,194,Cit|Kif4|Trp53|Trip13|Timeless|Spag5|Spc24|Hmmr|Mxd3|Dck|Rrm2|Ccne1|Cenpm|Brca1|Cenpe|Aurkb|Plk1|Mms22l|Lmnb1|Tcf19|Cdca3|Espl1|Ube2s|Mlh1|Mki67|Gins4|Rpa1|Mcm3|Lig1|Mcm5|Tubg1|E2f8|Cdk1|Wee1|Pole|Top2a|Kif18b|Rad50|Psmc3ip|Rnaseh2a|Aurka|Ncapd2|Cks2|Birc5|Mthfd2|Mybl2|Mcm6|Ung|Chek2|Asf1b|Kif2c,Med_vs_Hi
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.000410172272354389,0.00527426160337553,-0.450131651202645,-1.77326328716664,1,91,Oasl1|Tap1|Stat2|Parp12|Csf1|Psmb8|Rnf31|Bst2|Irf2|Ifit3|Isg15|Ube2l6|Psme2|Lgals3bp|Isg20|Irf1|Parp14|Nub1|Ifi30|Parp9|Il7|Trim12c|Cmpk2|Gmpr|Psmb9|Rsad2|Uba7|Rtp4|Cxcl10|Mx2,Med_vs_Hi
HALLMARK_APICAL_JUNCTION,0.000835770998746344,0.00835770998746344,-0.348765421161415,-1.52310578161574,3,189,Atp1a3|Nrtn|Nrxn2|Tgfbi|Crat|Ldlrap1|Pbx2|Sdc3|Sirpa|Jam3|Msn|Mdk|Nf2|Cd274|Pcdh1|Actn1|Speg|Nectin2|Myl9|Taok2|Tubg1|Syk|Nectin1|Col16a1|Skap2|Col9a1|Cadm3|Mvd|Cd34|Adamts5|Plcg1|Fscn1|Myh9|Bmp1|Amigo1|Shc1|Rras|Kcnh2|Cldn14|Icam1|Nlgn2|Mmp2|Cldn5|Mpzl1|Cdsn|Cd276|Mapk13|Pkd1|Dsc3|Evl|Fbn1|Cnn2|Lima1|Akt2|Nlgn3|Stx4a|Gnai2|Slc30a3|Thy1|Mapk14|Tspan4|Zyx|Cldn9|Ppp2r2c|Hras|Dmp1|Nectin4|Hadh|B4galt1|Tmem8b|Nfasc|Src|Madcam1|Epb41l2|Map4k2|Pecam1|Insig1|Rac2|Cdh3|Pik3cb|Itga3|Cercam|Vasp,Med_vs_Hi
HALLMARK_PROTEIN_SECRETION,0.00391159788773714,0.0248601615910503,0.411799271043765,1.60930114644083,19,93,Cltc|Copb1|Arfgef1|Yipf6|Rps6ka3|Ctsc|Stam|Ap1g1|Ica1|Egfr|Atp6v1b1|Dnm1l|Vamp3|Arfip1|Snx2|Lamp2|Atp7a|Vps4b|Scamp1|M6pr|Rab2a|Rab14|Ap2b1|Atp6v1h|Rer1|Bet1|Tom1l1|Bnip3|Krt18|Cav2|Copb2|Ykt6|Vamp4|Gla|Rab5a|Stx12|Uso1|Snap23|Ap3s1|Vps45|Anp32e|Ap3b1|Adam10,Med_vs_Hi
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00497203231821007,0.0248601615910503,-0.327836334643533,-1.43201259706117,23,188,Lrp1|Vegfa|Serpine2|Fbln2|Igfbp4|Tgfbi|Matn2|Htra1|Cthrc1|Sfrp1|Wnt5a|Itgb5|Basp1|Myl9|Gja1|Timp3|Fstl1|Rhob|Fbn2|Cxcl5|Itga5|Tnc|Spock1|Tnfaip3|Col16a1|Efemp2|Col4a2|Emp3|Sfrp4|Bmp1|Crlf1|Col6a3|Loxl1|Tgm2|Lamc1|Vegfc|Col5a3|Lox|Cdh2|Magee1|Col7a1|Pcolce|Mmp2|Col5a2|Aplp1|Slit3|Eln|Pdgfrb|Col11a1|Notch2|Fbn1|Plod3|Col1a1|P3h1|Fzd8|Col5a1|Qsox1|Mcm7|Sparc|Pthlh|Gpx7|Lum|Thy1,Med_vs_Hi
HALLMARK_HEME_METABOLISM,0.00435594275046671,0.0248601615910503,-0.334696011149196,-1.4542389687736,20,180,Klf1|Aldh1l1|Tns1|Trim58|Ctse|Car2|Selenbp1|Mpp1|Dmtn|Tal1|Slc6a9|Rbm38|Hebp1|Foxj2|Ackr1|Ypel5|Glrx5|Trim10|Slc4a1|Tspo2|E2f2|Pcx|Ucp2|Rad23a|Ranbp10|Rap1gap|Narf|Epb41|Tspan5|Psmd9|Acp5|Ccnd3|Pgls|Mgst3|Blvra|Urod|Fn3k|Arhgef12|H1f0|Spta1|Add2|Snca|Btg2|Hmbs|Nfe2l1|Pdzk1ip1|Rhd|Alad|Tmcc2|Map2k3|Trak2|Atp6v0a1|Osbp2|Sptb|Bpgm|Fech|Htra2|Ubac1|Btrc|Kat2b|Arl2bp|Ppox,Med_vs_Hi
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00311138767890479,0.0248601615910503,-0.33984833738375,-1.4766255922783,14,180,Oas3|Oasl1|Socs3|Tap1|Stat2|Cd274|Parp12|Rnf213|Fcgr1|Irf8|Psmb8|Cmklr1|Rnf31|Psmb10|Bst2|Irf2|Samhd1|Ifit3|Isg15|Tnfaip3|Ube2l6|Nlrc5|Tnfsf10|Psme2|Myd88|Lgals3bp|Isg20|Irf1|Parp14|Tapbp|Vamp5|Ifi30|Sspn|Il7|Cmpk2|Icam1|Ptpn6|St3gal5|Cfb|Psmb9|Mthfd2|Xaf1|Rsad2|Rtp4|Pml|Cxcl10|Mx2|Rbck1|Cd40|Btg1|Casp8|Bpgm|Ifnar2|Trim21|Casp7|Tor1b|Irf4|Eif2ak2|Serping1|Nod1|Pim1|Sectm1a|Usp18,Med_vs_Hi
HALLMARK_NOTCH_SIGNALING,0.00483383685800604,0.0248601615910503,-0.548921703338918,-1.74633281392118,23,31,Fzd1|Sap30|Wnt5a|Maml2|Jag1|Fzd7|Arrb1|Prkca|Notch3|Notch2|Aph1a|Kat2a|Dtx1|Dtx4|Ccnd1,Med_vs_Hi
