ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0002181,cytoplasmic translation,138,-0.6613323545895351,-2.9685990512738663,1.2889056928803895e-21,7.434408036534087e-18,7.017073940607764e-18,1608,"tags=55%, list=11%, signal=50%",67097/19989/67891/20042/66405/19946/20005/27367/270106/57808/14109/19933/105244208/66480/19934/114641/54709/13681/19988/68092/67427/20088/66475/319195/67248/65019/19921/66481/19896/26451/20102/56040/67025/20054/18746/13629/269261/68052/27207/19942/20068/27176/16785/26961/20055/20116/20115/76846/54217/76808/67115/68436/67186/20084/19941/20104/19982/19943/27050/19899/20103/19944/20091/67671/11837/54127/19981/267019/75617/20090/22121/67945/268449/19951/27370/100043718
GO:0140241,translation at synapse,48,-0.8430153840556772,-3.0980419860660695,1.2288719209643606e-19,1.9607079768092614e-16,1.850642684878002e-16,1608,"tags=90%, list=11%, signal=80%",67097/19989/67891/20042/20005/270106/57808/66480/19934/57294/19988/110954/20088/319195/65019/19896/26451/13629/269261/27207/19942/27176/26961/20055/54217/67115/68436/67186/19941/19982/19943/20103/19944/67671/54127/19981/267019/67281/22121/66489/268449/19951/27370
GO:0140242,translation at postsynapse,48,-0.8430153840556772,-3.0980419860660695,1.2288719209643606e-19,1.9607079768092614e-16,1.850642684878002e-16,1608,"tags=90%, list=11%, signal=80%",67097/19989/67891/20042/20005/270106/57808/66480/19934/57294/19988/110954/20088/319195/65019/19896/26451/13629/269261/27207/19942/27176/26961/20055/54217/67115/68436/67186/19941/19982/19943/20103/19944/67671/54127/19981/267019/67281/22121/66489/268449/19951/27370
GO:0140236,translation at presynapse,47,-0.841844676936286,-3.0955799020541446,1.3597142696319427e-19,1.9607079768092614e-16,1.850642684878002e-16,1608,"tags=89%, list=11%, signal=80%",67097/19989/67891/20042/20005/270106/57808/66480/19934/57294/19988/110954/20088/319195/65019/19896/26451/269261/27207/19942/27176/26961/20055/54217/67115/68436/67186/19941/19982/19943/20103/19944/67671/54127/19981/267019/67281/22121/66489/268449/19951/27370
GO:0042254,ribosome biogenesis,300,-0.48392455191532807,-2.4013350025487754,3.7427207766218334e-18,4.3176026879109465e-15,4.0752319698290785e-15,3923,"tags=50%, list=26%, signal=38%",224092/66538/18432/224481/67973/17975/216987/100019/106707/100608/227656/236732/66711/102462/12181/245474/18148/74035/140546/68083/217038/228889/105372/55989/103136/230737/18813/67222/69499/75751/27993/12261/56095/57315/382038/67223/50529/69902/72831/224823/118451/216156/71990/59050/67239/67236/69821/56200/66164/213895/18150/14791/20044/225215/234374/224619/68731/101867/52513/100503670/20826/67941/67619/67920/66596/72462/20935/75416/195434/217011/73736/78651/227715/20085/22596/67674/74778/57741/68979/19989/104662/16418/66229/353258/74097/20042/19384/209011/28126/59028/213773/57808/14109/110816/105244208/68077/68147/57294/19988/110954/67755/20088/66475/18114/71952/66481/19896/67134/67025/235036/69072/27998/66181/20054/68845/30946/68052/110109/27207/19942/20068/27176/52530/67936/16785/20055/20116/20115/107094/76846/67115/19941/20104/53414/17089/67390/20103/21771/20091/67671/66161/11837/54127/267019/75617/66489/101612/268449/14113/237730
GO:0022613,ribonucleoprotein complex biogenesis,409,-0.4163896559397345,-2.1171404402813416,3.4297186467723747e-15,3.2971028590971763e-12,3.112018393176618e-12,3923,"tags=45%, list=26%, signal=34%",224092/66538/18432/224481/67973/17975/216987/100019/20174/106707/236511/69241/100608/76183/227656/236732/102632439/66711/102462/66978/12181/245474/18148/74035/140546/68083/217038/228889/105372/55989/103136/230737/18813/67222/214572/69499/75751/27993/20815/78784/12261/56095/75062/57315/21357/382038/68879/67223/50529/69902/28000/72831/224823/118451/216156/68988/55944/71990/59050/67239/67236/69821/56200/66164/67332/213895/18150/14791/20044/225215/67959/234374/224619/68731/101867/20641/53817/52513/100503670/20826/67941/67619/15519/12729/56844/67920/69878/27374/66596/72462/27981/20935/75416/195434/217011/73736/67439/78651/227715/20085/78688/22596/67674/74778/57741/68979/19989/104662/16418/66229/353258/74097/20042/19384/66405/209011/28126/59028/213773/57808/14109/110816/105244208/68077/68147/57294/20638/19988/110954/68011/67755/20088/66475/18114/56505/71952/69731/66481/19896/67134/20630/107686/67025/235036/69072/27998/66181/20054/68845/30946/68052/50783/110109/27207/19942/20068/27176/52530/67936/16785/20055/20116/20115/107094/76846/67115/19941/20104/53414/17089/67390/20103/21771/20091/67671/66161/11837/54127/267019/75617/22121/66489/101612/268449/14113/237730
GO:0006364,rRNA processing,205,-0.5051841828764998,-2.399556870826663,9.429041633240955e-14,7.769530305790547e-11,7.333383958965748e-11,3873,"tags=50%, list=26%, signal=38%",224481/67973/17975/216987/106707/227656/66711/102462/12181/245474/18148/74035/140546/217038/228889/105372/103136/18813/67222/69499/27993/56095/57315/67223/69902/224823/216156/71990/59050/67239/69821/56200/213895/18150/14791/234374/68731/101867/52513/100503670/20826/67619/67920/72462/75416/195434/73736/78651/227715/20085/67674/74778/68979/19989/104662/16418/66229/74097/209011/59028/213773/57808/110816/105244208/68077/68147/57294/67755/20088/18114/66481/19896/67025/235036/69072/27998/66181/20054/68845/30946/110109/19942/20068/27176/52530/67936/20055/20116/20115/107094/67115/19941/20104/53414/17089/67390/21771/66161/54127/75617/66489/14113/237730
GO:0016072,rRNA metabolic process,231,-0.4602512495012392,-2.1909535084674627,1.1213097204293856e-11,7.186349408262996e-9,6.7829402035798625e-9,3541,"tags=60%, list=24%, signal=47%",76130/217431/18572/66583/69237/320790/68966/56717/50911/73674/208366/64934/50912/215194/69713/217995/208768/67832/72344/207932/75422/21453/54364/20587/59014/208144/66138/19285/75678/233863/224481/67973/17975/216987/106707/227656/66711/102462/12181/245474/18148/74035/140546/217038/228889/105372/103136/18813/67222/69499/27993/56095/57315/67223/69902/224823/216156/71990/59050/67239/69821/56200/213895/18150/14791/234374/68731/101867/20586/52513/100503670/20826/67619/67920/72462/20017/75416/195434/73736/78651/227715/20085/67674/74778/68979/19989/64424/104662/16418/66229/74097/20019/209011/59028/213773/68544/57808/110816/105244208/68077/68147/57294/67755/20088/18114/66481/19896/67025/235036/69072/27998/66181/20054/68845/30946/110109/19942/20068/27176/52530/67936/20055/20116/20115/107094/67115/19941/20104/53414/17089/67390/105083/21771/66161/54127/75617/66489/14113/237730
GO:0034470,ncRNA processing,378,-0.3933808729769638,-1.9773598963568966,1.0133433414590961e-11,7.186349408262996e-9,6.7829402035798625e-9,3873,"tags=42%, list=26%, signal=32%",224481/67973/17975/216987/100929/229543/66628/106707/236511/227656/74108/68205/224907/66711/102462/12181/69955/58523/245474/18148/74035/233189/140546/217038/228889/105372/103136/230734/18813/67222/69499/54632/27993/101861/56095/72341/57315/21357/28114/67223/52686/69902/100233175/224823/30947/216156/210925/53424/100087/71990/59050/67239/69821/56200/213895/83669/212528/18150/14791/234374/17299/214575/11651/101985/68731/101867/68510/52513/100503670/71916/20826/67619/56361/83701/67920/103284/233802/20848/72462/69934/75416/195434/68260/73736/78651/67724/227715/20085/70044/28088/67053/67674/74778/68979/19989/104662/227695/16418/66229/15108/74097/54351/74195/209011/59028/213773/66381/19652/57808/66192/28036/110816/105244208/68077/68147/69961/57294/68092/67755/20088/18114/66481/19896/67025/235036/69072/27998/66181/20054/68845/107328/30946/328162/110109/19942/20068/27176/52530/67936/20055/20116/20115/107094/67115/19941/20104/53414/17089/67390/21771/66161/54127/75617/66489/319582/14113/66971/237730
GO:0032543,mitochondrial translation,128,-0.5372351302860627,-2.3745207124639447,8.650812630573157e-11,4.989788725314597e-8,4.709684518455198e-8,4148,"tags=53%, list=28%, signal=39%",68572/66407/28030/64660/57312/102060/66077/99045/212508/60441/94066/353172/107734/68735/94063/67308/64656/69577/27397/12261/56284/64658/50529/27398/67270/67681/68565/18120/67417/118451/68537/66230/56282/66493/108037/27395/66163/66419/229487/66416/67994/67212/77721/107733/68611/66121/74600/52443/68836/70207/66292/94064/19935/64657/52469/67267/216767/24030/66047/94065/14548/353242/102436/67707/66973/233870/66971/101122
