KEY,logFC_lo,FDR_lo,logFC_med,FDR_med,logFC_hi,FDR_hi,SYMBOL,pass_lo,pass_med,pass_hi,pass_any,mean_abs_logFC,dir_consistent,in_GO_focus,score
AC129203.1,3.583727253055242,0.012488178759514763,NA,NA,NA,NA,AC129203.1,TRUE,FALSE,FALSE,TRUE,3.583727253055242,FALSE,TRUE,3
Gm44432,3.466497295676559,0.01887885983388172,NA,NA,NA,NA,Gm44432,TRUE,FALSE,FALSE,TRUE,3.466497295676559,FALSE,TRUE,2.9546258328842363
Gm43879,3.263691227574966,0.014446457875383243,NA,NA,NA,NA,Gm43879,TRUE,FALSE,FALSE,TRUE,3.263691227574966,FALSE,TRUE,2.87612920427584
9330121K16Rik,3.100800886352601,0.02043833370201683,NA,NA,NA,NA,9330121K16Rik,TRUE,FALSE,FALSE,TRUE,3.100800886352601,FALSE,TRUE,2.8130820640274434
Gm48328,3.003205595177446,0.01503045352780201,NA,NA,NA,NA,Gm48328,TRUE,FALSE,FALSE,TRUE,3.003205595177446,FALSE,TRUE,2.7753075467409745
Mir15a,2.993893601916291,0.02913520301780791,NA,NA,NA,NA,Mir15a,TRUE,FALSE,FALSE,TRUE,2.993893601916291,FALSE,TRUE,2.771703314957049
Gm45378,2.963000117081133,0.022752270948000673,NA,NA,NA,NA,Gm45378,TRUE,FALSE,FALSE,TRUE,2.963000117081133,FALSE,TRUE,2.7597459094009698
Gm48266,2.574097123555088,0.020847631178902436,NA,NA,3.2979035667833942,0.046407926329208225,Gm48266,TRUE,FALSE,TRUE,TRUE,2.936000345169241,FALSE,TRUE,2.749295575798439
Gm37788,2.850624729509028,0.028222440929291534,NA,NA,NA,NA,Gm37788,TRUE,FALSE,FALSE,TRUE,2.850624729509028,FALSE,TRUE,2.71625071645362
Gm48700,2.8058820501539286,0.022696596827977988,NA,NA,NA,NA,Gm48700,TRUE,FALSE,FALSE,TRUE,2.8058820501539286,FALSE,TRUE,2.698932943286584
Gm48442,2.7827630807439676,0.01750227581827613,NA,NA,NA,NA,Gm48442,TRUE,FALSE,FALSE,TRUE,2.7827630807439676,FALSE,TRUE,2.6899846846246516
Gm44853,2.774203305714737,0.01887885983388172,NA,NA,NA,NA,Gm44853,TRUE,FALSE,FALSE,TRUE,2.774203305714737,FALSE,TRUE,2.6866716009100937
Gm47588,2.7629217350021995,0.02818524859698341,NA,NA,NA,NA,Gm47588,TRUE,FALSE,FALSE,TRUE,2.7629217350021995,FALSE,TRUE,2.682305038929819
Gm38178,2.7576224290538525,0.022374141868732364,NA,NA,NA,NA,Gm38178,TRUE,FALSE,FALSE,TRUE,2.7576224290538525,FALSE,TRUE,2.6802539284536704
Gm26930,2.713098843811652,0.022752270948000673,NA,NA,NA,NA,Gm26930,TRUE,FALSE,FALSE,TRUE,2.713098843811652,FALSE,TRUE,2.663020956246347
Gm45263,2.67660011349703,0.014446457875383243,NA,NA,NA,NA,Gm45263,TRUE,FALSE,FALSE,TRUE,2.67660011349703,FALSE,TRUE,2.648894025504069
Mir384,2.6682229795259684,0.01949413664456644,NA,NA,NA,NA,Mir384,TRUE,FALSE,FALSE,TRUE,2.6682229795259684,FALSE,TRUE,2.6456516334973377
Gm43374,2.656466555484113,0.012488178759514763,NA,NA,NA,NA,Gm43374,TRUE,FALSE,FALSE,TRUE,2.656466555484113,FALSE,TRUE,2.641101278271704
n-R5s160,2.6501878385892512,0.02263584592800145,NA,NA,NA,NA,n-R5s160,TRUE,FALSE,FALSE,TRUE,2.6501878385892512,FALSE,TRUE,2.638671084181129
Slitrk4,2.623792715061943,0.02088906123792651,NA,NA,NA,NA,Slitrk4,TRUE,FALSE,FALSE,TRUE,2.623792715061943,FALSE,TRUE,2.628454781345664
Gm43509,2.5982244713449103,0.01445602812772192,NA,NA,NA,NA,Gm43509,TRUE,FALSE,FALSE,TRUE,2.5982244713449103,FALSE,TRUE,2.6185585245422454
Gm44676,2.5836266204145253,0.01741311926711652,NA,NA,NA,NA,Gm44676,TRUE,FALSE,FALSE,TRUE,2.5836266204145253,FALSE,TRUE,2.612908387474408
AC126030.2,2.5740085068708574,0.04910468908372032,NA,NA,NA,NA,AC126030.2,TRUE,FALSE,FALSE,TRUE,2.5740085068708574,FALSE,TRUE,2.609185671020123
Gm42701,2.5302492744290346,0.03680454662915564,NA,NA,NA,NA,Gm42701,TRUE,FALSE,FALSE,TRUE,2.5302492744290346,FALSE,TRUE,2.592248543599194
Gm37818,2.527796196200913,0.04643396353793049,NA,NA,NA,NA,Gm37818,TRUE,FALSE,FALSE,TRUE,2.527796196200913,FALSE,TRUE,2.591299073139939
Gpr82,2.5248720145708297,0.022752270948000673,NA,NA,NA,NA,Gpr82,TRUE,FALSE,FALSE,TRUE,2.5248720145708297,FALSE,TRUE,2.590167260854691
Gm22784,2.5149922189754763,0.016371847035755477,NA,NA,NA,NA,Gm22784,TRUE,FALSE,FALSE,TRUE,2.5149922189754763,FALSE,TRUE,2.5863432596656004
Gm37578,2.510669533079307,0.01887885983388172,NA,NA,NA,NA,Gm37578,TRUE,FALSE,FALSE,TRUE,2.510669533079307,FALSE,TRUE,2.5846701525807947
Gm44830,2.497604828632595,0.02386357289135216,NA,NA,NA,NA,Gm44830,TRUE,FALSE,FALSE,TRUE,2.497604828632595,FALSE,TRUE,2.5796134239413027
Gm42994,2.420741241566501,0.013103328569387536,NA,NA,2.555669555030587,0.046407926329208225,Gm42994,TRUE,FALSE,TRUE,TRUE,2.488205398298544,FALSE,TRUE,2.575975349405521
Gm38125,2.4626996584575123,0.03344831068696024,NA,NA,NA,NA,Gm38125,TRUE,FALSE,FALSE,TRUE,2.4626996584575123,FALSE,TRUE,2.566103284893719
Gm43874,2.446839587717321,0.02498450156732239,NA,NA,NA,NA,Gm43874,TRUE,FALSE,FALSE,TRUE,2.446839587717321,FALSE,TRUE,2.559964602287969
Gm37106,2.1134778719456966,0.021707832972809885,NA,NA,2.763640029868041,0.046407926329208225,Gm37106,TRUE,FALSE,TRUE,TRUE,2.438558950906869,FALSE,TRUE,2.5567595597641652
Gm42664,2.4309002857565685,0.016992098797002357,NA,NA,NA,NA,Gm42664,TRUE,FALSE,FALSE,TRUE,2.4309002857565685,FALSE,TRUE,2.553795253027357
Gm48302,2.420944976774774,0.040040206167978744,NA,NA,NA,NA,Gm48302,TRUE,FALSE,FALSE,TRUE,2.420944976774774,FALSE,TRUE,2.549942024180998
4930517O19Rik,2.4199769622079144,0.03294782222579978,NA,NA,NA,NA,4930517O19Rik,TRUE,FALSE,FALSE,TRUE,2.4199769622079144,FALSE,TRUE,2.5495673515656585
Gm44675,2.4118544913574937,0.01578293311748604,NA,NA,NA,NA,Gm44675,TRUE,FALSE,FALSE,TRUE,2.4118544913574937,FALSE,TRUE,2.546423527597785
4930570B17Rik,2.411504035245381,0.022752270948000673,NA,NA,NA,NA,4930570B17Rik,TRUE,FALSE,FALSE,TRUE,2.411504035245381,FALSE,TRUE,2.5462878826265394
Gm10800,2.406560770847567,0.02955946194567408,NA,NA,NA,NA,Gm10800,TRUE,FALSE,FALSE,TRUE,2.406560770847567,FALSE,TRUE,2.5443745789804475
Gm42888,2.4055210395326694,0.011109821280413115,NA,NA,NA,NA,Gm42888,TRUE,FALSE,FALSE,TRUE,2.4055210395326694,FALSE,TRUE,2.543972148206842
Gm37018,2.388014918314319,0.015184566821427152,NA,NA,NA,NA,Gm37018,TRUE,FALSE,FALSE,TRUE,2.388014918314319,FALSE,TRUE,2.537196357381086
E030026E10Rik,2.3644120048019563,0.023358817942350476,NA,NA,NA,NA,E030026E10Rik,TRUE,FALSE,FALSE,TRUE,2.3644120048019563,FALSE,TRUE,2.528060786865869
Gm43229,2.3629516965975186,0.014446457875383243,NA,NA,NA,NA,Gm43229,TRUE,FALSE,FALSE,TRUE,2.3629516965975186,FALSE,TRUE,2.5274955706874254
Gm37965,2.3598230647585976,0.04042245160670438,NA,NA,NA,NA,Gm37965,TRUE,FALSE,FALSE,TRUE,2.3598230647585976,FALSE,TRUE,2.52628462540452
Gm43260,2.3464915739667607,0.02294419070133933,NA,NA,NA,NA,Gm43260,TRUE,FALSE,FALSE,TRUE,2.3464915739667607,FALSE,TRUE,2.5211246363998576
Gm42436,2.3456624217781314,0.02381220386944549,NA,NA,NA,NA,Gm42436,TRUE,FALSE,FALSE,TRUE,2.3456624217781314,FALSE,TRUE,2.5208037108377184
Gm43889,2.342112515760445,0.01887885983388172,NA,NA,NA,NA,Gm43889,TRUE,FALSE,FALSE,TRUE,2.342112515760445,FALSE,TRUE,2.519429710262324
