Gene,log2FC,pval,padj
Xkr4,0.2648573268543668,0.04770064090153723,0.1607112298071525
ENSMUSG00000103377,0.6709943674058627,0.014528655420484645,0.10961568674650812
ENSMUSG00000104017,0.5811362373347477,0.010637631549895298,0.09994941310422457
ENSMUSG00000103025,0.6920455982057063,0.019379230453261308,0.11810855316784932
ENSMUSG00000103201,0.4572181916268214,0.16376007839167248,0.31162782850060883
ENSMUSG00000103147,0.5233680613419411,0.027797630066888172,0.1292446511357378
ENSMUSG00000103161,1.0931955286063193,0.005519891502334864,0.09657372081861597
ENSMUSG00000102331,1.0132097891533478,0.002155526021962546,0.09657372081861597
Mrpl15,-0.2741346719324307,0.006337926659599238,0.09657372081861597
Lypla1,0.8241101603351693,0.01599578512120352,0.1124050313669887
Tcea1,0.4508650891104491,0.029009204786640663,0.1321530440280297
Rgs20,-0.13600649408093424,0.31795755727484504,0.49277958189331655
Atp6v1h,0.2217335654277015,0.09423665262579974,0.23026057928213772
Oprk1,0.7690492687881869,0.04392916901063267,0.1574840807542961
Rb1cc1,0.8383016327375339,0.005150835544419886,0.09657372081861597
ENSMUSG00000090031,0.7049090638917566,0.008294066674964247,0.09657372081861597
St18,0.10760432416170129,0.42013613708948944,0.5905998622043832
ENSMUSG00000103329,0.27871283144159686,0.07314172068905206,0.19518885225303242
Pcmtd1,0.5708640042703887,0.006456234164647954,0.09657372081861597
ENSMUSG00000103509,0.8094385051262365,0.018286089970035713,0.11615530389417052
Sntg1,-0.09433328606469038,0.6807067313047236,0.8057709601533605
Rrs1,-0.2586541548553889,0.143399184393777,0.28118709635475403
Adhfe1,-0.11194241270747862,0.7342700871034773,0.8383691374270084
Mybl1,0.49879440047202994,0.057217762220598316,0.17726749602139785
Vcpip1,0.42546151134704235,0.036786660776986516,0.1516370977366008
Sgk3,0.2456791815379269,0.1256490904802437,0.26235064725273105
Mcmdc2,0.3698781897507739,0.30770758418844396,0.48666582745568215
Snhg6,0.2969426356204359,0.2925458662760684,0.4678659067039249
Tcf24,-0.1170351642444829,0.44255380073853856,0.6103723673794523
Ppp1r42,0.485357348162228,0.039479555426548345,0.15618666225766056
Cops5,0.1550422246526164,0.22788722447239948,0.38930734180701576
Cspp1,0.6442847599475767,0.050999512419165935,0.1631261000074031
Arfgef1,0.55439436944165,0.006473281401855206,0.09657372081861597
ENSMUSG00000102556,0.291653522329532,0.1072525871530521,0.24306993369862562
