Gene,log2FC,AveExpr,t,P.Value,padj,Contrast
Ly96,0.7582277783835569,2.265351620522972,5.74767640973638,3.1349953627581e-5,0.01410747913241145,Lo_vs_PBS
Pgap1,0.5429058232805097,7.364422342107271,4.882971137935196,1.7129880895384072e-4,0.020512081537088115,Lo_vs_PBS
Tmem198,-0.6785939846173141,4.3352645427545395,-4.811395491851299,0.00019794109259856842,0.020512081537088115,Lo_vs_PBS
Rpl37a,-0.658288701587022,7.36811694567555,-4.646139408587905,2.7693894783318684e-4,0.020512081537088115,Lo_vs_PBS
ENSMUSG00000102374,1.0392499043232613,1.8275446266861515,4.582313359771606,3.155243387862617e-4,0.020512081537088115,Lo_vs_PBS
ENSMUSG00000102331,1.0132097891533474,2.181466564935663,4.5507497049062255,3.365965773811437e-4,0.020512081537088115,Lo_vs_PBS
Stk17b,0.876132388668375,4.020513567175695,4.4328779529996165,4.288540381920796e-4,0.020512081537088115,Lo_vs_PBS
ENSMUSG00000104136,0.5996553509292151,0.8073322801568629,4.364882190499999,4.934386398693954e-4,0.020512081537088115,Lo_vs_PBS
ENSMUSG00000104149,0.9950667150047598,1.0978505448028835,4.348806658137537,5.101064305341477e-4,0.020512081537088115,Lo_vs_PBS
Bmpr2,0.6252293984755397,7.0328129286843515,4.336325482565927,5.234421815679081e-4,0.020512081537088115,Lo_vs_PBS
ENSMUSG00000103161,1.093195528606319,1.7159757073984967,4.295202912587778,0.00056994584928160715,0.020512081537088115,Lo_vs_PBS
Rb1cc1,0.8383016327375348,7.1752701220824875,4.295009855686746,5.701738116561819e-4,0.020512081537088115,Lo_vs_PBS
Vwa3b,-0.6021531738828674,1.665515217849746,-4.276415042425347,5.925712444047678e-4,0.020512081537088115,Lo_vs_PBS
ENSMUSG00000085894,0.6042113841914127,0.8848180882353556,4.202571128885063,6.907168617175822e-4,0.020705439954090105,Lo_vs_PBS
Carf,0.6196654309427796,4.345167283623686,4.201777993304583,6.918562342612072e-4,0.020705439954090105,Lo_vs_PBS
ENSMUSG00000103825,0.8454192229446857,0.8907553179097575,4.171902321368066,7.361934205898704e-4,0.020705439954090105,Lo_vs_PBS
Pcmtd1,0.5708640042703887,7.497244656704152,4.089458681508036,8.741044900467794e-4,0.022661873560768417,Lo_vs_PBS
Nbeal1,0.7412664015625605,7.519391009177875,4.0720244010653674,9.064749424307366e-4,0.022661873560768417,Lo_vs_PBS
Arfgef1,0.5543943694416527,8.154745080633942,4.0158470744461825,0.0010192786525840723,0.02397423284855934,Lo_vs_PBS
Xrcc5,-0.3601790573510151,5.185811005718378,-3.9946162698841885,0.0010655214599359706,0.02397423284855934,Lo_vs_PBS
Aamp,-0.4464310708345982,6.627804304095531,-3.9498326609475276,0.0011701448571914584,0.02507453265410268,Lo_vs_PBS
ENSMUSG00000102927,0.764670209094953,0.97522604335888885,3.9246301497363434,0.0012335277337359569,0.025231249099144572,Lo_vs_PBS
Htr2b,0.40304089912159125,0.8745961455631477,3.8527749590184017,0.0014339302444792866,0.028055156957203432,Lo_vs_PBS
ENSMUSG00000103382,1.1959518921980603,2.4257363520399062,3.8099275753524506,0.001568744415444901,0.028283116872871876,Lo_vs_PBS
Atic,-0.423453915681808,5.780003645167119,-3.8063503049807315,0.0015805615492182428,0.028283116872871876,Lo_vs_PBS
Asic4,-0.7049118207922778,5.478895508030757,-3.790463075685996,0.0016341356415437084,0.028283116872871876,Lo_vs_PBS
A830018L16Rik,0.8465738019976037,4.918196683321792,3.766094257153191,0.001719884389774158,0.0286647398295693,Lo_vs_PBS
Oprk1,0.7690492687881871,1.9614832464026608,3.69594404788756,0.001992837799095542,0.030397246061533906,Lo_vs_PBS
ENSMUSG00000103025,0.6920455982057063,1.0098145759358874,3.6945574644544465,0.0019986504875046185,0.030397246061533906,Lo_vs_PBS
Hspe1,-0.40755566143048494,5.653022859210527,-3.687973763386539,0.002026483070768927,0.030397246061533906,Lo_vs_PBS
Sulf1,-0.392061086188777,6.221333171650044,-3.647308598989576,0.002207225451929882,0.03123789648726508,Lo_vs_PBS
ENSMUSG00000085842,0.8224485307108226,1.0127718031864081,3.644270311413391,0.0022213615279832945,0.03123789648726508,Lo_vs_PBS
Adam23,0.7597439628443903,5.2889990452434335,3.62419679402657,0.002317064105089118,0.0315963287057607,Lo_vs_PBS
Tsga10,0.5319582422367501,3.7790402644183025,3.584777303740089,0.0025171856441663152,0.03331569234926005,Lo_vs_PBS
ENSMUSG00000103706,0.9886852829805175,2.1491581152893184,3.5676861924692793,0.002609243658632306,0.03354741846812965,Lo_vs_PBS
Creb1,0.44283686225103835,6.921074320381853,3.549564489406764,0.0027105330509594907,0.03388166313699363,Lo_vs_PBS
Ube2w,0.7453938897199848,6.7444827519259345,3.5164013461896877,0.0029061791732861108,0.035345422377804046,Lo_vs_PBS
Slc4a3,-0.41148157276563424,5.312267652398134,-3.4695979084269273,0.0032065163569533527,0.037387640373620884,Lo_vs_PBS
ENSMUSG00000102317,0.6227931743670642,1.02987136542297,3.437948427153408,0.0034269581029516406,0.037387640373620884,Lo_vs_PBS
Serpine2,0.533835101981845,4.738380836187019,3.4333468057655945,0.0034602419923898766,0.037387640373620884,Lo_vs_PBS
