PBS	Lo	Med	Hi	AveExpr	F	P.Value	adj.P.Val
Cpe	9.78862237051296	9.93946064762255	9.85748445841214	9.77831465183279	9.84097053209511	29544.1521490908	7.51016423490758e-28	3.74421037743116e-24
Nedd4	9.7773597519637	9.77525889072124	9.72039648515497	9.73803272557856	9.75276196335462	28907.808912249	8.77663233569675e-28	3.74421037743116e-24
Prl	17.2516482431659	17.3987973661311	16.9747800289532	17.0246612728019	17.162471727763	28630.3928217199	9.40372930723759e-28	3.74421037743116e-24
2900097C17Rik	9.25800008181254	9.43426340183584	9.29344281874877	9.30646821054619	9.32304362823583	27503.154125006	1.25357590959152e-27	3.74421037743116e-24
Eef1a1	12.6266633760753	12.1355226190163	12.2239611065502	12.151026001489	12.2842932757827	26683.0160728773	1.55684706791482e-27	3.74421037743116e-24
Sptbn1	9.73368657281391	9.69768409994839	9.68047897220589	9.72800876084675	9.70996460145374	26591.6769232974	1.59552588309594e-27	3.74421037743116e-24
Atp5a1	9.19756869878422	8.97877514773283	9.00462873545978	8.92351161345165	9.02612104885712	26251.3753878238	1.74959175400815e-27	3.74421037743116e-24
Rpl7	9.01764277839984	8.8372281223097	8.83601657666009	8.7369071943355	8.85694866792628	26196.739291912	1.77587496409849e-27	3.74421037743116e-24
Laptm4a	8.67967777519475	8.47011267098382	8.47182114327116	8.41197545718917	8.50839676165972	25594.5422874289	2.09746714749214e-27	3.93088648630554e-24
Ctnnb1	8.38757506474884	8.24075570452321	8.20270448477551	8.2467313484025	8.26944165061251	24506.3087812294	2.86246049982544e-27	4.82811212505557e-24
Scg5	9.30181459747349	9.24564493303158	9.19884611357802	9.11490397565247	9.21530240493389	23890.835929756	3.43397130344651e-27	4.90796762424023e-24
Hectd1	8.18531920466019	8.33203657590692	8.31353998947304	8.25938990493329	8.27257141874336	23835.1851464413	3.49176566614589e-27	4.90796762424023e-24
Jak1	7.15961331489909	7.1877486615905	7.18969145990799	7.12458224795692	7.16540892108862	23281.1336216152	4.13186816888564e-27	5.00012251712222e-24
Macf1	8.59028542488048	8.63317163349805	8.61571609113642	8.59394593523304	8.608279771187	23266.7235952178	4.15021730240772e-27	5.00012251712222e-24
Anapc1	7.51177017949549	7.71295541933088	7.63433253799336	7.50515408141571	7.59105305455886	22845.1430717549	4.73047132754688e-27	5.05926320616351e-24
Rpl4	9.9925894524728	9.74297116915189	9.76006122163211	9.70281023500038	9.7996080195643	22799.1404226015	4.79920621916263e-27	5.05926320616351e-24
Lamp1	8.44848567551085	8.2207963013935	8.27969364432036	8.24856351005408	8.2993847828197	22190.0770990628	5.8254438534867e-27	5.22191922227832e-24
Rtn3	7.34563500586074	7.3535863640599	7.36325264465246	7.44397132420156	7.37661133469367	22045.1788417799	6.10507365559475e-27	5.22191922227832e-24
Nsd1	8.00297034388057	7.97236288200933	7.99147617525242	7.98352180750278	7.98758280216127	22001.1079924897	6.19313471297761e-27	5.22191922227832e-24
Rab2a	7.79178435752628	7.99634045733509	7.85084228962269	7.76103516930796	7.85000056844801	21807.2666437419	6.59805034802833e-27	5.22191922227832e-24
Ubr5	8.18001095022902	8.12025815206067	8.20301116421756	8.17750890752586	8.17019729350828	21534.500294	7.21999077243476e-27	5.22191922227832e-24
Rpl7a	8.69096730722911	8.45920942786121	8.38206219260078	8.26947622631994	8.45042878850276	21468.2902713285	7.38086761749449e-27	5.22191922227832e-24
Son	8.83200228644113	8.96113398394919	8.99737240241512	8.95679952910574	8.9368270504778	21367.4256663063	7.63386440947245e-27	5.22191922227832e-24
Eef1b2	8.09448299133856	7.90855969682214	7.78644372875182	7.71787786696739	7.87684107096998	21298.2398056703	7.81311805979143e-27	5.22191922227832e-24
Tgoln1	8.55693074351746	8.8323781562638	8.64973858461731	8.58779776692566	8.65671131283106	21281.0753172825	7.85832910978367e-27	5.22191922227832e-24
Rpl3	9.45136446784983	9.23384979373646	9.16218725688283	9.14237275800561	9.24744356911868	21160.8430052103	8.18351092835628e-27	5.22191922227832e-24
Rpl19	8.68659443376295	8.3441340854707	8.36502532339801	8.30958709462208	8.42633523431344	21098.1870365845	8.35903355673888e-27	5.22191922227832e-24
Tmx4	8.44624343867006	8.54287788315373	8.53896990497264	8.49633010877795	8.50610533389359	20725.673675654	9.4956019012241e-27	5.28816382319593e-24
