KEY,PBS,Lo,Med,Hi,AveExpr,F,P.Value,adj.P.Val,SYMBOL
Cpe,9.788622370512957,9.939460647622546,9.857484458412138,9.778314651832792,9.840970532095108,29544.15214909081,7.510164234907584e-28,3.7442103774311586e-24,Cpe
Nedd4,9.7773597519637,9.775258890721236,9.720396485154975,9.738032725578556,9.752761963354617,28907.80891224898,8.776632335696752e-28,3.7442103774311586e-24,Nedd4
Prl,17.251648243165874,17.398797366131127,16.974780028953223,17.02466127280192,17.162471727763037,28630.39282171992,9.40372930723759e-28,3.7442103774311586e-24,Prl
2900097C17Rik,9.258000081812543,9.434263401835837,9.293442818748769,9.306468210546187,9.323043628235833,27503.154125006033,1.253575909591517e-27,3.7442103774311586e-24,2900097C17Rik
Eef1a1,12.626663376075346,12.135522619016342,12.223961106550178,12.151026001488955,12.284293275782705,26683.01607287732,1.5568470679148187e-27,3.7442103774311586e-24,Eef1a1
Sptbn1,9.733686572813905,9.697684099948386,9.680478972205893,9.728008760846748,9.709964601453736,26591.676923297364,1.5955258830959355e-27,3.7442103774311586e-24,Sptbn1
Atp5a1,9.197568698784217,8.978775147732826,9.004628735459779,8.923511613451648,9.026121048857117,26251.375387823802,1.7495917540081526e-27,3.7442103774311586e-24,Atp5a1
Rpl7,9.01764277839984,8.8372281223097,8.836016576660095,8.7369071943355,8.856948667926282,26196.739291912018,1.775874964098492e-27,3.7442103774311586e-24,Rpl7
Laptm4a,8.679677775194754,8.470112670983818,8.471821143271155,8.411975457189172,8.508396761659725,25594.542287428874,2.0974671474921354e-27,3.930886486305538e-24,Laptm4a
Ctnnb1,8.387575064748841,8.240755704523208,8.20270448477551,8.246731348402497,8.269441650612514,24506.308781229356,2.862460499825438e-27,4.8281121250555666e-24,Ctnnb1
Scg5,9.301814597473493,9.245644933031583,9.198846113578025,9.11490397565247,9.215302404933892,23890.835929756046,3.433971303446512e-27,4.907967624240227e-24,Scg5
Hectd1,8.18531920466019,8.33203657590692,8.313539989473039,8.259389904933286,8.272571418743361,23835.18514644126,3.49176566614589e-27,4.907967624240227e-24,Hectd1
Jak1,7.159613314899087,7.187748661590495,7.189691459907985,7.124582247956921,7.1654089210886225,23281.133621615172,4.131868168885645e-27,5.00012251712222e-24,Jak1
Macf1,8.590285424880483,8.633171633498053,8.615716091136424,8.593945935233041,8.608279771187,23266.7235952178,4.1502173024077244e-27,5.00012251712222e-24,Macf1
Anapc1,7.51177017949549,7.712955419330877,7.634332537993357,7.505154081415709,7.591053054558858,22845.143071754934,4.730471327546881e-27,5.059263206163508e-24,Anapc1
Rpl4,9.992589452472796,9.742971169151895,9.760061221632114,9.702810235000378,9.799608019564296,22799.14042260152,4.799206219162632e-27,5.059263206163508e-24,Rpl4
Lamp1,8.448485675510845,8.2207963013935,8.279693644320364,8.248563510054078,8.299384782819697,22190.077099062848,5.825443853486697e-27,5.2219192222783225e-24,Lamp1
Rtn3,7.345635005860736,7.353586364059902,7.36325264465246,7.443971324201564,7.376611334693665,22045.178841779907,6.105073655594746e-27,5.2219192222783225e-24,Rtn3
Nsd1,8.002970343880571,7.97236288200933,7.99147617525242,7.983521807502776,7.987582802161274,22001.10799248971,6.193134712977606e-27,5.2219192222783225e-24,Nsd1
Rab2a,7.79178435752628,7.996340457335094,7.850842289622691,7.761035169307963,7.8500005684480065,21807.266643741947,6.598050348028326e-27,5.2219192222783225e-24,Rab2a
Ubr5,8.180010950229022,8.120258152060673,8.20301116421756,8.177508907525858,8.170197293508279,21534.500293999954,7.219990772434756e-27,5.2219192222783225e-24,Ubr5
Rpl7a,8.690967307229112,8.45920942786121,8.382062192600785,8.269476226319936,8.450428788502762,21468.290271328486,7.380867617494488e-27,5.2219192222783225e-24,Rpl7a
Son,8.832002286441135,8.961133983949193,8.997372402415117,8.956799529105737,8.936827050477797,21367.425666306302,7.633864409472445e-27,5.2219192222783225e-24,Son
Eef1b2,8.094482991338559,7.908559696822143,7.786443728751822,7.7178778669673935,7.876841070969979,21298.239805670335,7.813118059791434e-27,5.2219192222783225e-24,Eef1b2
Tgoln1,8.556930743517462,8.832378156263804,8.64973858461731,8.587797766925664,8.65671131283106,21281.075317282462,7.85832910978367e-27,5.2219192222783225e-24,Tgoln1
Rpl3,9.451364467849832,9.23384979373646,9.162187256882834,9.142372758005608,9.247443569118683,21160.843005210343,8.183510928356281e-27,5.2219192222783225e-24,Rpl3
Rpl19,8.686594433762952,8.344134085470703,8.365025323398008,8.309587094622081,8.426335234313436,21098.187036584466,8.359033556738881e-27,5.2219192222783225e-24,Rpl19
Tmx4,8.446243438670056,8.542877883153727,8.538969904972635,8.496330108777945,8.50610533389359,20725.673675654012,9.4956019012241e-27,5.28816382319593e-24,Tmx4
Dpp8,7.164380902893284,7.188166233690799,7.1905380006962485,7.120391582803386,7.165869180020929,20428.104095753046,1.0531001321264095e-26,5.28816382319593e-24,Dpp8
